sport,prop,direction,n,hit_rate
nba,Pts+Rebs,UNDER,2275,0.5261538461538462
nba,Pts+Rebs+Asts,OVER,12199,0.5962783834740553
nba,Pts+Rebs+Asts,UNDER,1226,0.50163132137031
nba,Quarters with 3+ Points,OVER,19,0.42105263157894735
nba,Rebounds,OVER,9200,0.6172826086956522
nba,Rebounds,UNDER,1766,0.5209513023782559
nba,Rebounds (Combo),OVER,99,0.45454545454545453
nba,Rebounds (Combo),UNDER,498,0.5662650602409639
nba,Rebs+Asts,OVER,10085,0.5979176995537928
nba,Rebs+Asts,UNDER,1706,0.5234466588511137
nba,Steals,OVER,3998,0.5727863931965983
nba,Steals,UNDER,1108,0.5803249097472925
nba,Threes,OVER,864,0.39814814814814814
nba,Threes,UNDER,864,0.6018518518518519
nba,Turnovers,OVER,2546,0.5145326001571092
nba,Turnovers,UNDER,1175,0.5906382978723405
nba,Two Pointers Attempted,OVER,1055,0.5393364928909953
nba,Two Pointers Attempted,UNDER,546,0.5311355311355311
nba,Two Pointers Made,OVER,1236,0.5647249190938511
nba,Two Pointers Made,UNDER,335,0.47761194029850745
nba1h,3-PT Made,UNDER,72,0.2638888888888889
nba1h,Fantasy Score,OVER,249,0.8112449799196787
nba1h,Fantasy Score,UNDER,160,0.5875
nba1h,Free Throws Made,UNDER,79,0.3670886075949367
nba1h,Points,OVER,929,0.589881593110872
nba1h,Points,UNDER,174,0.5114942528735632
nba1h,Pts+Rebs+Asts,OVER,839,0.6555423122765197
nba1h,Pts+Rebs+Asts,UNDER,75,0.44
nba1q,3-PT Made,UNDER,57,0.22807017543859648
nba1q,Assists,OVER,807,0.8314745972738538
nba1q,Assists,UNDER,22,0.36363636363636365
nba1q,Free Throws Made,UNDER,55,0.34545454545454546
nba1q,Points,OVER,3866,0.7744438696326953
nba1q,Points,UNDER,153,0.46405228758169936
nba1q,Rebounds,OVER,1405,0.8270462633451957
nba1q,Rebounds,UNDER,47,0.3191489361702128
nhl,Assists,OVER,33002,0.37894673050118177
nhl,Assists,UNDER,33288,0.6237683249218938
nhl,Blocked Shots,UNDER,360,0.55
nhl,Faceoffs Won,UNDER,250,0.304
nhl,Goalie Saves,UNDER,112,0.5982142857142857
nhl,Goals,OVER,32496,0.37789266371245694
nhl,Goals,UNDER,32824,0.6239641725566658
nhl,Goals Allowed,OVER,22,0.5454545454545454
nhl,Goals Allowed,UNDER,23,0.4782608695652174
nhl,Hits,UNDER,501,0.5269461077844312
nhl,Plus/Minus,UNDER,171,0.5730994152046783
nhl,Points,OVER,33213,0.3891548490049077
nhl,Points,UNDER,32880,0.618065693430657
nhl,Power Play Points,UNDER,224,0.21875
nhl,Shots,OVER,32095,0.45178376694189126
nhl,Shots,UNDER,32095,0.5482162330581087
nhl,Shots On Goal,OVER,2362,0.3399661303979678
nhl,Shots On Goal,UNDER,843,0.8730723606168446
nhl,Time On Ice,OVER,235,0.30638297872340425
nhl,Time On Ice,UNDER,366,0.6557377049180327
nhl,assists,OVER,3281,0.26394391953672663
nhl,assists,UNDER,26,0.38461538461538464
nhl,blocked_shots,OVER,522,0.4118773946360153
nhl,blocked_shots,UNDER,74,0.43243243243243246
nhl,faceoffs_won,OVER,113,0.9823008849557522
nhl,faceoffs_won,UNDER,93,0.010752688172043012
nhl,goalie_saves,OVER,239,0.24686192468619247
nhl,goalie_saves,UNDER,59,0.6949152542372882
nhl,goals,OVER,3544,0.19525959367945825
nhl,goals_allowed,OVER,34,0.5882352941176471
nhl,goals_allowed,UNDER,15,0.4666666666666667
nhl,hits,OVER,327,0.3486238532110092
nhl,hits,UNDER,154,0.7532467532467533
nhl,plus/minus,OVER,1455,0.3539518900343643
nhl,points,OVER,4105,0.31108404384896465
nhl,points,UNDER,88,0.4659090909090909
nhl,power_play_points,OVER,407,0.08845208845208845
nhl,shots_on_goal,OVER,2722,0.1399706098457017
nhl,shots_on_goal,UNDER,191,0.7277486910994765
nhl,time_on_ice,OVER,151,0.6026490066225165
nhl,time_on_ice,UNDER,77,0.45454545454545453
soccer,Assists,OVER,6996,0.09576901086335049
soccer,Attempted Dribbles,OVER,31,0.3225806451612903
soccer,Clearances,OVER,33,0.030303030303030304
soccer,Fouls,OVER,7555,0.17326273990734614
soccer,Goal + Assist,OVER,8583,0.1565886053827333
soccer,Goalie Saves,OVER,3175,0.30992125984251967
