sport,dimension,direction,n,hits,mean_ml,hit_rate,prop,minutes_tier,def_tier,h2h_bucket,role,pick_type,tier
soccer,def_tier,,4976,724.0,0.2733058715969118,0.1454983922829582,,,Avg,,,,
soccer,def_tier,,3750,545.0,0.318176675900277,0.14533333333333334,,,Elite,,,,
soccer,h2h_bucket,,60561,11379.0,0.2912295882422647,0.187893198593154,,,,(not in graded export),,,
soccer,role,,1972,794.0,0.41775904506286093,0.4026369168356998,,,,,(missing),,
soccer,role,,3354,1115.0,0.3160946537495515,0.33243887895050683,,,,,GK,,
soccer,role,,19191,3811.0,0.2749218196068974,0.19858266895940804,,,,,FWD,,
soccer,role,,20814,3524.0,0.28738282205210114,0.1693091188623042,,,,,MID,,
soccer,role,,15230,2135.0,0.3002095585525831,0.14018384766907419,,,,,DEF,,
soccer,pick_type,,894,400.0,0.4687758418931245,0.44742729306487694,,,,,,goblin,
soccer,pick_type,,642,244.0,,0.38006230529595014,,,,,,Goblin,
soccer,pick_type,,285,100.0,0.2577274086900343,0.3508771929824561,,,,,,standard,
soccer,pick_type,,151,50.0,,0.33112582781456956,,,,,,Standard,
soccer,pick_type,,58589,10585.0,0.2883101919802736,0.18066531260134155,,,,,,,
soccer,tier,,6858,2870.0,0.49988363166500016,0.4184893554972295,,,,,,,A
soccer,tier,,4945,1587.0,0.4151783723495423,0.3209302325581395,,,,,,,B
soccer,tier,,3613,904.0,0.5359078077371361,0.25020758372543594,,,,,,,C
soccer,tier,,45145,6018.0,0.23616297082842053,0.1333037988703068,,,,,,,D
tennis,direction,UNDER,261,143.0,0.40194322033898305,0.5478927203065134,,,,,,,
tennis,direction,OVER,5186,1911.0,0.6085897872340426,0.3684920940994986,,,,,,,
tennis,prop,,1684,1045.0,0.6261690423162584,0.6205463182897862,Total Games Won,,,,,,
tennis,prop,,1642,982.0,0.5819381831085877,0.5980511571254568,Total Games,,,,,,
tennis,prop,,1039,22.0,0.580746913580247,0.021174205967276226,Aces,,,,,,
tennis,prop,,1082,5.0,0.5890210455764074,0.0046210720887245845,Double Faults,,,,,,
tennis,minutes_tier,,5447,2054.0,0.5970632947293784,0.37708830548926014,,(missing),,,,,
tennis,def_tier,,5447,2054.0,0.5970632947293784,0.37708830548926014,,,(missing),,,,
tennis,h2h_bucket,,5447,2054.0,0.5970632947293784,0.37708830548926014,,,,(not in graded export),,,
tennis,role,,5447,2054.0,0.5970632947293784,0.37708830548926014,,,,,(missing),,
tennis,pick_type,,824,418.0,0.5328845873786408,0.5072815533980582,,,,,,Standard,
tennis,pick_type,,3407,1386.0,0.6125852362782506,0.40680950983269737,,,,,,Goblin,
