mlb_player_id,player,pos,player_type,team,opp_team,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,player_name,image_url,line_score,sport,game_date,player_1,player_2,team_1,team_2,id_status,OVERALL_DEF_RANK,ERA_RANK,WHIP_RANK,OBP_ALLOWED_RANK,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,reliability_note
664728.0,Kyle Isbel,OF,hitter,KC,,1.5,Hits,hits,Demon,11387902,11387902,68532,144418,2026-04-14T18:40:00.000-04:00,,,,1,Kyle Isbel,https://static.prizepicks.com/images/players/MLB/Kyle_Isbel_MLB_player_gWkDN5ZStyKFrcxiUJtf9Ve1-450.webp,1.5,MLB,2026-04-14,,,,,OK,,,,,0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4,0.4,0.4,1.0,4.0,0.0,0.2,0.2583,0.7417,0.1,0.9,OK,BLENDED_n5,5.0,1.0,4.0,0.0,0.2583,0.7417,
663330.0,Jahmai Jones,OF,hitter,DET,,1.5,Total Bases,total_bases,Demon,11392059,11392059,241592,144418,2026-04-14T18:40:00.000-04:00,,,,1,Jahmai Jones,https://static.prizepicks.com/images/players/MLB/Jahmai_Jones_MLB_player_Wp699z1rdf4PHTsZ55HTnURE-450.webp,1.5,MLB,2026-04-14,,,,,OK,,,,,0,2.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.6,1.1,1.1,3.0,2.0,0.0,0.6,0.5917,0.4083,0.4,0.6,OK,BLENDED_n5,5.0,3.0,2.0,0.0,0.5917,0.4083,
695506.0,Jac Caglianone,OF,hitter,KC,,1.5,Total Bases,total_bases,Demon,11394097,11394097,240206,144418,2026-04-14T18:40:00.000-04:00,,,,1,Jac Caglianone,https://static.prizepicks.com/images/players/MLB/Jeffrey_Caglianone_MLB_player_kMhkwU9SuS9i7VU9UffpyQFq-450.webp,1.5,MLB,2026-04-14,,,,,OK,,,,,0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,2.0,1.0,0.6,1.2,1.2,1.0,4.0,0.0,0.2,0.2583,0.7417,0.3,0.7,OK,BLENDED_n5,5.0,1.0,4.0,0.0,0.2583,0.7417,
664728.0,Kyle Isbel,OF,hitter,KC,,1.5,Total Bases,total_bases,Demon,11394110,11394110,68532,144418,2026-04-14T18:40:00.000-04:00,,,,1,Kyle Isbel,https://static.prizepicks.com/images/players/MLB/Kyle_Isbel_MLB_player_gWkDN5ZStyKFrcxiUJtf9Ve1-450.webp,1.5,MLB,2026-04-14,,,,,OK,,,,,0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.4,0.5,0.5,1.0,4.0,0.0,0.2,0.2583,0.7417,0.2,0.8,OK,BLENDED_n5,5.0,1.0,4.0,0.0,0.2583,0.7417,
663330.0,Jahmai Jones,OF,hitter,DET,,1.5,Runs,runs,Demon,11397620,11397620,241592,144418,2026-04-14T18:40:00.000-04:00,,,,2,Jahmai Jones,https://static.prizepicks.com/images/players/MLB/Jahmai_Jones_MLB_player_Wp699z1rdf4PHTsZ55HTnURE-450.webp,1.5,MLB,2026-04-14,,,,,OK,,,,,0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.0,5.0,0.0,0.0,0.0917,0.9083,0.1,0.9,OK,BLENDED_n5,5.0,0.0,5.0,0.0,0.0917,0.9083,
663330.0,Jahmai Jones,OF,hitter,DET,,0.5,Hits,hits,Goblin,11382518,11382518,241592,144418,2026-04-14T18:40:00.000-04:00,,,,1,Jahmai Jones,https://static.prizepicks.com/images/players/MLB/Jahmai_Jones_MLB_player_Wp699z1rdf4PHTsZ55HTnURE-450.webp,0.5,MLB,2026-04-14,,,,,OK,,,,,0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.8,0.7,0.7,3.0,2.0,0.0,0.6,0.5917,0.4083,0.4,0.6,OK,BLENDED_n5,5.0,3.0,2.0,0.0,0.5917,0.4083,
663330.0,Jahmai Jones,OF,hitter,DET,,0.5,Home Runs,home_runs,Demon,11382523,11382523,241592,144418,2026-04-14T18:40:00.000-04:00,,,,1,Jahmai Jones,https://static.prizepicks.com/images/players/MLB/Jahmai_Jones_MLB_player_Wp699z1rdf4PHTsZ55HTnURE-450.webp,0.5,MLB,2026-04-14,,,,,OK,,,,,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,1.0,4.0,0.0,0.2,0.2583,0.7417,0.1,0.9,OK,BLENDED_n5,5.0,1.0,4.0,0.0,0.2583,0.7417,
663330.0,Jahmai Jones,OF,hitter,DET,,0.5,Runs,runs,Demon,11382525,11382525,241592,144418,2026-04-14T18:40:00.000-04:00,,,,1,Jahmai Jones,https://static.prizepicks.com/images/players/MLB/Jahmai_Jones_MLB_player_Wp699z1rdf4PHTsZ55HTnURE-450.webp,0.5,MLB,2026-04-14,,,,,OK,,,,,0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,2.0,3.0,0.0,0.4,0.425,0.575,0.3,0.7,OK,BLENDED_n5,5.0,2.0,3.0,0.0,0.425,0.575,
663330.0,Jahmai Jones,OF,hitter,DET,,0.5,Total Bases,total_bases,Goblin,11382528,11382528,241592,144418,2026-04-14T18:40:00.000-04:00,,,,1,Jahmai Jones,https://static.prizepicks.com/images/players/MLB/Jahmai_Jones_MLB_player_Wp699z1rdf4PHTsZ55HTnURE-450.webp,0.5,MLB,2026-04-14,,,,,OK,,,,,0,2.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.6,1.1,1.1,3.0,2.0,0.0,0.6,0.5917,0.4083,0.4,0.6,OK,BLENDED_n5,5.0,3.0,2.0,0.0,0.5917,0.4083,
663330.0,Jahmai Jones,OF,hitter,DET,,0.5,Walks,walks,Demon,11382529,11382529,241592,144418,2026-04-14T18:40:00.000-04:00,,,,1,Jahmai Jones,https://static.prizepicks.com/images/players/MLB/Jahmai_Jones_MLB_player_Wp699z1rdf4PHTsZ55HTnURE-450.webp,0.5,MLB,2026-04-14,,,,,OK,,,,,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.4,0.5,0.5,2.0,3.0,0.0,0.4,0.425,0.575,0.4,0.6,OK,BLENDED_n5,5.0,2.0,3.0,0.0,0.425,0.575,
