mlb_player_id,player,pos,player_type,team,opp_team,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,player_name,image_url,line_score,sport,game_date,player_1,player_2,team_1,team_2,id_status,OVERALL_DEF_RANK,ERA_RANK,WHIP_RANK,OBP_ALLOWED_RANK,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,reliability_note,player_type_norm,pos_norm,minutes_tier,batting_order_tier,pitcher_role
661388.0,William Contreras,C,hitter,MIL,MIA,4.5,Total Bases,total_bases,Demon,11473558,11473558,127196,145121,2026-04-17T19:12:00.000-04:00,,,,4,William Contreras,https://static.prizepicks.com/images/players/MLB/William_Contreras_MLB_player_utOsP58xiT4H1eTJnXgLgfhV-450.webp,4.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.6,0.9,0.9,0.0,5.0,0.0,0.0,0.0917,0.9083,0.0,1.0,OK,BLENDED_n5,5.0,0.0,5.0,0.0,0.0917,0.9083,,hitter,C,HIGH,MID,N/A
676083.0,Janson Junk,P,pitcher,MIA,MIL,4.5,Hits Allowed,hits_allowed,Goblin,11473601,11473601,242581,145121,2026-04-17T19:12:00.000-04:00,,,,1,Janson Junk,https://static.prizepicks.com/images/players/MLB/Janson_Junk_MLB_player_oLLD6pXDi7R5suR3i1LB7Hax-450.webp,4.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,5.0,3.0,7.0,8.0,6.0,6.0,6.0,5.0,6.0,8.0,5.8,6.0,6.0,4.0,1.0,0.0,0.8,0.7062,0.2937,0.9,0.1,OK,BLENDED_n5,5.0,4.0,1.0,0.0,0.7062,0.2937,,pitcher,P,HIGH,UNKNOWN,SP
676083.0,Janson Junk,P,pitcher,MIA,MIL,4.5,Pitcher Strikeouts,strikeouts,Demon,11474516,11474516,242581,145121,2026-04-17T19:12:00.000-04:00,,,4.0,1,Janson Junk,https://static.prizepicks.com/images/players/MLB/Janson_Junk_MLB_player_oLLD6pXDi7R5suR3i1LB7Hax-450.webp,4.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,4.0,5.0,4.0,3.0,3.0,6.0,2.0,2.0,4.0,5.0,3.8,3.8,3.8,1.0,4.0,0.0,0.2,0.3313,0.6688,0.3,0.7,OK,BLENDED_n5,5.0,1.0,4.0,0.0,0.3313,0.6688,,pitcher,P,MEDIUM,UNKNOWN,RP
689441.0,Coleman Crow,P,pitcher,MIL,MIA,4.5,Hits Allowed,hits_allowed,Standard,11478632,11478632,314314,145121,2026-04-17T19:12:00.000-04:00,,,4.5,0,Coleman Crow,https://static.prizepicks.com/images/players/MLB/Coleman_Crow_MLB_player_tvPLbdgESdBEinQfp26CbLIv-450.webp,4.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,,,,,,,,,,,,,,,,,,,,,,NO_CACHE_DATA,MISSING_STAT_VALUES,,,,,,,,pitcher,P,UNKNOWN,UNKNOWN,UNKNOWN
689441.0,Coleman Crow,P,pitcher,MIL,MIA,4.5,Pitcher Strikeouts,strikeouts,Demon,11478633,11478633,314314,145121,2026-04-17T19:12:00.000-04:00,,,,1,Coleman Crow,https://static.prizepicks.com/images/players/MLB/Coleman_Crow_MLB_player_tvPLbdgESdBEinQfp26CbLIv-450.webp,4.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,,,,,,,,,,,,,,,,,,,,,,NO_CACHE_DATA,MISSING_STAT_VALUES,,,,,,,,pitcher,P,UNKNOWN,UNKNOWN,UNKNOWN
676083.0,Janson Junk,P,pitcher,MIA,MIL,4.0,Pitcher Strikeouts,strikeouts,Standard,11473548,11473548,242581,145121,2026-04-17T19:12:00.000-04:00,,,4.0,0,Janson Junk,https://static.prizepicks.com/images/players/MLB/Janson_Junk_MLB_player_oLLD6pXDi7R5suR3i1LB7Hax-450.webp,4.0,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,4.0,5.0,4.0,3.0,3.0,6.0,2.0,2.0,4.0,5.0,3.8,3.8,3.8,1.0,2.0,2.0,0.2,0.4146,0.5854,0.429,0.571,OK,BLENDED_n5,5.0,1.0,2.0,2.0,0.4146,0.5854,,pitcher,P,MEDIUM,UNKNOWN,RP
676083.0,Janson Junk,P,pitcher,MIA,MIL,3.5,Pitcher Strikeouts,strikeouts,Goblin,11470953,11470953,242581,145121,2026-04-17T19:12:00.000-04:00,,,4.0,1,Janson Junk,https://static.prizepicks.com/images/players/MLB/Janson_Junk_MLB_player_oLLD6pXDi7R5suR3i1LB7Hax-450.webp,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,4.0,5.0,4.0,3.0,3.0,6.0,2.0,2.0,4.0,5.0,3.8,3.8,3.8,3.0,2.0,0.0,0.6,0.5812,0.4188,0.6,0.4,OK,BLENDED_n5,5.0,3.0,2.0,0.0,0.5812,0.4188,,pitcher,P,MEDIUM,UNKNOWN,RP
668930.0,Brice Turang,IF,hitter,MIL,MIA,3.5,Total Bases,total_bases,Demon,11471051,11471051,127193,145121,2026-04-17T19:12:00.000-04:00,,,,3,Brice Turang,https://static.prizepicks.com/images/players/MLB/Second_Base_MLB_player_HhIl6lscwSyYMioGrH3lmpf.webp,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,1.6,1.2,1.2,0.0,5.0,0.0,0.0,0.0917,0.9083,0.0,1.0,OK,BLENDED_n5,5.0,0.0,5.0,0.0,0.0917,0.9083,,hitter,IF,HIGH,MID,N/A
666152.0,David Hamilton,IF,hitter,MIL,MIA,3.5,Total Bases,total_bases,Demon,11471066,11471066,309891,145121,2026-04-17T19:12:00.000-04:00,,,,3,David Hamilton,https://static.prizepicks.com/images/manual/David_Hamilton.png,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.6,1.0,1.0,2.0,3.0,0.0,0.4,0.425,0.575,0.2,0.8,OK,BLENDED_n5,5.0,2.0,3.0,0.0,0.425,0.575,,hitter,IF,HIGH,MID,N/A
669003.0,Garrett Mitchell,OF,hitter,MIL,MIA,3.5,Total Bases,total_bases,Demon,11471082,11471082,74159,145121,2026-04-17T19:12:00.000-04:00,,,,3,Garrett Mitchell,https://static.prizepicks.com/images/players/MLB/Garrett_Mitchell_MLB_player_pKr818qZkrPVIDliSpGPdZQ4-450.webp,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.4,0.9,0.9,0.0,5.0,0.0,0.0,0.0917,0.9083,0.0,1.0,OK,BLENDED_n5,5.0,0.0,5.0,0.0,0.0917,0.9083,,hitter,OF,HIGH,MID,N/A
596142.0,Gary Sánchez,C,hitter,MIL,MIA,3.5,Total Bases,total_bases,Demon,11471097,11471097,195124,145121,2026-04-17T19:12:00.000-04:00,,,,3,Gary Sánchez,https://static.prizepicks.com/images/players/MLB/Gary_S%C3%A1nchez_MLB_player_9IOIIPZ0rWmVUHthsPmnjNwM-450.webp,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,8.0,0.0,4.0,1.4,2.1,2.1,1.0,4.0,0.0,0.2,0.2583,0.7417,0.3,0.7,OK,BLENDED_n5,5.0,1.0,4.0,0.0,0.2583,0.7417,,hitter,C,HIGH,MID,N/A
641343.0,Jake Bauers,IF,hitter,MIL,MIA,3.5,Total Bases,total_bases,Demon,11471113,11471113,192925,145121,2026-04-17T19:12:00.000-04:00,,,,3,Jake Bauers,https://static.prizepicks.com/images/players/MLB/Jakob_Bauers_MLB_player_8W8DDUI7d70DLlu7HXuu07x1-450.webp,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.6,0.9,0.9,0.0,5.0,0.0,0.0,0.0917,0.9083,0.0,1.0,OK,BLENDED_n5,5.0,0.0,5.0,0.0,0.0917,0.9083,,hitter,IF,HIGH,MID,N/A
686217.0,Sal Frelick,OF,hitter,MIL,MIA,3.5,Total Bases,total_bases,Demon,11471140,11471140,146602,145121,2026-04-17T19:12:00.000-04:00,,,,3,Sal Frelick,https://static.prizepicks.com/images/players/MLB/Salvatore_Frelick_MLB_player_BrPHMsUL8EebaOML04XbI50b-450.webp,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,4.0,2.0,0.6,1.5,1.5,0.0,5.0,0.0,0.0,0.0917,0.9083,0.2,0.8,OK,BLENDED_n5,5.0,0.0,5.0,0.0,0.0917,0.9083,,hitter,OF,HIGH,MID,N/A
661388.0,William Contreras,C,hitter,MIL,MIA,3.5,Total Bases,total_bases,Demon,11471156,11471156,127196,145121,2026-04-17T19:12:00.000-04:00,,,,3,William Contreras,https://static.prizepicks.com/images/players/MLB/William_Contreras_MLB_player_utOsP58xiT4H1eTJnXgLgfhV-450.webp,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.6,0.9,0.9,0.0,5.0,0.0,0.0,0.0917,0.9083,0.0,1.0,OK,BLENDED_n5,5.0,0.0,5.0,0.0,0.0917,0.9083,,hitter,C,HIGH,MID,N/A
676083.0,Janson Junk,P,pitcher,MIA,MIL,3.5,Hits Allowed,hits_allowed,Goblin,11473547,11473547,242581,145121,2026-04-17T19:12:00.000-04:00,,,,2,Janson Junk,https://static.prizepicks.com/images/players/MLB/Janson_Junk_MLB_player_oLLD6pXDi7R5suR3i1LB7Hax-450.webp,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,5.0,3.0,7.0,8.0,6.0,6.0,6.0,5.0,6.0,8.0,5.8,6.0,6.0,4.0,1.0,0.0,0.8,0.7062,0.2937,0.9,0.1,OK,BLENDED_n5,5.0,4.0,1.0,0.0,0.7062,0.2937,,pitcher,P,HIGH,UNKNOWN,SP
682663.0,Agustín Ramírez,C,hitter,MIA,MIL,3.5,Total Bases,total_bases,Demon,11474467,11474467,237311,145121,2026-04-17T19:12:00.000-04:00,,,,3,Agustín Ramírez,https://static.prizepicks.com/images/players/MLB/Agust%C3%ADn_Ram%C3%ADrez_MLB_player_pAqieU2KFcuJIuV1X0LYfKbg-450.webp,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,4.0,0.6,1.3,1.3,0.0,5.0,0.0,0.0,0.0917,0.9083,0.1,0.9,OK,BLENDED_n5,5.0,0.0,5.0,0.0,0.0917,0.9083,,hitter,C,HIGH,MID,N/A
681393.0,Connor Norby,IF,hitter,MIA,MIL,3.5,Total Bases,total_bases,Demon,11474491,11474491,210171,145121,2026-04-17T19:12:00.000-04:00,,,,3,Connor Norby,https://static.prizepicks.com/images/players/MLB/Connor_Norby_MLB_player_TBfhu6TeX7NZPoNqEKe2pWag-450.webp,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,6.0,2.0,3.0,1.6,1.9,1.9,1.0,4.0,0.0,0.2,0.2583,0.7417,0.2,0.8,OK,BLENDED_n5,5.0,1.0,4.0,0.0,0.2583,0.7417,,hitter,IF,HIGH,MID,N/A
805300.0,Jakob Marsee,OF,hitter,MIA,MIL,3.5,Total Bases,total_bases,Demon,11474515,11474515,249953,145121,2026-04-17T19:12:00.000-04:00,,,,3,Jakob Marsee,https://static.prizepicks.com/images/manual/Jakob Marsee.png,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,0.2,1.1,1.1,0.0,5.0,0.0,0.0,0.0917,0.9083,0.0,1.0,OK,BLENDED_n5,5.0,0.0,5.0,0.0,0.0917,0.9083,,hitter,OF,HIGH,MID,N/A
672640.0,Otto Lopez,IF,hitter,MIA,MIL,3.5,Total Bases,total_bases,Demon,11474549,11474549,195234,145121,2026-04-17T19:12:00.000-04:00,,,,3,Otto Lopez,https://static.prizepicks.com/images/players/MLB/Otto_Lopez_MLB_player_H2mMceL0DZ4mYAGG4CSxx4AP-450.webp,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,0.0,0.0,3.0,1.0,0.0,2.0,4.0,1.0,2.0,4.0,0.8,1.7,1.7,0.0,5.0,0.0,0.0,0.0917,0.9083,0.2,0.8,OK,BLENDED_n5,5.0,0.0,5.0,0.0,0.0917,0.9083,,hitter,IF,HIGH,MID,N/A
688363.0,Graham Pauley,IF,hitter,MIA,MIL,3.5,Total Bases,total_bases,Demon,11475927,11475927,233464,145121,2026-04-17T19:12:00.000-04:00,,,0.5,3,Graham Pauley,https://static.prizepicks.com/images/players/MLB/Graham_Pauley_MLB_player_3KBbdEKuuYiyCr4SB8v6d2JB-450.webp,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.8,0.7,0.7,1.0,4.0,0.0,0.2,0.2583,0.7417,0.1,0.9,OK,BLENDED_n5,5.0,1.0,4.0,0.0,0.2583,0.7417,,hitter,IF,HIGH,MID,N/A
689414.0,Liam Hicks,C,hitter,MIA,MIL,3.5,Total Bases,total_bases,Demon,11475946,11475946,234596,145121,2026-04-17T19:12:00.000-04:00,,,,3,Liam Hicks,https://static.prizepicks.com/images/players/MLB/Liam_Hicks_MLB_player_Y5SmskHFXFMr34VFjPBIKaav-450.webp,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.6,1.0,1.0,0.0,5.0,0.0,0.0,0.0917,0.9083,0.1,0.9,OK,BLENDED_n5,5.0,0.0,5.0,0.0,0.0917,0.9083,,hitter,C,HIGH,MID,N/A
683357.0,Owen Caissie,OF,hitter,MIA,MIL,3.5,Total Bases,total_bases,Demon,11475963,11475963,310123,145121,2026-04-17T19:12:00.000-04:00,,,,3,Owen Caissie,https://static.prizepicks.com/images/manual/Owen Caissie.png,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,1.0,0.4,0.9,0.9,0.0,5.0,0.0,0.0,0.0917,0.9083,0.1,0.9,OK,BLENDED_n5,5.0,0.0,5.0,0.0,0.0917,0.9083,,hitter,OF,HIGH,MID,N/A
669364.0,Xavier Edwards,IF,hitter,MIA,MIL,3.5,Total Bases,total_bases,Demon,11477603,11477603,153297,145121,2026-04-17T19:12:00.000-04:00,,,,3,Xavier Edwards,https://static.prizepicks.com/images/players/MLB/Xavier_Edwards_MLB_player_pOmF23zFavo3I69buI0Vfyua-450.webp,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.2,1.1,1.1,0.0,5.0,0.0,0.0,0.0917,0.9083,0.0,1.0,OK,BLENDED_n5,5.0,0.0,5.0,0.0,0.0917,0.9083,,hitter,IF,HIGH,MID,N/A
689441.0,Coleman Crow,P,pitcher,MIL,MIA,3.5,Pitcher Strikeouts,strikeouts,Goblin,11481634,11481634,314314,145121,2026-04-17T19:12:00.000-04:00,,,,1,Coleman Crow,https://static.prizepicks.com/images/players/MLB/Coleman_Crow_MLB_player_tvPLbdgESdBEinQfp26CbLIv-450.webp,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,,,,,,,,,,,,,,,,,,,,,,NO_CACHE_DATA,MISSING_STAT_VALUES,,,,,,,,pitcher,P,UNKNOWN,UNKNOWN,UNKNOWN
675659.0,Greg Jones,OF,hitter,MIL,MIA,3.5,Total Bases,total_bases,Demon,11482176,11482176,314188,145121,2026-04-17T19:12:00.000-04:00,,,,3,Greg Jones,,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.275,0.725,0.0,1.0,OK,BLENDED_n3,3.0,0.0,3.0,0.0,0.275,0.725,,hitter,OF,HIGH,MID,N/A
650859.0,Luis Rengifo,IF,hitter,MIL,MIA,3.5,Total Bases,total_bases,Demon,11482196,11482196,309110,145121,2026-04-17T19:12:00.000-04:00,,,,3,Luis Rengifo,https://static.prizepicks.com/images/manual/Luis_Rengifo-.png,3.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.8,0.8,0.8,0.0,5.0,0.0,0.0,0.0917,0.9083,0.1,0.9,OK,BLENDED_n5,5.0,0.0,5.0,0.0,0.0917,0.9083,,hitter,IF,HIGH,MID,N/A
668930.0,Brice Turang,IF,hitter,MIL,MIA,2.5,Total Bases,total_bases,Demon,11473502,11473502,127193,145121,2026-04-17T19:12:00.000-04:00,,,,2,Brice Turang,https://static.prizepicks.com/images/players/MLB/Second_Base_MLB_player_HhIl6lscwSyYMioGrH3lmpf.webp,2.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,1.6,1.2,1.2,1.0,4.0,0.0,0.2,0.2583,0.7417,0.1,0.9,OK,BLENDED_n5,5.0,1.0,4.0,0.0,0.2583,0.7417,,hitter,IF,HIGH,MID,N/A
666152.0,David Hamilton,IF,hitter,MIL,MIA,2.5,Total Bases,total_bases,Demon,11473504,11473504,309891,145121,2026-04-17T19:12:00.000-04:00,,,,2,David Hamilton,https://static.prizepicks.com/images/manual/David_Hamilton.png,2.5,MLB,2026-04-17,,,,,OK,15.0,15.0,15.0,15.0,0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.6,1.0,1.0,2.0,3.0,0.0,0.4,0.425,0.575,0.2,0.8,OK,BLENDED_n5,5.0,2.0,3.0,0.0,0.425,0.575,,hitter,IF,HIGH,MID,N/A
