player,team,date,game_id,points,totalRebounds,assists,steals,blocks,threePointFieldGoalsMade,freeThrowsMade,espnFPS
Sion James,CHA,2025-10-22,401809933,2.0,4.0,2.0,0.0,1.0,0.0,0.0,9.6
Andrew Wiggins,MIA,2025-10-22,401809934,18.0,4.0,1.0,1.0,1.0,1.0,5.0,25.95
Nikola Jovic,MIA,2025-10-22,401809934,9.0,3.0,0.0,1.0,0.0,2.0,3.0,9.65
Bam Adebayo,MIA,2025-10-22,401809934,15.0,12.0,2.0,0.0,0.0,1.0,6.0,24.5
Norman Powell,MIA,2025-10-22,401809934,28.0,9.0,4.0,1.0,1.0,4.0,6.0,44.6
Davion Mitchell,MIA,2025-10-22,401809934,16.0,6.0,12.0,2.0,1.0,2.0,0.0,42.1
Simone Fontecchio,MIA,2025-10-22,401809934,13.0,2.0,1.0,0.0,0.0,1.0,0.0,19.3
Jaime Jaquez Jr.,MIA,2025-10-22,401809934,13.0,6.0,1.0,2.0,0.0,0.0,1.0,25.65
Kel'el Ware,MIA,2025-10-22,401809934,7.0,4.0,0.0,1.0,1.0,1.0,0.0,14.1
Dru Smith,MIA,2025-10-22,401809934,2.0,1.0,5.0,1.0,0.0,0.0,0.0,8.9
Pelle Larsson,MIA,2025-10-22,401809934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8
Paolo Banchero,ORL,2025-10-22,401809934,24.0,11.0,1.0,1.0,1.0,1.0,9.0,36.25
Franz Wagner,ORL,2025-10-22,401809934,24.0,4.0,6.0,2.0,0.0,2.0,4.0,39.0
Wendell Carter Jr.,ORL,2025-10-22,401809934,9.0,8.0,1.0,1.0,1.0,0.0,5.0,20.25
Desmond Bane,ORL,2025-10-22,401809934,23.0,4.0,3.0,0.0,2.0,3.0,6.0,30.9
Jalen Suggs,ORL,2025-10-22,401809934,14.0,4.0,2.0,2.0,0.0,2.0,0.0,26.6
Jonathan Isaac,ORL,2025-10-22,401809934,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.2
Tristan da Silva,ORL,2025-10-22,401809934,16.0,1.0,0.0,0.0,0.0,3.0,3.0,18.85
Goga Bitadze,ORL,2025-10-22,401809934,8.0,8.0,4.0,1.0,1.0,0.0,2.0,26.7
Tyus Jones,ORL,2025-10-22,401809934,0.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0
Anthony Black,ORL,2025-10-22,401809934,7.0,3.0,3.0,0.0,1.0,1.0,0.0,13.8
Brandon Ingram,TOR,2025-10-22,401809935,16.0,9.0,3.0,2.0,0.0,0.0,2.0,27.2
RJ Barrett,TOR,2025-10-22,401809935,25.0,8.0,5.0,2.0,0.0,2.0,5.0,47.05
Scottie Barnes,TOR,2025-10-22,401809935,22.0,6.0,9.0,1.0,2.0,0.0,4.0,49.7
Jakob Poeltl,TOR,2025-10-22,401809935,14.0,6.0,2.0,0.0,1.0,0.0,0.0,28.2
Immanuel Quickley,TOR,2025-10-22,401809935,13.0,4.0,8.0,1.0,0.0,0.0,3.0,26.45
Sandro Mamukelashvili,TOR,2025-10-22,401809935,7.0,4.0,3.0,0.0,1.0,1.0,0.0,15.8
Jamison Battle,TOR,2025-10-22,401809935,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.4
Jonathan Mogbo,TOR,2025-10-22,401809935,4.0,4.0,0.0,0.0,0.0,0.0,0.0,8.4
Ochai Agbaji,TOR,2025-10-22,401809935,4.0,3.0,1.0,2.0,0.0,0.0,0.0,10.0
Jamal Shead,TOR,2025-10-22,401809935,10.0,2.0,5.0,1.0,0.0,1.0,3.0,19.95
Gradey Dick,TOR,2025-10-22,401809935,21.0,5.0,0.0,1.0,0.0,2.0,7.0,30.75
Jalen Johnson,ATL,2025-10-22,401809935,22.0,7.0,8.0,1.0,1.0,0.0,8.0,43.1
Zaccharie Risacher,ATL,2025-10-22,401809935,16.0,2.0,0.0,0.0,1.0,2.0,0.0,21.6
Kristaps Porzingis,ATL,2025-10-22,401809935,20.0,7.0,2.0,0.0,2.0,4.0,6.0,32.1
Trae Young,ATL,2025-10-22,401809935,22.0,1.0,5.0,1.0,0.0,1.0,11.0,28.55
Dyson Daniels,ATL,2025-10-22,401809935,4.0,3.0,2.0,2.0,0.0,0.0,0.0,10.1
Onyeka Okongwu,ATL,2025-10-22,401809935,18.0,6.0,1.0,0.0,0.0,1.0,1.0,30.45
Mouhamed Gueye,ATL,2025-10-22,401809935,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4
Luke Kennard,ATL,2025-10-22,401809935,6.0,4.0,3.0,1.0,0.0,1.0,1.0,11.35
Nickeil Alexander-Walker,ATL,2025-10-22,401809935,10.0,4.0,4.0,1.0,1.0,1.0,5.0,13.35
Keaton Wallace,ATL,2025-10-22,401809935,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3
Dominick Barlow,PHI,2025-10-22,401809936,13.0,8.0,5.0,0.0,1.0,0.0,5.0,29.25
Joel Embiid,PHI,2025-10-22,401809936,4.0,6.0,2.0,0.0,1.0,0.0,2.0,9.3
Kelly Oubre Jr.,PHI,2025-10-22,401809936,10.0,4.0,1.0,0.0,1.0,2.0,4.0,15.2
Tyrese Maxey,PHI,2025-10-22,401809936,40.0,2.0,6.0,2.0,1.0,7.0,7.0,58.25
VJ Edgecombe,PHI,2025-10-22,401809936,34.0,7.0,3.0,1.0,0.0,5.0,3.0,45.75
Jabari Walker,PHI,2025-10-22,401809936,6.0,4.0,0.0,0.0,0.0,0.0,0.0,12.2
Justin Edwards,PHI,2025-10-22,401809936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Drummond,PHI,2025-10-22,401809936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Adem Bona,PHI,2025-10-22,401809936,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0
Quentin Grimes,PHI,2025-10-22,401809936,10.0,5.0,5.0,0.0,0.0,2.0,2.0,16.4
Sam Hauser,BOS,2025-10-22,401809936,8.0,2.0,1.0,0.0,0.0,2.0,2.0,8.6
Neemias Queta,BOS,2025-10-22,401809936,17.0,8.0,0.0,0.0,0.0,0.0,3.0,29.75
Derrick White,BOS,2025-10-22,401809936,25.0,3.0,4.0,1.0,1.0,4.0,7.0,34.35
Jaylen Brown,BOS,2025-10-22,401809936,25.0,6.0,4.0,0.0,0.0,2.0,5.0,37.45
Payton Pritchard,BOS,2025-10-22,401809936,16.0,5.0,2.0,2.0,0.0,1.0,3.0,23.95
