sport,prop,tier,pick_type,decided,hits,misses,hit_rate
MLB,Total Bases,D,Demon,19788,4026,15762,0.2035
CBB,—,D,Demon,18553,4481,14072,0.2415
SOCCER,Shots,D,—,9010,1550,7460,0.172
MLB,Runs,D,Demon,8157,2160,5997,0.2648
NHL,points,D,—,7954,2316,5638,0.2912
CBB,—,C,Standard,7915,4197,3718,0.5303
MLB,Hits,D,Demon,6984,1360,5624,0.1947
NHL,goals,D,—,6394,1189,5205,0.186
NHL,assists,D,—,6363,1570,4793,0.2467
NHL,shots_on_goal,D,—,6216,100,6116,0.0161
MLB,Walks,D,Demon,6049,1761,4288,0.2911
MLB,Home Runs,D,Demon,5638,655,4983,0.1162
CBB,—,C,Goblin,5175,3079,2096,0.595
NBA,Pts+Rebs+Asts,D,Goblin,4122,2522,1600,0.6118
NBA,Points,D,Goblin,4028,2636,1392,0.6544
NBA,Rebs+Asts,D,Goblin,3551,2165,1386,0.6097
CBB,—,D,Standard,3435,1626,1809,0.4734
MLB,Total Bases,A,Goblin,3431,2079,1352,0.6059
MLB,Stolen Bases,D,Demon,3377,352,3025,0.1042
SOCCER,Goal + Assist,D,—,3249,544,2705,0.1674
NBA,Pts+Rebs+Asts,D,Standard,3225,1676,1549,0.5197
SOCCER,Goals,D,—,3189,457,2732,0.1433
NBA,Points,D,Standard,3113,1596,1517,0.5127
MLB,Hits,A,Goblin,3032,1833,1199,0.6046
NBA,Pts+Rebs,D,Goblin,2998,1866,1132,0.6224
NBA,Points,A,Goblin,2972,2263,709,0.7614
MLB,Hitter Strikeouts,D,Demon,2885,607,2278,0.2104
CBB,—,D,Goblin,2868,1661,1207,0.5791
SOCCER,Fouls,D,—,2822,467,2355,0.1655
SOCCER,Assists,D,—,2771,335,2436,0.1209
NBA,Points,D,Demon,2750,1305,1445,0.4745
SOCCER,Shots,A,—,2733,1224,1509,0.4479
NBA,Pts+Rebs,D,Standard,2700,1334,1366,0.4941
CBB,—,A,Goblin,2591,1669,922,0.6442
NBA,Rebounds,D,Goblin,2418,1524,894,0.6303
NHL,plus/minus,D,—,2405,880,1525,0.3659
NBA,Pts+Asts,D,Goblin,2376,1464,912,0.6162
NBA,Pts+Rebs+Asts,D,Demon,2298,784,1514,0.3412
NBA,Pts+Asts,D,Standard,2287,1166,1121,0.5098
CBB,—,B,Standard,2227,1177,1050,0.5285
CBB,—,B,Goblin,2167,1384,783,0.6387
NBA,Rebs+Asts,D,Demon,2115,698,1417,0.33
NBA,Rebounds,D,Demon,2100,915,1185,0.4357
NBA,Points,C,Goblin,2027,1391,636,0.6862
MLB,Hits,D,Goblin,1878,1056,822,0.5623
NBA,Points,B,Goblin,1873,1383,490,0.7384
NBA,Assists,D,Demon,1841,905,936,0.4916
NBA,Rebounds,A,Goblin,1791,1408,383,0.7862
NBA,Rebs+Asts,D,Standard,1777,894,883,0.5031
NBA,Assists,D,Goblin,1760,1077,683,0.6119
NBA,Rebounds,D,Standard,1667,812,855,0.4871
NHL,Points,D,Demon,1501,320,1181,0.2132
NBA,Pts+Rebs+Asts,C,Goblin,1424,899,525,0.6313
NHL,Assists,D,Demon,1377,256,1121,0.1859
SOCCER,Shots,B,—,1373,439,934,0.3197
MLB,Hitter Strikeouts,A,Goblin,1338,800,538,0.5979
NBA,Fantasy Score,D,Standard,1332,739,593,0.5548
CBB,—,A,Standard,1316,734,582,0.5578
MLB,Total Bases,D,Goblin,1310,714,596,0.545
NBA,Assists,A,Goblin,1281,978,303,0.7635
NBA,Pts+Rebs,D,Demon,1205,383,822,0.3178
NBA,Pts+Rebs,A,Goblin,1194,849,345,0.7111
NBA,Pts+Rebs,C,Goblin,1194,790,404,0.6616
NHL,Goals,D,Demon,1183,205,978,0.1733
NBA,Rebounds,C,Goblin,1168,774,394,0.6627
NHL,Shots On Goal,D,Demon,1163,13,1150,0.0112
NBA,FG Attempted,D,Standard,1126,579,547,0.5142
SOCCER,Shots,D,Demon,1105,104,1001,0.0941
NBA,3-PT Made,D,Goblin,1100,687,413,0.6245
NBA,3-PT Made,D,Demon,1088,361,727,0.3318
NBA,Points (Combo),D,Standard,1084,562,522,0.5185
NBA,Steals,A,Goblin,1073,716,357,0.6673
NBA,Pts+Asts,D,Demon,1054,355,699,0.3368
NBA,Assists,D,Standard,1017,524,493,0.5152
NBA,Pts+Rebs+Asts,A,Goblin,995,679,316,0.6824
NBA,Rebs+Asts,A,Goblin,994,680,314,0.6841
NBA,Rebounds,B,Goblin,976,705,271,0.7223
MLB,Total Bases,B,Demon,912,137,775,0.1502
NBA,Pts+Asts,C,Goblin,909,598,311,0.6579
NBA,Rebs+Asts,C,Goblin,906,594,312,0.6556
NBA,3-PT Made,A,Goblin,904,635,269,0.7024
NBA,FG Made,D,Standard,874,424,450,0.4851
NBA,Pts+Rebs+Asts,B,Goblin,872,565,307,0.6479
NBA,Pts+Asts,A,Goblin,842,602,240,0.715
NBA,Blks+Stls,D,Goblin,828,463,365,0.5592
NBA,Points,C,Standard,825,478,347,0.5794
SOCCER,Goalie Saves,D,—,818,213,605,0.2604
NBA,Pts+Rebs,B,Goblin,807,518,289,0.6419
NHL,shots_on_goal,C,—,804,175,629,0.2177
SOCCER,Shots On Target,D,Demon,800,274,526,0.3425
NBA,Two Pointers Attempted,D,Standard,776,408,368,0.5258
NBA,Assists,C,Goblin,775,527,248,0.68
NBA,Blocked Shots,D,Demon,771,256,515,0.332
SOCCER,Goalie Saves,A,—,768,338,430,0.4401
NBA,Fantasy Score,D,Goblin,703,524,179,0.7454
NBA,3-PT Attempted,D,Standard,700,367,333,0.5243
NBA,Assists,B,Goblin,687,490,197,0.7132
NBA,Turnovers,D,Goblin,667,395,272,0.5922
NBA,Free Throws Made,D,Standard,665,307,358,0.4617
NBA,Steals,D,Goblin,639,352,287,0.5509
SOCCER,Shots,C,—,635,175,460,0.2756
NHL,Shots On Goal,A,Standard,632,432,200,0.6835
NBA,Pts+Asts,B,Goblin,622,427,195,0.6865
NBA,Double-Double,D,Demon,620,96,524,0.1548
NHL,Power Play Points,D,Demon,606,458,148,0.7558
MLB,Total Bases,A,Demon,604,162,442,0.2682
NHL,blocked_shots,D,—,603,174,429,0.2886
NBA,Free Throws Attempted,D,Standard,600,327,273,0.545
SOCCER,Goal + Assist,D,Demon,587,127,460,0.2164
MLB,Hits,B,Goblin,567,373,194,0.6578
NBA,Steals,D,Demon,564,177,387,0.3138
NBA,Rebs+Asts,B,Goblin,547,369,178,0.6746
NBA,Personal Fouls,D,Goblin,542,296,246,0.5461
NBA,Two Pointers Made,D,Standard,533,266,267,0.4991
NBA,Blks+Stls,D,Demon,525,193,332,0.3676
NBA,Turnovers,D,Standard,524,268,256,0.5115
SOCCER,Assists,D,Demon,512,25,487,0.0488
MLB,Total Bases,B,Goblin,511,321,190,0.6282
SOCCER,Goals,D,Demon,490,41,449,0.0837
MLB,Hits Allowed,D,Demon,488,121,367,0.248
NBA,Pts+Rebs+Asts,C,Standard,480,265,215,0.5521
SOCCER,Goal + Assist,A,—,471,182,289,0.3864
NHL,Points,A,Standard,469,347,122,0.7399
NBA,Personal Fouls,D,Standard,465,237,228,0.5097
NBA,3-PT Made,D,Standard,465,199,266,0.428
CBB,reb,C,Goblin,436,266,170,0.6101
