sport,player,prop_type,direction,pick_type,line,edge,rank_score,tier,hit_prob_over,hit_prob_under,hit_prob_selected,hit_prob_actionable,leg_prob_used,prop_quality_score,rank_read_score,data_completeness_score,pick_type_eligible,distribution_std,distribution_n,std_norm,confidence_score,calibration_bucket,calibration_actual_hit_rate,calibration_n,read_fields_missing
Tennis,Ashlyn Krueger,Total Games,OVER,Goblin,17.5,5.5,8.0,D,0.8,0.0,0.8,0.8,0.8,0.7678335221073138,0.5872666666666667,0.9,True,4.242640687119285,4,0.6060915267313264,0.7272188510547283,,,,"[""confidence_score""]"
Tennis,Dominika Salkova,Total Games,OVER,Goblin,16.5,8.0,8.0,D,0.4,0.0,0.4,0.4,0.4,0.6134707770092748,0.4707333333333333,0.9,False,6.5,2,0.9285714285714286,0.592571914810389,,,,"[""confidence_score""]"
Tennis,Ashlyn Krueger,Total Games,OVER,Goblin,18.5,4.5,8.0,D,0.8,0.0,0.8,0.8,0.8,0.7531668554406472,0.5686000000000001,0.9,True,4.242640687119285,4,0.6060915267313264,0.722085517721395,,,,"[""confidence_score""]"
Tennis,Jakub Mensik,Total Games Won,OVER,Goblin,15.5,4.5,8.0,D,0.4,0.0,0.4,0.4,0.4,0.5621374436759413,0.4054,0.9,False,2.0,2,0.5714285714285714,0.6638909624294367,,,,"[""confidence_score""]"
Tennis,Jakub Mensik,Total Games Won,OVER,Goblin,14.5,5.5,8.0,D,0.4,0.0,0.4,0.4,0.4,0.5768041103426079,0.42406666666666665,0.9,False,2.0,2,0.5714285714285714,0.6690242957627699,,,,"[""confidence_score""]"
Tennis,Jakub Mensik,Total Games Won,OVER,Goblin,13.5,6.5,8.0,D,0.4,0.0,0.4,0.4,0.4,0.5914707770092746,0.4427333333333333,0.9,False,2.0,2,0.5714285714285714,0.6741576290961033,,,,"[""confidence_score""]"
Tennis,Alexandra Eala,Total Games,OVER,Goblin,17.5,0.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.4652814387739805,0.24913333333333335,0.9,False,0.0,1,0.0,0.7728485035708932,,,,"[""confidence_score""]"
Tennis,Rafael Jodar,Total Games Won,OVER,Goblin,12.5,9.0,8.0,D,0.4,0.0,0.4,0.4,0.4,0.6281374436759414,0.4894,0.9,False,3.5,2,1.0,0.5798481052865795,,,,"[""confidence_score""]"
Tennis,Ajla Tomljanovic,Total Games Won,OVER,Standard,12.5,2.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.4946147721073138,0.28646666666666665,0.9,True,0.0,1,0.0,0.7831151702375598,,,,"[""confidence_score""]"
Tennis,Victoria Jimenez Kasintseva,Aces,OVER,Goblin,1.5,2.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.4946147721073138,0.28646666666666665,0.9,False,0.0,1,0.0,0.7831151702375598,,,,"[""confidence_score""]"
Tennis,Victoria Jimenez Kasintseva,Double Faults,OVER,Goblin,2.5,7.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.5679481054406472,0.3798,0.9,False,0.0,1,0.0,0.8087818369042266,,,,"[""confidence_score""]"
Tennis,Rafael Jodar,Total Games Won,OVER,Goblin,13.5,8.0,8.0,D,0.4,0.0,0.4,0.4,0.4,0.6134707770092748,0.4707333333333333,0.9,False,3.5,2,1.0,0.5747147719532462,,,,"[""confidence_score""]"
Tennis,Ajla Tomljanovic,Total Games,OVER,Standard,21.5,9.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.5972814387739805,0.41713333333333336,0.9,True,0.0,1,0.0,0.8190485035708932,,,,"[""confidence_score""]"
Tennis,Marta Kostyuk,Total Games Won,OVER,Goblin,11.5,3.5,7.8,D,0.4,0.0,0.4,0.4,0.4,0.5468459672002207,0.3867333333333333,0.9,False,3.0,2,0.8571428571428571,0.587110374234363,,,,"[""confidence_score""]"
Tennis,Sorana Cirstea,Total Games Won,OVER,Goblin,7.5,4.5,7.8,D,0.4,0.0,0.4,0.4,0.4,0.5615126338668874,0.4054,0.9,False,0.0,2,0.0,0.8065294218534107,,,,"[""confidence_score""]"
Tennis,Sorana Cirstea,Total Games Won,OVER,Goblin,6.5,5.5,7.8,D,0.4,0.0,0.4,0.4,0.4,0.5761793005335542,0.42406666666666665,0.9,False,0.0,2,0.0,0.811662755186744,,,,"[""confidence_score""]"
Tennis,Marta Kostyuk,Total Games Won,OVER,Goblin,10.5,4.5,7.8,D,0.4,0.0,0.4,0.4,0.4,0.5615126338668874,0.4054,0.9,False,3.0,2,0.8571428571428571,0.5922437075676964,,,,"[""confidence_score""]"
Tennis,Mirra Andreeva,Total Games Won,OVER,Goblin,11.5,2.0,7.8,D,0.4,0.0,0.4,0.4,0.4,0.5248459672002207,0.3587333333333333,0.9,False,1.5,2,0.42857142857142855,0.68655323137722,,,,"[""confidence_score""]"
Tennis,Sorana Cirstea,Total Games Won,OVER,Goblin,11.5,0.5,7.8,D,0.4,0.0,0.4,0.4,0.4,0.5028459672002207,0.3307333333333333,0.9,False,0.0,2,0.0,0.7859960885200773,,,,"[""confidence_score""]"
Tennis,Marta Kostyuk,Total Games Won,OVER,Goblin,9.5,5.5,7.8,D,0.4,0.0,0.4,0.4,0.4,0.5761793005335542,0.42406666666666665,0.9,False,3.0,2,0.8571428571428571,0.5973770409010297,,,,"[""confidence_score""]"
Tennis,Elina Svitolina,Total Games Won,OVER,Goblin,9.5,4.5,7.8,D,0.4,0.0,0.4,0.4,0.4,0.5615126338668874,0.4054,0.9,False,2.0,2,0.5714285714285714,0.6636722789962679,,,,"[""confidence_score""]"
Tennis,Mirra Andreeva,Total Games Won,OVER,Goblin,9.5,4.0,7.8,D,0.4,0.0,0.4,0.4,0.4,0.5541793005335541,0.3960666666666666,0.9,False,1.5,2,0.42857142857142855,0.6968198980438869,,,,"[""confidence_score""]"
Tennis,Sorana Cirstea,Total Games Won,OVER,Goblin,8.5,3.5,7.8,D,0.4,0.0,0.4,0.4,0.4,0.5468459672002207,0.3867333333333333,0.9,False,0.0,2,0.0,0.8013960885200773,,,,"[""confidence_score""]"
Tennis,Elina Svitolina,Total Games Won,OVER,Goblin,8.5,5.5,7.8,D,0.4,0.0,0.4,0.4,0.4,0.5761793005335542,0.42406666666666665,0.9,False,2.0,2,0.5714285714285714,0.6688056123296011,,,,"[""confidence_score""]"
Tennis,Elina Svitolina,Total Games Won,OVER,Goblin,10.5,3.5,7.8,D,0.4,0.0,0.4,0.4,0.4,0.5468459672002207,0.3867333333333333,0.9,False,2.0,2,0.5714285714285714,0.6585389456629345,,,,"[""confidence_score""]"
