sport,player,prop_type,direction,pick_type,line,edge,rank_score,tier,hit_prob_over,hit_prob_under,hit_prob_selected,hit_prob_actionable,leg_prob_used,prop_quality_score,rank_read_score,data_completeness_score,pick_type_eligible,distribution_std,distribution_n,std_norm,confidence_score,calibration_bucket,calibration_actual_hit_rate,calibration_n,read_fields_missing
Tennis,Oksana Selekhmeteva,Total Games Won,OVER,Standard,6.0,7.0,8.0,D,0.6,0.0,0.6,0.6,0.6,0.7598335221073138,0.5336666666666666,0.9,True,3.265986323710904,3,0.5156937181065764,0.7470183032109157,,,,"[""confidence_score""]"
Tennis,Lilli Tagger,Total Games,OVER,Goblin,18.5,2.5,8.0,D,0.6,0.0,0.6,0.6,0.6,0.6938335221073139,0.44966666666666666,0.9,True,1.632993161855452,3,0.171894017037416,0.8098682284782059,,,,"[""confidence_score""]"
Tennis,Oksana Selekhmeteva,Total Games Won,OVER,Goblin,3.5,9.5,8.0,D,0.6,0.0,0.6,0.6,0.6,0.7965001887739805,0.5803333333333334,0.9,True,3.265986323710904,3,0.5156937181065764,0.7598516365442491,,,,"[""confidence_score""]"
Tennis,Sinja Kraus,Total Games Won,OVER,Goblin,4.5,1.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.4799481054406472,0.2678,0.9,False,0.0,1,0.0,0.7779818369042266,,,,"[""confidence_score""]"
Tennis,Oksana Selekhmeteva,Total Games Won,OVER,Goblin,4.5,8.5,8.0,D,0.6,0.0,0.6,0.6,0.6,0.7818335221073138,0.5616666666666666,0.9,True,3.265986323710904,3,0.5156937181065764,0.7547183032109157,,,,"[""confidence_score""]"
Tennis,Sinja Kraus,Total Games Won,OVER,Goblin,5.5,0.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.4652814387739805,0.24913333333333335,0.9,False,0.0,1,0.0,0.7728485035708932,,,,"[""confidence_score""]"
Tennis,Oksana Selekhmeteva,Total Games Won,OVER,Standard,6.0,7.0,8.0,D,0.6,0.0,0.6,0.6,0.6,0.7598335221073138,0.5336666666666666,0.9,True,3.265986323710904,3,0.5156937181065764,0.7470183032109157,,,,"[""confidence_score""]"
Tennis,Mirra Andreeva,Total Games,OVER,Goblin,14.5,7.5,7.8,D,0.6,0.0,0.6,0.6,0.6,0.7665420456315932,0.543,0.9,True,6.377042156569663,3,0.6712675954283857,0.7104728171139613,,,,"[""confidence_score""]"
Tennis,Mirra Andreeva,Total Games,OVER,Goblin,15.5,6.5,7.8,D,0.6,0.0,0.6,0.6,0.6,0.7518753789649266,0.5243333333333333,0.9,True,6.377042156569663,3,0.6712675954283857,0.7053394837806279,,,,"[""confidence_score""]"
Tennis,Sorana Cirstea,Total Games,OVER,Goblin,15.5,9.0,7.8,D,0.4,0.0,0.4,0.4,0.4,0.6275126338668874,0.4894,0.9,False,6.5,2,0.6842105263157895,0.6585767902744633,,,,"[""confidence_score""]"
Tennis,Mirra Andreeva,Total Games,OVER,Goblin,16.5,5.5,7.8,D,0.6,0.0,0.6,0.6,0.6,0.73720871229826,0.5056666666666667,0.9,True,6.377042156569663,3,0.6712675954283857,0.7002061504472946,,,,"[""confidence_score""]"
Tennis,Sorana Cirstea,Total Games,OVER,Goblin,16.5,8.0,7.8,D,0.4,0.0,0.4,0.4,0.4,0.6128459672002208,0.4707333333333333,0.9,False,6.5,2,0.6842105263157895,0.6534434569411299,,,,"[""confidence_score""]"
Tennis,Sorana Cirstea,Total Games,OVER,Standard,17.0,7.5,7.8,D,0.4,0.0,0.4,0.4,0.4,0.6055126338668874,0.4614,0.9,True,6.5,2,0.6842105263157895,0.6508767902744632,,,,"[""confidence_score""]"
WNBA,Alyssa Thomas,FG Attempted,UNDER,Standard,13.5,-3.45,7.7,D,0.0,1.0,1.0,1.0,1.0,0.4368120369207717,0.7222,0.8,True,2.9342801502242417,10,0.619843304693291,0.5679233867489474,,,,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Allisha Gray,Rebounds,OVER,Goblin,3.5,3.35,7.61,C,1.0,0.0,1.0,1.0,1.0,0.7900378896151892,0.7453333333333333,0.8,True,2.72213151776324,10,0.607322170692323,0.6946827186922355,,,,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Jordin Canada,Rebounds,OVER,Goblin,1.5,2.05,7.33,A,1.0,0.0,1.0,1.0,1.0,0.7999478327189786,0.7510666666666667,0.8,True,1.676305461424021,10,0.3739927571214357,0.7564835521712837,,,,"[""confidence_score"", ""calibration_bucket""]"
Soccer,Lionel Messi,Shots On Target,OVER,Goblin,1.5,1.5,7.04,C,1.0,0.0,1.0,1.0,1.0,0.76070686699009,0.7108,0.8,True,1.0,10,0.8277223984559385,0.6293168038325468,,,,"[""league"", ""confidence_score""]"
Soccer,Zion Suzuki,Goalie Saves,OVER,Goblin,1.5,2.3,7.0,C,1.0,0.0,1.0,1.0,1.0,0.7722684981535596,0.6413333333333332,0.8,True,1.178030178747903,7,0.4908459078116262,0.7175824974008393,,,,"[""league"", ""confidence_score""]"
Soccer,Dayne St. Clair,Goalie Saves,OVER,Goblin,1.5,2.1,6.96,C,0.8,0.2,0.8,0.8,0.8,0.6731610130840134,0.6332,0.8,True,1.8681541692269406,10,0.7783975705112252,0.6110069619515985,,,,"[""league"", ""confidence_score""]"
Soccer,Wladimiro Falcone,Goalie Saves,OVER,Goblin,1.5,2.5,6.88,D,1.0,0.0,1.0,1.0,1.0,0.7496719072639549,0.6972666666666667,0.8,True,1.4907119849998598,9,0.6211299937499415,0.6771026691048989,,,,"[""league"", ""confidence_score""]"
WNBA,Satou Sabally,Rebounds,OVER,Goblin,2.5,3.8,6.69,A,1.0,0.0,1.0,1.0,1.0,0.8228524367257147,0.6789333333333333,0.8,True,2.4083189157584592,10,0.5373088927164108,0.7236711296748976,,,,"[""confidence_score"", ""calibration_bucket""]"
Soccer,Arthur Atta,Shots,OVER,Goblin,0.5,1.5,6.69,B,1.0,0.0,1.0,1.0,1.0,0.7751191033923814,0.7124,0.8,True,1.5,8,0.7894736842105262,0.643923265134702,,,,"[""league"", ""confidence_score""]"
WNBA,Sonia Citron,3-PT Made,OVER,Goblin,0.5,1.4,6.58,A,0.8,0.2,0.8,0.8,0.8,0.6911119064136019,0.6573333333333333,0.8,True,1.1832159566199232,10,0.5144417202695318,0.6832787371773777,7,0.526066,1266.0,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Azzi Fudd,Points,OVER,Goblin,4.5,5.25,6.45,A,0.8,0.0,0.8,0.8,0.8,0.8129126538214366,0.6231999999999999,0.8,True,2.277608394786075,4,0.3092567691458618,0.7772052365510373,7,0.526066,1266.0,"[""confidence_score"", ""calibration_bucket""]"
