sport,player,prop_type,direction,pick_type,line,edge,rank_score,tier,hit_prob_over,hit_prob_under,hit_prob_selected,hit_prob_actionable,leg_prob_used,prop_quality_score,rank_read_score,implied_prob,implied_prob_over,implied_prob_under,cross_edge,data_completeness_score,pick_type_eligible,distribution_std,distribution_n,std_norm,confidence_score,calibration_bucket,calibration_actual_hit_rate,calibration_n,read_fields_missing
Tennis,Andrea Lazaro Garcia,Total Games Won,OVER,Goblin,11.5,-0.3,6.96,D,0.8,0.2,0.8,0.8,0.8,0.6217610130840135,0.5046,,,,,0.9,True,3.283,9,0.6044482085650108,0.6765043024381521,,,,[]
Tennis,Petra Marcinko,Total Games,OVER,Goblin,15.5,5.1,6.8,D,0.8,0.2,0.8,0.8,0.8,0.6914393067472824,0.6014,,,,,0.9,True,6.2013,10,0.8438061285582105,0.6410522252219962,,,,[]
Tennis,Darja Semenistaja,Aces,OVER,Goblin,0.5,1.1,6.8,D,1.0,0.0,1.0,1.0,1.0,0.7287726400806157,0.5939333333333333,,,,,0.9,True,1.5776,10,0.42013315579227695,0.7600371350801463,,,,[]
MLB,Ceddanne Rafaela,Hits+Runs+RBIs,OVER,Goblin,0.5,3.1,6.79,B,1.0,0.0,1.0,1.0,1.0,0.5576845049884378,0.7278666666666667,,,,,0.8,True,2.6854,10,0.9265431459821275,0.5335537902504215,,,,[]
Tennis,Diana Shnaider,Double Faults,OVER,Goblin,1.5,2.1,6.6,D,0.8,0.2,0.8,0.8,0.8,0.6464783928849819,0.5454,,,,,0.9,True,1.5239,10,0.4726238548043944,0.718111473808645,,,,[]
Tennis,Robin Montgomery,Aces,OVER,Goblin,1.5,2.1,6.6,D,0.8,0.2,0.8,0.8,0.8,0.6464783928849819,0.5382,,,,,0.9,True,2.4608,10,0.6553395472703062,0.6724325506921671,,,,[]
Tennis,Mirra Andreeva,Total Games Won,OVER,Goblin,9.5,2.5,6.6,D,0.8,0.2,0.8,0.8,0.8,0.6523450595516486,0.5528666666666667,,,,,0.9,True,2.8674,10,0.5279301837463637,0.706338224906486,,,,[]
Tennis,Lucia Bronzetti,Total Games,OVER,Goblin,16.5,9.1,6.6,D,0.8,0.2,0.8,0.8,0.8,0.7491450595516487,0.6688666666666668,,,,,0.9,True,6.7667,10,0.9207396723452893,0.6420158527567547,,,,[]
Tennis,Alina Charaeva,Double Faults,OVER,Goblin,3.5,1.7,6.6,D,0.8,0.2,0.8,0.8,0.8,0.6406117262183153,0.5163333333333333,,,,,0.9,True,2.3875,5,0.7404616138496566,0.6490987007139962,,,,[]
Tennis,Mirra Andreeva,Total Games Won,OVER,Goblin,8.5,3.5,6.6,D,0.8,0.2,0.8,0.8,0.8,0.6670117262183153,0.5715333333333333,,,,,0.9,True,2.8674,10,0.5279301837463637,0.7114715582398194,,,,[]
Tennis,Lucia Bronzetti,Total Games,OVER,Standard,16.5,9.1,6.6,D,0.8,0.2,0.8,0.8,0.8,0.7491450595516487,0.6688666666666668,,,,,0.9,True,6.7667,10,0.9207396723452893,0.6420158527567547,,,,[]
MLB,Chris Sale,Pitcher Strikeouts,OVER,Goblin,5.5,3.1,6.59,C,1.0,0.0,1.0,1.0,1.0,0.5407202361216453,0.6418666666666667,,,,,0.8,True,2.0976,10,0.6422535211267605,0.5986887023608858,,,,[]
MLB,Jared Jones,Pitcher Strikeouts,OVER,Goblin,4.5,1.5,6.55,C,0.2,0.0,0.2,0.2,0.2,0.3692087912846011,0.3556,,,,,0.8,False,0.0,1,0.0,0.6992230769496104,0,0.170044,18113.0,[]
Tennis,Maja Chwalinska,Total Games Won,OVER,Goblin,7.5,3.1,6.4,D,0.8,0.2,0.8,0.8,0.8,0.6601151582139164,0.5568666666666667,,,,,0.9,True,4.8178,10,0.8870272857826711,0.619283483929203,,,,[]
Tennis,Ashlyn Krueger,Total Games,OVER,Goblin,19.5,4.9,6.4,D,0.8,0.2,0.8,0.8,0.8,0.6865151582139164,0.5904666666666666,,,,,0.9,True,4.2479,10,0.5780084907200783,0.7057781826948512,,,,[]
Tennis,Ashlyn Krueger,Total Games,OVER,Goblin,20.5,3.9,6.4,D,0.8,0.2,0.8,0.8,0.8,0.6718484915472498,0.5718,,,,,0.9,True,4.2479,10,0.5780084907200783,0.7006448493615178,,,,[]
Tennis,Ashlyn Krueger,Double Faults,OVER,Goblin,3.5,2.1,6.4,D,0.8,0.2,0.8,0.8,0.8,0.6454484915472497,0.5382,,,,,0.9,True,2.8983,10,0.8988816315897212,0.6111865641441071,,,,[]
