sport,player,prop_type,direction,pick_type,line,edge,rank_score,tier,hit_prob_over,hit_prob_under,hit_prob_selected,hit_prob_actionable,leg_prob_used,prop_quality_score,rank_read_score,data_completeness_score,pick_type_eligible,distribution_std,distribution_n,std_norm,confidence_score,calibration_bucket,calibration_actual_hit_rate,calibration_n,read_fields_missing
Tennis,Vilius Gaubas,Total Games,OVER,Standard,21.5,1.5,8.2,D,0.2,0.0,0.2,0.2,0.2,0.4805285067250704,0.2678,0.8,True,,0,0.5,0.6131849773537748,,,,"[""surface"", ""confidence_score""]"
Tennis,Vilius Gaubas,Total Games,OVER,Goblin,19.5,3.5,8.2,D,0.2,0.0,0.2,0.2,0.2,0.5098618400584037,0.3051333333333333,0.8,False,,0,0.5,0.6234516440204414,,,,"[""surface"", ""confidence_score""]"
Tennis,Vilius Gaubas,Total Games,OVER,Goblin,20.5,2.5,8.2,D,0.2,0.0,0.2,0.2,0.2,0.4951951733917371,0.28646666666666665,0.8,False,,0,0.5,0.618318310687108,,,,"[""surface"", ""confidence_score""]"
Tennis,Jaqueline Cristian,Total Games Won,OVER,Goblin,8.5,2.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.4946147721073138,0.28646666666666665,0.8,False,,0,0.5,0.6181151702375599,,,,"[""surface"", ""confidence_score""]"
Tennis,Sinja Kraus,Total Games,OVER,Goblin,17.5,0.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.4652814387739805,0.24913333333333335,0.8,False,,0,0.5,0.6078485035708933,,,,"[""surface"", ""confidence_score""]"
Tennis,Stefanos Tsitsipas,Total Games,OVER,Goblin,19.5,2.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.4946147721073138,0.28646666666666665,0.8,False,,0,0.5,0.6181151702375599,,,,"[""surface"", ""confidence_score""]"
Tennis,Jaqueline Cristian,Total Games Won,OVER,Goblin,10.5,0.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.4652814387739805,0.24913333333333335,0.8,False,,0,0.5,0.6078485035708933,,,,"[""surface"", ""confidence_score""]"
Tennis,Stefanos Tsitsipas,Total Games,OVER,Goblin,18.5,3.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.5092814387739806,0.3051333333333333,0.8,False,,0,0.5,0.6232485035708932,,,,"[""surface"", ""confidence_score""]"
Tennis,Stefanos Tsitsipas,Total Games,OVER,Goblin,20.5,1.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.4799481054406472,0.2678,0.8,False,,0,0.5,0.6129818369042266,,,,"[""surface"", ""confidence_score""]"
Tennis,Jaqueline Cristian,Total Games Won,OVER,Goblin,9.5,1.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.4799481054406472,0.2678,0.8,False,,0,0.5,0.6129818369042266,,,,"[""surface"", ""confidence_score""]"
WNBA,Jovana Nogic,3-PT Made,OVER,Goblin,1.5,2.83,7.98,A,0.6,0.0,0.6,0.6,0.6,0.7536130888013862,0.5592266666666666,0.8,True,0.4714045207910317,3,0.25989372519515014,0.7687911497816977,4,0.458176,1853.0,"[""confidence_score"", ""calibration_bucket""]"
Tennis,Cameron Norrie,Total Games Won,OVER,Goblin,10.5,5.0,7.8,D,0.4,0.0,0.4,0.4,0.4,0.5688459672002207,0.4147333333333333,0.8,False,,0,0.5,0.6440960885200773,,,,"[""surface"", ""confidence_score""]"
Tennis,Alex de Minaur,Total Games Won,OVER,Standard,12.5,1.5,7.8,D,0.6,0.0,0.6,0.6,0.6,0.6785420456315934,0.431,0.8,True,,0,0.5,0.6824897159710577,,,,"[""surface"", ""confidence_score""]"
Tennis,Alex de Minaur,Total Games Won,OVER,Goblin,11.5,2.5,7.8,D,0.6,0.0,0.6,0.6,0.6,0.69320871229826,0.44966666666666666,0.8,True,,0,0.5,0.687623049304391,,,,"[""surface"", ""confidence_score""]"
