layer,hit_rate,n,lift_pp
baseline,0.5118440906165258,284319,0.0
tier_HIGH,0.6187051913276324,92616,10.686110071110654
tier_MED,0.545108760251991,109369,3.326466963546515
tier_LOW,0.3474506279301382,82334,-16.43934626863876
tier_HIGH_or_MED,0.5788548654603065,201985,6.701077484378071
