slice,sport,prop,category,n,hr,baseline_hr,lift_pp
top×soft,NBA,Pts+Rebs,pra,27,0.7407407407407407,0.5,24.07407407407407
top×soft,NHL,Assists,assists,20,0.5,0.26765799256505574,23.234200743494426
top×soft,NBA,Points,pts,52,0.7307692307692307,0.522466039707419,20.83031910618117
top×soft,NBA1Q,Points,pts,32,0.8125,0.6319290465631929,18.057095343680707
top×soft,NHL,Points,points,41,0.3902439024390244,0.23076923076923078,15.947467166979362
top×soft,NBA,Rebounds,reb,34,0.6764705882352942,0.5691411935953421,10.732939463995205
top×soft,WNBA,Assists,ast,86,0.5116279069767442,0.4085603112840467,10.306759569269753
top×soft,NBA,Assists,ast,17,0.7058823529411765,0.60828025477707,9.760209816410647
top×soft,NHL,Goals,shots,32,0.3125,0.2191780821917808,9.332191780821919
top×soft,NBA,Pts+Rebs+Asts,pra,29,0.5862068965517241,0.5016611295681063,8.454576698361782
bottom×tough,MLB,RBIs,rbi,25,0.28,0.20481927710843373,7.518072289156629
top×soft,NBA,Rebs+Asts,pra,25,0.56,0.4896030245746692,7.039697542533085
top×soft,WNBA,3-PT Made,fg3m,76,0.47368421052631576,0.40476190476190477,6.8922305764411
top×soft,WNBA,Points,pts,184,0.483695652173913,0.43486238532110094,4.883326685281208
top×soft,NBA,Pts+Asts,pra,27,0.5925925925925926,0.550561797752809,4.203079483978356
top×soft,MLB,Hits,hits,1217,0.40509449465899755,0.36441298511105685,4.06815095479407
bottom×tough,NHL,Blocks,shots,40,0.55,0.5111111111111111,3.8888888888888973
top×soft,WNBA,Pts+Asts,pra,75,0.4,0.37185929648241206,2.8140703517587964
top×soft,MLB,Runs,hits,1229,0.24084621643612694,0.2174882338370077,2.3357982599119254
top×soft,MLB,RBIs,rbi,49,0.20408163265306123,0.20481927710843373,-0.07376444553724992
top×soft,WNBA,Pts+Rebs,pra,110,0.37272727272727274,0.3793103448275862,-0.6583072100313447
bottom×tough,MLB,Strikeouts,hits,355,0.37464788732394366,0.38193819381938193,-0.729030649543827
top×soft,WNBA,Rebs+Asts,pra,30,0.36666666666666664,0.38144329896907214,-1.4776632302405501
top×soft,MLB,Strikeouts,hits,931,0.35660580021482274,0.38193819381938193,-2.533239360455919
bottom×tough,MLB,Runs,hits,356,0.19101123595505617,0.2174882338370077,-2.647699788195151
bottom×tough,NHL,Assists,assists,17,0.23529411764705882,0.26765799256505574,-3.2363874917996913
top×soft,WNBA,Rebounds,reb,188,0.39361702127659576,0.42950108459869846,-3.58840633221027
top×soft,WNBA,Pts+Rebs+Asts,pra,93,0.3548387096774194,0.4083969465648855,-5.3558236887466135
top×soft,WNBA,Fantasy Score,pra,23,0.4782608695652174,0.5737704918032787,-9.550962223806126
bottom×tough,MLB,Hits,hits,416,0.25721153846153844,0.36441298511105685,-10.720144664951842
