section,sport,direction,ml_bucket,n,hit_rate,avg_ml_prob,edge_pp,ever_qualified,first_qualified_date,peak_hit_rate,total_days_qualified,avg_legs_available_per_day,days_built,all_2_hit,all_2_hit_pct,avg_leg_hr,most_common_combo
calibration,NHL,UNDER,0.50-0.55,106.0,0.4717,0.5236,-5.19,,,,,,,,,,
calibration,NHL,UNDER,0.55-0.60,77.0,0.4675,0.5768,-10.93,,,,,,,,,,
calibration,NHL,UNDER,0.60-0.65,233.0,0.4464,0.6214,-17.5,,,,,,,,,,
calibration,NHL,UNDER,0.65-0.70,115.0,0.4174,0.6755,-25.81,,,,,,,,,,
calibration,NHL,UNDER,0.70+,984.0,0.4217,0.8249,-40.32,,,,,,,,,,
calibration,SOCCER,OVER,0.50-0.55,578.0,0.4983,0.5138,-1.55,,,,,,,,,,
calibration,SOCCER,OVER,0.55-0.60,1513.0,0.1573,0.5637,-40.64,,,,,,,,,,
calibration,SOCCER,OVER,0.60-0.65,128.0,0.25,0.6222,-37.22,,,,,,,,,,
calibration,SOCCER,OVER,0.65-0.70,1642.0,0.0974,0.6674,-56.99,,,,,,,,,,
calibration,SOCCER,OVER,0.70+,3674.0,0.1176,0.934,-81.64,,,,,,,,,,
calibration,SOCCER,UNDER,0.50-0.55,9.0,0.4444,0.5004,-5.59,,,,,,,,,,
calibration,SOCCER,UNDER,0.55-0.60,55.0,0.6182,0.5593,5.89,,,,,,,,,,
calibration,SOCCER,UNDER,0.60-0.65,9.0,0.5556,0.6222,-6.66,,,,,,,,,,
calibration,SOCCER,UNDER,0.65-0.70,7.0,0.7143,0.6799,3.44,,,,,,,,,,
calibration,SOCCER,UNDER,0.70+,121.0,0.6777,0.9656,-28.79,,,,,,,,,,
calibration,TENNIS,OVER,0.50-0.55,140.0,0.4571,0.5308,-7.37,,,,,,,,,,
calibration,TENNIS,OVER,0.55-0.60,103.0,0.5534,0.5753,-2.19,,,,,,,,,,
calibration,TENNIS,OVER,0.60-0.65,90.0,0.6444,0.6202,2.43,,,,,,,,,,
calibration,TENNIS,OVER,0.65-0.70,30.0,0.4333,0.6744,-24.11,,,,,,,,,,
calibration,TENNIS,OVER,0.70+,85.0,0.4471,0.724,-27.69,,,,,,,,,,
calibration,TENNIS,UNDER,0.50-0.55,11.0,0.2727,0.5265,-25.38,,,,,,,,,,
calibration,TENNIS,UNDER,0.55-0.60,6.0,1.0,0.5667,43.33,,,,,,,,,,
calibration,TENNIS,UNDER,0.60-0.65,12.0,0.8333,0.6249,20.84,,,,,,,,,,
calibration,TENNIS,UNDER,0.65-0.70,24.0,0.6667,0.679,-1.23,,,,,,,,,,
calibration,TENNIS,UNDER,0.70+,12.0,0.5,0.7361,-23.61,,,,,,,,,,
calibration,WNBA,OVER,0.50-0.55,166.0,0.4036,0.5222,-11.86,,,,,,,,,,
calibration,WNBA,OVER,0.55-0.60,105.0,0.5333,0.5672,-3.39,,,,,,,,,,
calibration,WNBA,OVER,0.60-0.65,97.0,0.5464,0.6191,-7.27,,,,,,,,,,
calibration,WNBA,OVER,0.65-0.70,94.0,0.5745,0.6685,-9.4,,,,,,,,,,
calibration,WNBA,OVER,0.70+,249.0,0.5341,0.8103,-27.61,,,,,,,,,,
calibration,WNBA,UNDER,0.50-0.55,263.0,0.5361,0.5205,1.56,,,,,,,,,,
calibration,WNBA,UNDER,0.55-0.60,122.0,0.4426,0.5741,-13.14,,,,,,,,,,
calibration,WNBA,UNDER,0.60-0.65,60.0,0.5667,0.6267,-6.0,,,,,,,,,,
calibration,WNBA,UNDER,0.65-0.70,52.0,0.4423,0.6657,-22.34,,,,,,,,,,
calibration,WNBA,UNDER,0.70+,450.0,0.4889,0.8542,-36.53,,,,,,,,,,
wf_qualification,CBB,,,,,,,0.0,,,0.0,,,,,,
wf_qualification,MLB,,,,,,,1.0,2026-04-26,0.7059,35.0,2.37,,,,,
wf_qualification,NBA,,,,,,,1.0,2026-04-16,0.6291,45.0,7.07,,,,,
wf_qualification,NBA1H,,,,,,,0.0,,,0.0,,,,,,
wf_qualification,NBA1Q,,,,,,,1.0,2026-04-16,0.7294,45.0,12.2,,,,,
wf_qualification,NHL,,,,,,,1.0,2026-04-28,0.6585,19.0,18.21,,,,,
wf_qualification,SOCCER,,,,,,,1.0,2026-04-16,0.6701,21.0,7.9,,,,,
wf_qualification,TENNIS,,,,,,,1.0,2026-05-29,0.6056,2.0,8.5,,,,,
wf_qualification,WNBA,,,,,,,1.0,2026-05-19,0.6667,6.0,28.17,,,,,
locks2_by_sport,CBB,,,,,,,,,,,,0.0,0.0,,,
locks2_by_sport,MLB,,,,,,,,,,,,10.0,3.0,30.0,0.5,MLB UNDER + MLB UNDER
locks2_by_sport,NBA,,,,,,,,,,,,7.0,2.0,28.6,0.6429,NBA UNDER + NBA UNDER
locks2_by_sport,NBA1H,,,,,,,,,,,,0.0,0.0,,,
locks2_by_sport,NBA1Q,,,,,,,,,,,,31.0,21.0,67.7,0.8065,NBA1Q OVER + NBA1Q OVER
locks2_by_sport,NHL,,,,,,,,,,,,12.0,8.0,66.7,0.75,NHL OVER + NHL OVER
locks2_by_sport,SOCCER,,,,,,,,,,,,9.0,5.0,55.6,0.6667,SOCCER UNDER + SOCCER UNDER
locks2_by_sport,TENNIS,,,,,,,,,,,,2.0,0.0,0.0,0.5,TENNIS OVER + TENNIS OVER
locks2_by_sport,WNBA,,,,,,,,,,,,5.0,1.0,20.0,0.4,WNBA OVER + WNBA OVER
