projection_id,player_name,team,prop_type,line_score,start_time,sport,league,pick_type,standard_line,goblin_line,demon_line,pp_projection_id,player_id,pp_game_id,player,line,pos,opp_team,pp_home_team,pp_away_team,image_url,tournament,prop_norm,unsupported_prop,espn_athlete_id,tour
12079663,Solana Sierra,SOLANA SIERRA,Double Faults,10.5,2026-05-14T08:05:00.000-04:00,Tennis,TENNIS,Demon,,,,12079663,206361,159177,Solana Sierra,10.5,Player,,,,https://static.prizepicks.com/images/manual/Solana Sierra.png,,double_faults,0,6500,WTA
12079659,Dayana Yastremska,DAYANA YASTREMSKA,Double Faults,9.5,2026-05-14T08:05:00.000-04:00,Tennis,TENNIS,Demon,,,,12079659,201217,159177,Dayana Yastremska,9.5,Player,,,,https://static.flashscore.com/res/image/data/pl17lbcM-8fYqFF2n.png,,double_faults,0,3142,WTA
12079656,Dayana Yastremska,DAYANA YASTREMSKA,Double Faults,7.5,2026-05-14T08:05:00.000-04:00,Tennis,TENNIS,Goblin,,,,12079656,201217,159177,Dayana Yastremska,7.5,Player,,,,https://static.flashscore.com/res/image/data/pl17lbcM-8fYqFF2n.png,,double_faults,0,3142,WTA
12086084,Solana Sierra,SOLANA SIERRA,Double Faults,7.5,2026-05-14T08:05:00.000-04:00,Tennis,TENNIS,Goblin,,,,12086084,206361,159177,Solana Sierra,7.5,Player,,,,https://static.prizepicks.com/images/manual/Solana Sierra.png,,double_faults,0,6500,WTA
12079655,Dayana Yastremska,DAYANA YASTREMSKA,Aces,4.5,2026-05-14T08:05:00.000-04:00,Tennis,TENNIS,Demon,,,,12079655,201217,159177,Dayana Yastremska,4.5,Player,,,,https://static.flashscore.com/res/image/data/pl17lbcM-8fYqFF2n.png,,aces,0,3142,WTA
12079653,Dayana Yastremska,DAYANA YASTREMSKA,Aces,3.5,2026-05-14T08:05:00.000-04:00,Tennis,TENNIS,Demon,,,,12079653,201217,159177,Dayana Yastremska,3.5,Player,,,,https://static.flashscore.com/res/image/data/pl17lbcM-8fYqFF2n.png,,aces,0,3142,WTA
12079662,Solana Sierra,SOLANA SIERRA,Aces,3.5,2026-05-14T08:05:00.000-04:00,Tennis,TENNIS,Demon,,,,12079662,206361,159177,Solana Sierra,3.5,Player,,,,https://static.prizepicks.com/images/manual/Solana Sierra.png,,aces,0,6500,WTA
12075211,Dayana Yastremska,DAYANA YASTREMSKA,Total Sets,2.5,2026-05-14T08:05:00.000-04:00,Tennis,TENNIS,Demon,,,,12075211,201217,159177,Dayana Yastremska,2.5,Player,,,,https://static.flashscore.com/res/image/data/pl17lbcM-8fYqFF2n.png,,total_sets,1,3142,WTA
12079654,Dayana Yastremska,DAYANA YASTREMSKA,Aces,2.5,2026-05-14T08:05:00.000-04:00,Tennis,TENNIS,Demon,,,,12079654,201217,159177,Dayana Yastremska,2.5,Player,,,,https://static.flashscore.com/res/image/data/pl17lbcM-8fYqFF2n.png,,aces,0,3142,WTA
12079661,Solana Sierra,SOLANA SIERRA,Aces,2.5,2026-05-14T08:05:00.000-04:00,Tennis,TENNIS,Demon,,,,12079661,206361,159177,Solana Sierra,2.5,Player,,,,https://static.prizepicks.com/images/manual/Solana Sierra.png,,aces,0,6500,WTA
12079652,Dayana Yastremska,DAYANA YASTREMSKA,Aces,1.5,2026-05-14T08:05:00.000-04:00,Tennis,TENNIS,Goblin,,,,12079652,201217,159177,Dayana Yastremska,1.5,Player,,,,https://static.flashscore.com/res/image/data/pl17lbcM-8fYqFF2n.png,,aces,0,3142,WTA
12079660,Solana Sierra,SOLANA SIERRA,Aces,1.5,2026-05-14T08:05:00.000-04:00,Tennis,TENNIS,Goblin,,,,12079660,206361,159177,Solana Sierra,1.5,Player,,,,https://static.prizepicks.com/images/manual/Solana Sierra.png,,aces,0,6500,WTA
12079278,Dayana Yastremska,DAYANA YASTREMSKA,Total Tie Breaks,0.5,2026-05-14T08:05:00.000-04:00,Tennis,TENNIS,Demon,,,,12079278,201217,159177,Dayana Yastremska,0.5,Player,,,,https://static.flashscore.com/res/image/data/pl17lbcM-8fYqFF2n.png,,total_tie_breaks,1,3142,WTA
12077792,Coco Gauff,COCO GAUFF,Fantasy Score,16.0,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Standard,16.0,,,12077792,201229,158966,Coco Gauff,16.0,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,fantasy_score,1,3626,WTA
12055728,Coco Gauff,COCO GAUFF,Total Games,25.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12055728,201229,158966,Coco Gauff,25.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,match_total_games,0,3626,WTA
12055691,Coco Gauff,COCO GAUFF,Total Games,23.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12055691,201229,158966,Coco Gauff,23.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,match_total_games,0,3626,WTA
12055692,Coco Gauff,COCO GAUFF,Total Games,22.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12055692,201229,158966,Coco Gauff,22.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,match_total_games,0,3626,WTA
12054667,Coco Gauff,COCO GAUFF,Total Games,21.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Standard,21.5,,,12054667,201229,158966,Coco Gauff,21.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,match_total_games,0,3626,WTA
12059371,Coco Gauff,COCO GAUFF,Total Games,19.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Goblin,,,,12059371,201229,158966,Coco Gauff,19.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,match_total_games,0,3626,WTA
12055690,Coco Gauff,COCO GAUFF,Total Games,18.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Goblin,,,,12055690,201229,158966,Coco Gauff,18.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,match_total_games,0,3626,WTA
12055689,Coco Gauff,COCO GAUFF,Total Games,17.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Goblin,,,,12055689,201229,158966,Coco Gauff,17.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,match_total_games,0,3626,WTA
12067845,Coco Gauff,COCO GAUFF,Total Games Won,14.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12067845,201229,158966,Coco Gauff,14.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,games_won,0,3626,WTA
12059870,Sorana Cirstea,SORANA CIRSTEA,Total Games Won,13.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12059870,223369,158966,Sorana Cirstea,13.5,Player,,,,https://www.flashscore.com/res/image/data/vsolvPAr-vRt5bOUD.png,,games_won,0,1774,WTA
12067844,Coco Gauff,COCO GAUFF,Total Games Won,13.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12067844,201229,158966,Coco Gauff,13.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,games_won,0,3626,WTA
12055693,Coco Gauff,COCO GAUFF,Total Games Won,12.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Standard,12.5,,,12055693,201229,158966,Coco Gauff,12.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,games_won,0,3626,WTA
12059871,Sorana Cirstea,SORANA CIRSTEA,Total Games Won,12.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12059871,223369,158966,Sorana Cirstea,12.5,Player,,,,https://www.flashscore.com/res/image/data/vsolvPAr-vRt5bOUD.png,,games_won,0,1774,WTA
12059863,Coco Gauff,COCO GAUFF,Total Games Won,11.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Goblin,,,,12059863,201229,158966,Coco Gauff,11.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,games_won,0,3626,WTA
12055695,Sorana Cirstea,SORANA CIRSTEA,Total Games Won,11.0,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Standard,11.0,,,12055695,223369,158966,Sorana Cirstea,11.0,Player,,,,https://www.flashscore.com/res/image/data/vsolvPAr-vRt5bOUD.png,,games_won,0,1774,WTA
12059864,Coco Gauff,COCO GAUFF,Total Games Won,10.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Goblin,,,,12059864,201229,158966,Coco Gauff,10.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,games_won,0,3626,WTA
12059859,Coco Gauff,COCO GAUFF,Double Faults,7.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12059859,201229,158966,Coco Gauff,7.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,double_faults,0,3626,WTA
12059874,Sorana Cirstea,SORANA CIRSTEA,Total Games Won,7.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Goblin,,,,12059874,223369,158966,Sorana Cirstea,7.5,Player,,,,https://www.flashscore.com/res/image/data/vsolvPAr-vRt5bOUD.png,,games_won,0,1774,WTA
12059858,Coco Gauff,COCO GAUFF,Double Faults,6.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12059858,201229,158966,Coco Gauff,6.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,double_faults,0,3626,WTA
12059872,Sorana Cirstea,SORANA CIRSTEA,Total Games Won,6.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Goblin,,,,12059872,223369,158966,Sorana Cirstea,6.5,Player,,,,https://www.flashscore.com/res/image/data/vsolvPAr-vRt5bOUD.png,,games_won,0,1774,WTA
12091246,Coco Gauff,COCO GAUFF,Aces,6.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12091246,201229,158966,Coco Gauff,6.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,aces,0,3626,WTA
12059860,Coco Gauff,COCO GAUFF,Double Faults,5.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12059860,201229,158966,Coco Gauff,5.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,double_faults,0,3626,WTA
12059862,Coco Gauff,COCO GAUFF,Double Faults,4.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Standard,4.5,,,12059862,201229,158966,Coco Gauff,4.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,double_faults,0,3626,WTA
12091247,Sorana Cirstea,SORANA CIRSTEA,Aces,4.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12091247,223369,158966,Sorana Cirstea,4.5,Player,,,,https://www.flashscore.com/res/image/data/vsolvPAr-vRt5bOUD.png,,aces,0,1774,WTA
12095071,Coco Gauff,COCO GAUFF,Break Points Won,4.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Standard,4.5,,,12095071,201229,158966,Coco Gauff,4.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,break_points_won,0,3626,WTA
12059865,Sorana Cirstea,SORANA CIRSTEA,Aces,3.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12059865,223369,158966,Sorana Cirstea,3.5,Player,,,,https://www.flashscore.com/res/image/data/vsolvPAr-vRt5bOUD.png,,aces,0,1774,WTA
12059867,Sorana Cirstea,SORANA CIRSTEA,Double Faults,3.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12059867,223369,158966,Sorana Cirstea,3.5,Player,,,,https://www.flashscore.com/res/image/data/vsolvPAr-vRt5bOUD.png,,double_faults,0,1774,WTA
12055694,Coco Gauff,COCO GAUFF,Total Sets,2.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12055694,201229,158966,Coco Gauff,2.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,total_sets,1,3626,WTA
12068374,Sorana Cirstea,SORANA CIRSTEA,Aces,2.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12068374,223369,158966,Sorana Cirstea,2.5,Player,,,,https://www.flashscore.com/res/image/data/vsolvPAr-vRt5bOUD.png,,aces,0,1774,WTA
12091248,Sorana Cirstea,SORANA CIRSTEA,Double Faults,2.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Standard,2.5,,,12091248,223369,158966,Sorana Cirstea,2.5,Player,,,,https://www.flashscore.com/res/image/data/vsolvPAr-vRt5bOUD.png,,double_faults,0,1774,WTA
12059857,Coco Gauff,COCO GAUFF,Aces,1.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Goblin,,,,12059857,201229,158966,Coco Gauff,1.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,aces,0,3626,WTA
12059866,Sorana Cirstea,SORANA CIRSTEA,Aces,1.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Goblin,,,,12059866,223369,158966,Sorana Cirstea,1.5,Player,,,,https://www.flashscore.com/res/image/data/vsolvPAr-vRt5bOUD.png,,aces,0,1774,WTA
12059869,Sorana Cirstea,SORANA CIRSTEA,Double Faults,1.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Goblin,,,,12059869,223369,158966,Sorana Cirstea,1.5,Player,,,,https://www.flashscore.com/res/image/data/vsolvPAr-vRt5bOUD.png,,double_faults,0,1774,WTA
12055729,Coco Gauff,COCO GAUFF,Total Tie Breaks,0.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Demon,,,,12055729,201229,158966,Coco Gauff,0.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,total_tie_breaks,1,3626,WTA
12093873,Coco Gauff,COCO GAUFF,Aces,0.5,2026-05-14T09:00:00.000-04:00,Tennis,TENNIS,Goblin,,,,12093873,201229,158966,Coco Gauff,0.5,Player,,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,aces,0,3626,WTA
12077762,Granollers M / Zeballos H,GRANOLLERS M / ZEBALLOS H,Total Games,20.5,2026-05-14T09:20:00.000-04:00,Tennis,TENNIS,Standard,20.5,,,12077762,305062,158954,Granollers M / Zeballos H,20.5,Player,,,,https://static.prizepicks.com/images/manual/Granollers M : Zeballos H.png,,match_total_games,0,,ATP
