player_name,team,prop_type,pp_game_id
Vesel Demaku,KOSOVO,Goal + Assist,139013
Vesel Demaku,KOSOVO,Shots On Target,139013
Lubomír Tupta,SLOVAKIA,Assists,139013
Lubomír Tupta,SLOVAKIA,Goal + Assist,139013
Lubomír Tupta,SLOVAKIA,Goals,139013
Francesco Esposito,ITALY,Shots,139015
Mateo Retegui,ITALY,Shots,139015
Mateo Retegui,ITALY,Shots On Target,139015
Callum Marshall,N. IRELAND,Shots,139015
Francesco Esposito,ITALY,Shots On Target,139015
Callum Marshall,N. IRELAND,Shots On Target,139015
Callum Marshall,N. IRELAND,Tackles,139015
Francesco Esposito,ITALY,Goals,139015
Mateo Retegui,ITALY,Fouls,139015
Mateo Retegui,ITALY,Goals,139015
Mateo Retegui,ITALY,Tackles,139015
Callum Marshall,N. IRELAND,Goal + Assist,139015
Callum Marshall,N. IRELAND,Goals,139015
Francesco Esposito,ITALY,Assists,139015
Francesco Esposito,ITALY,Goal + Assist,139015
Francesco Esposito,ITALY,Tackles,139015
Mateo Retegui,ITALY,Assists,139015
Mateo Retegui,ITALY,Goal + Assist,139015
Arbër Hoxha,ALBANIA,Goals,139018
Filip Rózga,POLAND,Goals,139018
Jasir Asani,ALBANIA,Goals,139018
Kamil Grosicki,POLAND,Goals,139018
Karol Swiderski,POLAND,Goals,139018
Michal Skóras,POLAND,Goals,139018
Nazmi Gripshi,ALBANIA,Goals,139018
Bartosz Kapustka,POLAND,Goals,139018
Martin Zlomislic,BOSNIA,Goalie Saves,139009
Nikola Vasilj,BOSNIA,Goalie Saves,139009
Osman Hadzikic,BOSNIA,Goalie Saves,139009
Edin Dzeko,BOSNIA,Shots,139009
Kerim Alajbegovic,BOSNIA,Shots,139009
Samed Bazdar,BOSNIA,Shots,139009
Amar Memic,BOSNIA,Shots,139009
Armin Gigovic,BOSNIA,Shots,139009
Armin Gigovic,BOSNIA,Tackles,139009
Benjamin Tahirovic,BOSNIA,Tackles,139009
Dennis Hadzikadunic,BOSNIA,Tackles,139009
Dzenis Burnic,BOSNIA,Shots,139009
Dzenis Burnic,BOSNIA,Tackles,139009
Ivan Basic,BOSNIA,Shots,139009
Ivan Basic,BOSNIA,Tackles,139009
Kerim Alajbegovic,BOSNIA,Tackles,139009
Nikola Katic,BOSNIA,Tackles,139009
Stjepan Radeljic,BOSNIA,Tackles,139009
Amar Memic,BOSNIA,Shots On Target,139009
Benjamin Tahirovic,BOSNIA,Shots,139009
Dennis Hadzikadunic,BOSNIA,Fouls,139009
Dzenis Burnic,BOSNIA,Shots On Target,139009
Edin Dzeko,BOSNIA,Fouls,139009
Edin Dzeko,BOSNIA,Shots On Target,139009
Edin Dzeko,BOSNIA,Tackles,139009
Kerim Alajbegovic,BOSNIA,Fouls,139009
Kerim Alajbegovic,BOSNIA,Shots On Target,139009
Nikola Katic,BOSNIA,Fouls,139009
Nikola Katic,BOSNIA,Shots,139009
Samed Bazdar,BOSNIA,Fouls,139009
Samed Bazdar,BOSNIA,Shots On Target,139009
Samed Bazdar,BOSNIA,Tackles,139009
Stjepan Radeljic,BOSNIA,Fouls,139009
Amar Memic,BOSNIA,Assists,139009
Amar Memic,BOSNIA,Goal + Assist,139009
Amar Memic,BOSNIA,Goals,139009
Armin Gigovic,BOSNIA,Goal + Assist,139009
Armin Gigovic,BOSNIA,Goals,139009
Armin Gigovic,BOSNIA,Shots On Target,139009
Benjamin Tahirovic,BOSNIA,Goal + Assist,139009
Benjamin Tahirovic,BOSNIA,Shots On Target,139009
Dennis Hadzikadunic,BOSNIA,Shots,139009
Dennis Hadzikadunic,BOSNIA,Shots On Target,139009
Dzenis Burnic,BOSNIA,Goal + Assist,139009
Edin Dzeko,BOSNIA,Goal + Assist,139009
Edin Dzeko,BOSNIA,Goals,139009
Ivan Basic,BOSNIA,Goal + Assist,139009
Ivan Basic,BOSNIA,Shots On Target,139009
Kerim Alajbegovic,BOSNIA,Assists,139009
Kerim Alajbegovic,BOSNIA,Goal + Assist,139009
Kerim Alajbegovic,BOSNIA,Goals,139009
Nikola Katic,BOSNIA,Shots On Target,139009
Samed Bazdar,BOSNIA,Goal + Assist,139009
Samed Bazdar,BOSNIA,Goals,139009
Stjepan Radeljic,BOSNIA,Goal + Assist,139009
Stjepan Radeljic,BOSNIA,Shots,139009
Stjepan Radeljic,BOSNIA,Shots On Target,139009
Damjan Shishkovski,N. MACEDONIA,Goalie Saves,139017
Dejan Iliev,N. MACEDONIA,Goalie Saves,139017
Jesper Lindstrøm,DENMARK,Shots,139017
Elmin Rastoder,N. MACEDONIA,Shots,139017
Frederik Rønnow,DENMARK,Goalie Saves,139017
Aleksandar Trajkovski,N. MACEDONIA,Shots,139017
Andrej Stojchevski,N. MACEDONIA,Tackles,139017
Darko Velkovski,N. MACEDONIA,Tackles,139017
Gjoko Zajkov,N. MACEDONIA,Tackles,139017
Jani Atanasov,N. MACEDONIA,Shots,139017
Jani Atanasov,N. MACEDONIA,Tackles,139017
Jesper Lindstrøm,DENMARK,Shots On Target,139017
Jesper Lindstrøm,DENMARK,Tackles,139017
Joakim Mæhle,DENMARK,Shots,139017
Joakim Mæhle,DENMARK,Tackles,139017
Lirim Qamili,N. MACEDONIA,Shots,139017
Luka Stankovski,N. MACEDONIA,Tackles,139017
Milan Ristovski,N. MACEDONIA,Shots,139017
Aleksandar Trajkovski,N. MACEDONIA,Fouls,139017
Aleksandar Trajkovski,N. MACEDONIA,Shots On Target,139017
Aleksandar Trajkovski,N. MACEDONIA,Tackles,139017
Andrej Stojchevski,N. MACEDONIA,Fouls,139017
Darko Velkovski,N. MACEDONIA,Fouls,139017
Elmin Rastoder,N. MACEDONIA,Fouls,139017
Elmin Rastoder,N. MACEDONIA,Shots On Target,139017
Elmin Rastoder,N. MACEDONIA,Tackles,139017
Gjoko Zajkov,N. MACEDONIA,Fouls,139017
Isnik Alimi,N. MACEDONIA,Shots,139017
Jesper Lindstrøm,DENMARK,Fouls,139017
Joakim Mæhle,DENMARK,Fouls,139017
Joakim Mæhle,DENMARK,Shots On Target,139017
Lirim Qamili,N. MACEDONIA,Shots On Target,139017
Lirim Qamili,N. MACEDONIA,Tackles,139017
Luka Stankovski,N. MACEDONIA,Fouls,139017
Luka Stankovski,N. MACEDONIA,Shots,139017
Milan Ristovski,N. MACEDONIA,Fouls,139017
Milan Ristovski,N. MACEDONIA,Shots On Target,139017
Milan Ristovski,N. MACEDONIA,Tackles,139017
Nikola Serafimov,N. MACEDONIA,Fouls,139017
Nikola Serafimov,N. MACEDONIA,Tackles,139017
Reshat Ramadani,N. MACEDONIA,Shots,139017
Aleksandar Trajkovski,N. MACEDONIA,Goal + Assist,139017
Aleksandar Trajkovski,N. MACEDONIA,Goals,139017
Andrej Stojchevski,N. MACEDONIA,Shots,139017
Andrej Stojchevski,N. MACEDONIA,Shots On Target,139017
Darko Velkovski,N. MACEDONIA,Shots,139017
Elmin Rastoder,N. MACEDONIA,Goal + Assist,139017
Elmin Rastoder,N. MACEDONIA,Goals,139017
Gjoko Zajkov,N. MACEDONIA,Shots,139017
Isnik Alimi,N. MACEDONIA,Goal + Assist,139017
Isnik Alimi,N. MACEDONIA,Shots On Target,139017
Jani Atanasov,N. MACEDONIA,Goal + Assist,139017
Jani Atanasov,N. MACEDONIA,Shots On Target,139017
Jesper Lindstrøm,DENMARK,Assists,139017
Jesper Lindstrøm,DENMARK,Goal + Assist,139017
Jesper Lindstrøm,DENMARK,Goals,139017
Joakim Mæhle,DENMARK,Assists,139017
Joakim Mæhle,DENMARK,Goal + Assist,139017
Joakim Mæhle,DENMARK,Goals,139017
Lirim Qamili,N. MACEDONIA,Goal + Assist,139017
Lirim Qamili,N. MACEDONIA,Goals,139017
Luka Stankovski,N. MACEDONIA,Goal + Assist,139017
Luka Stankovski,N. MACEDONIA,Shots On Target,139017
Milan Ristovski,N. MACEDONIA,Goal + Assist,139017
Milan Ristovski,N. MACEDONIA,Goals,139017
Nikola Serafimov,N. MACEDONIA,Shots,139017
Nikola Serafimov,N. MACEDONIA,Shots On Target,139017
Philip Billing,DENMARK,Goals,139017
Reshat Ramadani,N. MACEDONIA,Shots On Target,139017
Tomás Ladra,CZECHIA,Shots,139012
Martin Jedlicka,CZECHIA,Goalie Saves,139012
Jaroslav Zeleny,CZECHIA,Tackles,139012
Lukás Cerv,CZECHIA,Shots,139012
Lukás Cerv,CZECHIA,Tackles,139012
Jaroslav Zeleny,CZECHIA,Fouls,139012
Jaroslav Zeleny,CZECHIA,Shots,139012
Lukás Cerv,CZECHIA,Fouls,139012
Tomás Ladra,CZECHIA,Fouls,139012
Tomás Ladra,CZECHIA,Shots On Target,139012
Tomás Ladra,CZECHIA,Tackles,139012
Jaroslav Zeleny,CZECHIA,Assists,139012
Jaroslav Zeleny,CZECHIA,Goal + Assist,139012
Jaroslav Zeleny,CZECHIA,Shots On Target,139012
Lukás Cerv,CZECHIA,Assists,139012
Lukás Cerv,CZECHIA,Goal + Assist,139012
Lukás Cerv,CZECHIA,Goals,139012
Lukás Cerv,CZECHIA,Shots On Target,139012
Tomás Ladra,CZECHIA,Assists,139012
Tomás Ladra,CZECHIA,Goal + Assist,139012
Tomás Ladra,CZECHIA,Goals,139012
Elliot Stroud,SWEDEN,Goals,139011
Gustav Lundgren,SWEDEN,Goals,139011
Heorhii Sudakov,UKRAINE,Goals,139011
Matvii Ponomarenko,UKRAINE,Goals,139011
Mykola Shaparenko,UKRAINE,Goals,139011
Oleh Ocheretko,UKRAINE,Goals,139011
Oleksandr Pikhalionok,UKRAINE,Goals,139011
Oleksii Hutsuliak,UKRAINE,Goals,139011
Taha Ali,SWEDEN,Goals,139011
Felipe Biafore,LANÚS,Shots On Target,129176
Ronaldo Dejesús,LANÚS,Shots On Target,129176
