projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,recommended_side,edge
10978837,218289,Zach Werenski,CBJ,D,Time On Ice,27.75,standard,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,time_on_ice,SKATER,CAR,1,8478460,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.6,3,2,5,0.4,4,6,10,0.35,7,13,20,0.3333,30,0.4658,UNDER,0.0342
10978835,218273,Jaccob Slavin,CAR,D,Time On Ice,22.25,standard,False,CBJ,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,time_on_ice,SKATER,CBJ,0,8476958,False,,3.118,0.0,0.0,3.279,0.0,0.0,68.0,19.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.4,2,3,5,0.4,4,6,10,0.55,11,9,20,0.4667,30,0.4292,UNDER,0.0708
10978834,218224,Sebastian Aho,CAR,F,Time On Ice,19.75,standard,False,CBJ,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,time_on_ice,SKATER,CBJ,0,8478427,False,,3.118,0.0,0.0,3.279,0.0,0.0,68.0,19.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.2,1,4,5,0.5,5,5,10,0.4,8,12,20,0.4,30,0.355,UNDER,0.145
10978836,218255,Adam Fantilli,CBJ,F,Time On Ice,19.25,standard,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,time_on_ice,SKATER,CAR,1,8484166,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.6,3,2,5,0.5,5,5,10,0.4,8,12,20,0.4333,30,0.5183,OVER,0.0183
10980359,218255,Adam Fantilli,CBJ,F,Shots On Goal,4.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,shots_on_goal,SKATER,CAR,1,8484166,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.1,1,9,10,0.2,4,16,20,0.1667,30,0.0817,OVER,-0.4183
10980365,218693,Andrei Svechnikov,CAR,F,Shots On Goal,4.5,demon,False,CBJ,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,shots_on_goal,SKATER,CBJ,0,8480830,False,,3.118,0.0,0.0,3.279,0.0,0.0,68.0,19.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.2,2,8,10,0.15,3,17,20,0.1,30,0.1825,OVER,-0.3175
10980358,218255,Adam Fantilli,CBJ,F,Shots On Goal,3.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,shots_on_goal,SKATER,CAR,1,8484166,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.2,2,8,10,0.25,5,15,20,0.2667,30,0.2142,OVER,-0.2858
10980364,218693,Andrei Svechnikov,CAR,F,Shots On Goal,3.5,demon,False,CBJ,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,shots_on_goal,SKATER,CBJ,0,8480830,False,,3.118,0.0,0.0,3.279,0.0,0.0,68.0,19.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.4,2,3,5,0.3,3,7,10,0.2,4,16,20,0.2,30,0.315,OVER,-0.185
10977508,218255,Adam Fantilli,CBJ,F,Shots On Goal,2.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,shots_on_goal,SKATER,CAR,1,8484166,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.3,3,7,10,0.3,6,14,20,0.4333,30,0.2733,OVER,-0.2267
10977512,218693,Andrei Svechnikov,CAR,F,Shots On Goal,2.5,demon,False,CBJ,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,shots_on_goal,SKATER,CBJ,0,8480830,False,,3.118,0.0,0.0,3.279,0.0,0.0,68.0,19.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.4,2,3,5,0.3,3,7,10,0.25,5,15,20,0.3,30,0.3325,OVER,-0.1675
10980367,265265,Charlie Coyle,CBJ,F,Shots On Goal,2.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,shots_on_goal,SKATER,CAR,1,8475745,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.3,3,7,10,0.35,7,13,20,0.3667,30,0.2742,OVER,-0.2258
10977514,57978,Boone Jenner,CBJ,F,Shots On Goal,1.5,standard,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,shots_on_goal,SKATER,CAR,1,8476432,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.3,3,7,10,0.4,8,12,20,0.4667,30,0.2917,UNDER,0.2083
10978896,219949,Dante Fabbro,CBJ,D,Blocked Shots,1.5,standard,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,blocked_shots,SKATER,CAR,1,8479371,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5
10979755,218255,Adam Fantilli,CBJ,F,Points,1.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,points,SKATER,CAR,1,8484166,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.2,2,8,10,0.25,5,15,20,0.2,30,0.1275,OVER,-0.3725
10979758,218693,Andrei Svechnikov,CAR,F,Points,1.5,demon,False,CBJ,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,points,SKATER,CBJ,0,8480830,False,,3.118,0.0,0.0,3.279,0.0,0.0,68.0,19.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.1,1,9,10,0.2,4,16,20,0.2667,30,0.0917,OVER,-0.4083
10979760,265265,Charlie Coyle,CBJ,F,Points,1.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,points,SKATER,CAR,1,8475745,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.1,1,9,10,0.2,4,16,20,0.2667,30,0.0917,OVER,-0.4083
10980360,218255,Adam Fantilli,CBJ,F,Shots On Goal,1.5,goblin,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,shots_on_goal,SKATER,CAR,1,8484166,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.6,3,2,5,0.6,6,4,10,0.6,12,8,20,0.6667,30,0.6067,OVER,0.1067
10980366,218693,Andrei Svechnikov,CAR,F,Shots On Goal,1.5,goblin,False,CBJ,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,shots_on_goal,SKATER,CBJ,0,8480830,False,,3.118,0.0,0.0,3.279,0.0,0.0,68.0,19.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.6,3,2,5,0.5,5,5,10,0.55,11,9,20,0.6333,30,0.5608,OVER,0.0608
