projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,recommended_side,edge,position_code,position_group,scoring_tier,pp_tier,pts_per_game,goals_per_game,pp_pts_per_game,toi_per_game_api
10803622,218652,Vincent Trocheck,NYR,F,Shots On Goal,3.5,demon,False,OTT,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,OTT,1,8476389,False,,3.103,0.0,0.0,3.368,0.0,0.0,68.0,17.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.1,1,9,10,0.1,2,18,20,0.1333,30,0.0633,OVER,-0.4367,C,F,SECONDARY,PP_REGULAR,0.873,0.273,0.273,20.87
10803624,218685,Will Cuylle,NYR,F,Shots On Goal,3.5,demon,False,OTT,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,OTT,1,8482157,False,,3.103,0.0,0.0,3.368,0.0,0.0,68.0,17.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.2,2,8,10,0.15,3,17,20,0.1667,30,0.1892,OVER,-0.3108,L,F,DEPTH,PP_OCC,0.457,0.229,0.114,17.13
10803676,218662,Claude Giroux,OTT,F,Shots On Goal,3.5,demon,False,NYR,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,NYR,0,8473512,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.1,1,9,10,0.1,2,18,20,0.1,30,0.14,OVER,-0.36,R,F,SECONDARY,PP_OCC,0.623,0.174,0.145,16.55
10803682,172192,Ridly Greig,OTT,F,Shots On Goal,3.5,demon,False,NYR,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,NYR,0,8482092,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.05,1,19,20,0.1,30,0.0175,OVER,-0.4825,C,F,DEPTH,NO_PP,0.438,0.172,0.047,16.6
10803685,88000,Shane Pinto,OTT,F,Shots On Goal,3.5,demon,False,NYR,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,NYR,0,8481596,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.4,2,3,5,0.2,2,8,10,0.2,4,16,20,0.1667,30,0.2767,OVER,-0.2233,C,F,SECONDARY,NO_PP,0.644,0.305,0.034,18.77
10803906,305145,Warren Foegele,OTT,F,Shots On Goal,3.5,demon,False,NYR,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,NYR,0,8477998,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.2,2,8,10,0.25,5,15,20,0.2333,30,0.2108,OVER,-0.2892,L,F,SECONDARY,NO_PP,0.625,0.5,0.0,11.42
10807193,218676,Igor Shesterkin,NYR,G,Goals Allowed,3.5,demon,False,OTT,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,goals_allowed,GOALIE,OTT,1,8478048,False,,3.103,0.0,0.0,3.368,0.0,0.0,68.0,17.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.2,2,8,10,0.15,3,17,20,0.1667,30,0.1892,OVER,-0.3108,G,G,GOALIE,N/A,0.0,0.0,0.0,
10793863,218657,Adam Fox,NYR,D,Shots On Goal,2.5,demon,False,OTT,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,OTT,1,8479323,False,,3.103,0.0,0.0,3.368,0.0,0.0,68.0,17.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.2,2,8,10,0.25,5,15,20,0.2333,30,0.2108,OVER,-0.2892,D,D,SECONDARY,PP_REGULAR,0.86,0.116,0.349,23.7
10793873,59488,Alexis Lafreniere,NYR,F,Shots On Goal,2.5,demon,False,OTT,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,OTT,1,8482109,False,,3.103,0.0,0.0,3.368,0.0,0.0,68.0,17.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.2,2,8,10,0.2,4,16,20,0.1667,30,0.1967,OVER,-0.3033,L,F,SECONDARY,PP_OCC,0.671,0.286,0.129,17.43
10793885,218268,Brady Tkachuk,OTT,F,Shots On Goal,2.5,goblin,False,NYR,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,NYR,0,8480801,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.8,4,1,5,0.9,9,1,10,0.8,16,4,20,0.7667,30,0.8317,OVER,0.3317,L,F,ELITE,PP_REGULAR,0.959,0.388,0.327,17.0
