rank,tier,player,team,opp,is_home,player_role,position_group,prop_display,prop_type,line,direction,composite_hr,hit_rate,hr_L5,hr_L10,hr_L20,hr_season,sample_L5,hit_L5,sample_L10,hit_L10,sample_L20,sample_season,avg_L5,avg_L10,avg_L20,avg_season,gap_vs_line_L5,gap_vs_line_L10,projection,over_L5_raw,under_L5_raw,over_L10_raw,under_L10_raw,last1_raw,last2_raw,last3_raw,games_played,scoring_tier,pp_tier,def_tier,def_rank,opp_gaa,opp_saa,opp_pk_pct,pts_per_game,pp_pts_per_game,toi_avg_L10,toi_per_game_api,prop_score,edge,ml_prob,edge_score,blended_score,pick_type,game_start,game_script_mult,game_script_note
182,D,Adam Pelech,NYI,PHI,1,SKATER,D,Shots On Goal,shots_on_goal,2.5,OVER,0.2942,0.2942,0.4,0.2,0.25,0.2667,5,2/5,10,2/10,20,30,,,,,,,,2,3,2,8,,,,,SHUTDOWN,NO_PP,SOLID,14,3.088,0.000,0.000,0.197,0.000,,21.03,0.06047,-0.2058,0.0833,,,demon,2026-04-03T19:00:00.000-04:00,1.000,"NYI +1.5 pt margin vs PHI, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
183,D,Trevor Zegras,PHI,NYI,0,SKATER,F,Shots On Goal,shots_on_goal,2.5,OVER,0.26,0.26,0.2,0.3,0.3,0.3,5,1/5,10,3/10,20,30,,,,,,,,1,4,3,7,,,,,SECONDARY,PP_REGULAR,ELITE,5,2.826,0.000,0.000,0.813,0.253,,18.87,0.06037,-0.2400,0.0833,,,demon,2026-04-03T19:00:00.000-04:00,0.980,"PHI -1.5 pt margin vs NYI, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
184,D,Matthew Schaefer,NYI,PHI,1,SKATER,D,Goals,goals,0.5,OVER,0.2217,0.2217,0.2,0.2,0.3,0.2667,5,1/5,10,2/10,20,30,,,,,,,,1,4,2,8,,,,,SECONDARY,PP_REGULAR,SOLID,14,3.088,0.000,0.000,0.750,0.237,,24.55,0.05975,-0.2783,0.2388,,,demon,2026-04-03T19:00:00.000-04:00,1.000,"NYI +1.5 pt margin vs PHI, goals: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
185,D,Carson Soucy,NYI,PHI,1,SKATER,D,Assists,assists,0.5,OVER,0.2583,0.2583,0.4,0.2,0.1,0.1333,5,2/5,10,2/10,20,30,,,,,,,,2,3,2,8,,,,,SHUTDOWN,NO_PP,SOLID,14,3.088,0.000,0.000,0.167,0.000,,15.62,0.05743,-0.2417,0.2388,,,demon,2026-04-03T19:00:00.000-04:00,1.000,"NYI +1.5 pt margin vs PHI, assists: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
186,D,Travis Konecny,PHI,NYI,0,SKATER,F,Assists,assists,1.5,OVER,0.2625,0.2625,0.4,0.2,0.15,0.1,5,2/5,10,2/10,20,30,,,,,,,,2,3,2,8,,,,,ELITE,PP_OCC,ELITE,5,2.826,0.000,0.000,0.930,0.197,,19.32,0.05481,-0.2375,0.0833,,,demon,2026-04-03T19:00:00.000-04:00,0.982,"PHI -1.5 pt margin vs NYI, assists: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
187,D,Travis Konecny,PHI,NYI,0,SKATER,F,Goals,goals,0.5,OVER,0.2358,0.2358,0.2,0.2,0.35,0.3333,5,1/5,10,2/10,20,30,,,,,,,,1,4,2,8,,,,,ELITE,PP_OCC,ELITE,5,2.826,0.000,0.000,0.930,0.197,,19.32,0.05306,-0.2642,0.2388,,,demon,2026-04-03T19:00:00.000-04:00,0.980,"PHI -1.5 pt margin vs NYI, goals: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
188,D,Christian Dvorak,PHI,NYI,0,SKATER,F,Goals,goals,0.5,OVER,0.2692,0.2692,0.4,0.2,0.15,0.1667,5,2/5,10,2/10,20,30,,,,,,,,2,3,2,8,,,,,SECONDARY,PP_OCC,ELITE,5,2.826,0.000,0.000,0.635,0.054,,18.52,0.05135,-0.2308,0.2388,,,demon,2026-04-03T19:00:00.000-04:00,0.980,"PHI -1.5 pt margin vs NYI, goals: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
189,D,Jacob Trouba,ANA,STL,1,SKATER,D,Shots On Goal,shots_on_goal,2.5,OVER,0.2433,0.2433,0.2,0.2,0.4,0.3333,5,1/5,10,2/10,20,30,,,,,,,,1,4,2,8,,,,,DEPTH,NO_PP,AVERAGE,24,3.294,0.000,0.000,0.446,0.014,,22.90,0.04967,-0.2567,0.0851,,,demon,2026-04-03T22:00:00.000-04:00,1.000,"ANA +1.5 pt margin vs STL, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
190,D,Bo Horvat,NYI,PHI,1,SKATER,F,Shots On Goal,shots_on_goal,4.5,OVER,0.2075,0.2075,0.2,0.2,0.25,0.2,5,1/5,10,2/10,20,30,,,,,,,,1,4,2,8,,,,,SECONDARY,PP_REGULAR,SOLID,14,3.088,0.000,0.000,0.887,0.258,,20.73,0.04910,-0.2925,0.0833,,,demon,2026-04-03T19:00:00.000-04:00,1.000,"NYI +1.5 pt margin vs PHI, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
191,D,Brayden Schenn,NYI,PHI,1,SKATER,F,Goals,goals,0.5,OVER,0.2317,0.2317,0.2,0.3,0.2,0.1667,5,1/5,10,3/10,20,30,,,,,,,,1,4,3,7,,,,,SECONDARY,PP_REGULAR,SOLID,14,3.088,0.000,0.000,0.769,0.231,,16.57,0.04896,-0.2683,0.1818,,,demon,2026-04-03T19:00:00.000-04:00,1.000,"NYI +1.5 pt margin vs PHI, goals: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
192,D,Leo Carlsson,ANA,STL,1,SKATER,F,Goals,goals,0.5,OVER,0.135,0.135,0.0,0.2,0.3,0.2,5,0/5,10,2/10,20,30,,,,,,,,0,5,2,8,,,,,ELITE,PP_REGULAR,AVERAGE,24,3.294,0.000,0.000,1.000,0.270,,19.17,0.04573,-0.3650,0.2388,,,demon,2026-04-03T22:00:00.000-04:00,1.000,"ANA +1.5 pt margin vs STL, goals: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
193,D,Anders Lee,NYI,PHI,1,SKATER,F,Plus/Minus,plus/minus,0.5,OVER,0.2317,0.2317,0.2,0.2,0.3,0.3667,5,1/5,10,2/10,20,30,,,,,,,,1,4,2,8,,,,,DEPTH,PP_OCC,SOLID,14,3.088,0.000,0.000,0.539,0.105,,15.60,0.04345,-0.2683,0.1818,,,demon,2026-04-03T19:00:00.000-04:00,1.000,"NYI +1.5 pt margin vs PHI, plus/minus: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
194,D,Justin Holl,STL,ANA,0,SKATER,D,Points,points,0.5,OVER,0.28,0.28,0.2,0.3333,0.3333,0.3333,5,1/5,6,2/6,6,6,,,,,,,,1,4,2,4,,,,,DEPTH,NO_PP,WEAK,29,3.435,0.000,0.000,0.250,0.000,,15.37,0.04049,-0.2200,0.2388,,,demon,2026-04-03T22:00:00.000-04:00,0.981,"STL -1.5 pt margin vs ANA, points: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
