espn_player_id,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,TEAM_NAME,OVERALL_DEF_RANK,OPP_PPG,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_wins,opp_gp,def_rank,def_tier,updated_at,gp,goals_conceded,goals_conceded_pg,clean_sheets,wins,draws,losses,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,avg_minutes,avg_passes
217079,Jordy Caicedo,Attacker,HURACÁN,BARRACAS,SOCCER,0.5,Goal + Assist,goal_assist,Demon,10756223,10756223,295023,138609,2026-03-23T20:15:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Jordy Caicedo.png,,,,,OK,,12.0,,,,,,,,,,,Above Avg,2026-03-23T13:40:37.414479+00:00,10.0,9.0,0.9,0.0,4.0,0.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,
217079,Jordy Caicedo,Attacker,HURACÁN,BARRACAS,SOCCER,0.5,Goals,goals,Demon,10756224,10756224,295023,138609,2026-03-23T20:15:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Jordy Caicedo.png,,,,,OK,,12.0,,,,,,,,,,,Above Avg,2026-03-23T13:40:37.414479+00:00,10.0,9.0,0.9,0.0,4.0,0.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,
217079,Jordy Caicedo,Attacker,HURACÁN,BARRACAS,SOCCER,0.5,Shots On Target,shots_on_target,Goblin,10756226,10756226,295023,138609,2026-03-23T20:15:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Jordy Caicedo.png,,,,,OK,,12.0,,,,,,,,,,,Above Avg,2026-03-23T13:40:37.414479+00:00,10.0,9.0,0.9,0.0,4.0,0.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,
318418,Juan Bisanz,Attacker,HURACÁN,BARRACAS,SOCCER,0.5,Assists,assists,Demon,10756227,10756227,275774,138609,2026-03-23T20:15:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Juan_Bisanz.png,,,,,OK,,12.0,,,,,,,,,,,Above Avg,2026-03-23T13:40:37.414479+00:00,10.0,9.0,0.9,0.0,4.0,0.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,
318418,Juan Bisanz,Attacker,HURACÁN,BARRACAS,SOCCER,0.5,Goal + Assist,goal_assist,Demon,10756228,10756228,275774,138609,2026-03-23T20:15:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Juan_Bisanz.png,,,,,OK,,12.0,,,,,,,,,,,Above Avg,2026-03-23T13:40:37.414479+00:00,10.0,9.0,0.9,0.0,4.0,0.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,
318418,Juan Bisanz,Attacker,HURACÁN,BARRACAS,SOCCER,0.5,Goals,goals,Demon,10756229,10756229,275774,138609,2026-03-23T20:15:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Juan_Bisanz.png,,,,,OK,,12.0,,,,,,,,,,,Above Avg,2026-03-23T13:40:37.414479+00:00,10.0,9.0,0.9,0.0,4.0,0.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,
341509,Kevin Jappert,Midfielder,BARRACAS,HURACÁN,SOCCER,0.5,Shots,shots,Demon,10756234,10756234,273731,138609,2026-03-23T20:15:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Kevin_Jappert.png,,,,,OK,,12.0,,,,,,,,,,,Above Avg,2026-03-23T13:40:37.414479+00:00,10.0,9.0,0.9,0.0,3.0,0.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,
341509,Kevin Jappert,Midfielder,BARRACAS,HURACÁN,SOCCER,0.5,Shots On Target,shots_on_target,Demon,10756235,10756235,273731,138609,2026-03-23T20:15:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Kevin_Jappert.png,,,,,OK,,12.0,,,,,,,,,,,Above Avg,2026-03-23T13:40:37.414479+00:00,10.0,9.0,0.9,0.0,3.0,0.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,
402644,Lautaro Mora,Attacker,HURACÁN,BARRACAS,SOCCER,0.5,Goals,goals,Demon,10756236,10756236,254518,138609,2026-03-23T20:15:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Lautaro_Mora.png,,,,,OK,,12.0,,,,,,,,,,,Above Avg,2026-03-23T13:40:37.414479+00:00,10.0,9.0,0.9,0.0,4.0,0.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,
216663,Leonardo Sequeira,Attacker,HURACÁN,BARRACAS,SOCCER,0.5,Assists,assists,Demon,10756237,10756237,251507,138609,2026-03-23T20:15:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Leonardo_Sequeira.png,,,,,OK,,12.0,,,,,,,,,,,Above Avg,2026-03-23T13:40:37.414479+00:00,10.0,9.0,0.9,0.0,4.0,0.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,
216663,Leonardo Sequeira,Attacker,HURACÁN,BARRACAS,SOCCER,0.5,Goal + Assist,goal_assist,Demon,10756238,10756238,251507,138609,2026-03-23T20:15:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Leonardo_Sequeira.png,,,,,OK,,12.0,,,,,,,,,,,Above Avg,2026-03-23T13:40:37.414479+00:00,10.0,9.0,0.9,0.0,4.0,0.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,
216663,Leonardo Sequeira,Attacker,HURACÁN,BARRACAS,SOCCER,0.5,Goals,goals,Demon,10756239,10756239,251507,138609,2026-03-23T20:15:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Leonardo_Sequeira.png,,,,,OK,,12.0,,,,,,,,,,,Above Avg,2026-03-23T13:40:37.414479+00:00,10.0,9.0,0.9,0.0,4.0,0.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,
