espn_player_id,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,TEAM_NAME,OVERALL_DEF_RANK,OPP_PPG,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_wins,opp_gp,def_rank,def_tier,updated_at,gp,goals_conceded,goals_conceded_pg,clean_sheets,wins,draws,losses,opp_team_1,opp_team_2,TEAM_NAME_DEF_1,OVERALL_DEF_RANK_DEF_1,OPP_PPG_DEF_1,opp_gaa_DEF_1,opp_saa_DEF_1,opp_pk_pct_DEF_1,opp_gf_per_game_DEF_1,opp_sf_per_game_DEF_1,opp_pp_pct_DEF_1,opp_wins_DEF_1,opp_gp_DEF_1,def_rank_DEF_1,def_tier_DEF_1,updated_at_DEF_1,gp_DEF_1,goals_conceded_DEF_1,goals_conceded_pg_DEF_1,clean_sheets_DEF_1,wins_DEF_1,draws_DEF_1,losses_DEF_1,TEAM_NAME_DEF_2,OVERALL_DEF_RANK_DEF_2,OPP_PPG_DEF_2,opp_gaa_DEF_2,opp_saa_DEF_2,opp_pk_pct_DEF_2,opp_gf_per_game_DEF_2,opp_sf_per_game_DEF_2,opp_pp_pct_DEF_2,opp_wins_DEF_2,opp_gp_DEF_2,def_rank_DEF_2,def_tier_DEF_2,updated_at_DEF_2,gp_DEF_2,goals_conceded_DEF_2,goals_conceded_pg_DEF_2,clean_sheets_DEF_2,wins_DEF_2,draws_DEF_2,losses_DEF_2,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,avg_minutes,avg_passes,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_games_played_10,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10
231050,Raphinha,Attacker,BARCELONA,,SOCCER,3.5,Shots,shots,Standard,10757612,10757612,149108,145416,2026-03-22T09:00:00.000-04:00,,,3.5,0,https://static.prizepicks.com/images/players/soccer/2wl6h1rlrfnn2mr65vuo3t815.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
362150,Lamine Yamal,Attacker,BARCELONA,,SOCCER,3.5,Crosses,crosses,Standard,10778063,10778063,151740,145416,2026-03-22T09:00:00.000-04:00,,,3.5,0,https://static.prizepicks.com/images/players/soccer/abr79wsl0folgkyvl821ggs2c.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,,,MISSING_STAT_VALUES,,,,,,,,,,,,
297362,Joan García,Goalkeeper,BARCELONA,,SOCCER,2.5,Goalie Saves,saves,Standard,10752860,10752860,253598,145416,2026-03-22T09:00:00.000-04:00,,,2.5,0,https://static.prizepicks.com/images/manual/Joan_García.png,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
265869,Ferran Torres,Attacker,BARCELONA,,SOCCER,2.5,Shots,shots,Standard,10757611,10757611,150389,145416,2026-03-22T09:00:00.000-04:00,,,2.5,0,https://static.prizepicks.com/images/players/soccer/2szgrzcosfeifh664tgt3mfvt.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
354334,Fermín López,Midfielder,BARCELONA,,SOCCER,2.5,Shots,shots,Standard,10757613,10757613,173504,145416,2026-03-22T09:00:00.000-04:00,,,2.5,0,https://static.prizepicks.com/images/players/soccer/cjll1xrw3xulnl23c9tlf6rys.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
362150,Lamine Yamal,Attacker,BARCELONA,,SOCCER,2.5,Shots Assisted,shots_assisted,Standard,10778028,10778028,151740,145416,2026-03-22T09:00:00.000-04:00,,,2.5,0,https://static.prizepicks.com/images/players/soccer/abr79wsl0folgkyvl821ggs2c.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,,,MISSING_STAT_VALUES,,,,,,,,,,,,
227765,Dani Olmo,Midfielder,BARCELONA,,SOCCER,2.0,Shots,shots,Standard,10757616,10757616,206832,145416,2026-03-22T09:00:00.000-04:00,,,2.0,0,https://static.prizepicks.com/images/players/soccer/4gq1u1mqg0qzekh1u5djleeax.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
260740,Jorge Frutos,Attacker,RAYO,,SOCCER,1.5,Shots,shots,Standard,10757617,10757617,252166,145416,2026-03-22T09:00:00.000-04:00,,,1.5,0,https://static.prizepicks.com/images/players/soccer/c157xhi78x9cykn7xz816bjd.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
362150,Lamine Yamal,Attacker,BARCELONA,,SOCCER,1.5,Shots On Target,shots_on_target,Standard,10757619,10757619,151740,145416,2026-03-22T09:00:00.000-04:00,,,1.5,0,https://static.prizepicks.com/images/players/soccer/abr79wsl0folgkyvl821ggs2c.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
265869,Ferran Torres,Attacker,BARCELONA,,SOCCER,5.5,Shots,shots,Demon,10716613,10716613,150389,145416,2026-03-22T09:00:00.000-04:00,,,2.5,2,https://static.prizepicks.com/images/players/soccer/2szgrzcosfeifh664tgt3mfvt.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
362150,Lamine Yamal,Attacker,BARCELONA,,SOCCER,5.5,Shots,shots,Demon,10716708,10716708,151740,145416,2026-03-22T09:00:00.000-04:00,,,4.0,1,https://static.prizepicks.com/images/players/soccer/abr79wsl0folgkyvl821ggs2c.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
230945,Marcus Rashford,Attacker,BARCELONA,,SOCCER,5.5,Shots,shots,Demon,10716741,10716741,252383,145416,2026-03-22T09:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Marcus_Rashford.png,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
231050,Raphinha,Attacker,BARCELONA,,SOCCER,5.5,Shots,shots,Demon,10716796,10716796,149108,145416,2026-03-22T09:00:00.000-04:00,,,3.5,2,https://static.prizepicks.com/images/players/soccer/2wl6h1rlrfnn2mr65vuo3t815.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
125824,Robert Lewandowski,Attacker,BARCELONA,,SOCCER,5.5,Shots,shots,Demon,10716809,10716809,149107,145416,2026-03-22T09:00:00.000-04:00,,,3.5,2,https://static.prizepicks.com/images/players/soccer/afxjicw89683nlpms9yy5x51x.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
227765,Dani Olmo,Midfielder,BARCELONA,,SOCCER,4.5,Shots,shots,Demon,10716583,10716583,206832,145416,2026-03-22T09:00:00.000-04:00,,,2.0,2,https://static.prizepicks.com/images/players/soccer/4gq1u1mqg0qzekh1u5djleeax.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
354334,Fermín López,Midfielder,BARCELONA,,SOCCER,4.5,Shots,shots,Demon,10716601,10716601,173504,145416,2026-03-22T09:00:00.000-04:00,,,2.5,2,https://static.prizepicks.com/images/players/soccer/cjll1xrw3xulnl23c9tlf6rys.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
265869,Ferran Torres,Attacker,BARCELONA,,SOCCER,4.5,Shots,shots,Demon,10716612,10716612,150389,145416,2026-03-22T09:00:00.000-04:00,,,2.5,1,https://static.prizepicks.com/images/players/soccer/2szgrzcosfeifh664tgt3mfvt.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
231050,Raphinha,Attacker,BARCELONA,,SOCCER,4.5,Shots,shots,Demon,10716795,10716795,149108,145416,2026-03-22T09:00:00.000-04:00,,,3.5,1,https://static.prizepicks.com/images/players/soccer/2wl6h1rlrfnn2mr65vuo3t815.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
125824,Robert Lewandowski,Attacker,BARCELONA,,SOCCER,4.5,Shots,shots,Demon,10716808,10716808,149107,145416,2026-03-22T09:00:00.000-04:00,,,3.5,1,https://static.prizepicks.com/images/players/soccer/afxjicw89683nlpms9yy5x51x.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
331152,Roony Bardghji,Attacker,BARCELONA,,SOCCER,4.5,Shots,shots,Demon,10716828,10716828,252818,145416,2026-03-22T09:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Roony Bardghji.png,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
,Alemão,Attacker,RAYO,,SOCCER,3.5,Shots,shots,Demon,10716555,10716555,262150,145416,2026-03-22T09:00:00.000-04:00,,,,2,https://static.prizepicks.com/images/manual/Alexandre_Zurawski.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,
195032,Augusto Batalla,Goalkeeper,RAYO,,SOCCER,3.5,Goalie Saves,saves,Goblin,10716567,10716567,252972,145416,2026-03-22T09:00:00.000-04:00,,,4.5,1,https://static.prizepicks.com/images/players/soccer/9h6xf4ac4rpsjpummcdx26z9.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
227765,Dani Olmo,Midfielder,BARCELONA,,SOCCER,3.5,Shots,shots,Demon,10716582,10716582,206832,145416,2026-03-22T09:00:00.000-04:00,,,2.0,1,https://static.prizepicks.com/images/players/soccer/4gq1u1mqg0qzekh1u5djleeax.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
354334,Fermín López,Midfielder,BARCELONA,,SOCCER,3.5,Shots,shots,Demon,10716600,10716600,173504,145416,2026-03-22T09:00:00.000-04:00,,,2.5,1,https://static.prizepicks.com/images/players/soccer/cjll1xrw3xulnl23c9tlf6rys.webp,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
297362,Joan García,Goalkeeper,BARCELONA,,SOCCER,3.5,Goalie Saves,saves,Demon,10716670,10716670,253598,145416,2026-03-22T09:00:00.000-04:00,,,2.5,1,https://static.prizepicks.com/images/manual/Joan_García.png,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
