player_norm,espn_athlete_id
freddie woodman,194121
alisson becker,196876
giorgi mamardashvili,274742
harvey davies,315879
armin pecsi,345673
kornel misciur,389424
joe gomez,102053
andrew robertson,104943
virgil van dijk,157892
conor bradley,250183
ibrahima konate,251634
jeremie frimpong,281119
calvin ramsay,291353
milos kerkez,323110
rhys williams,340762
carter pinnington,350664
amara nallo,373758
wellity lucky,379855
giovanni leoni,380082
wataru endo,152479
curtis jones,190257
alexis mac allister,249299
dominik szoboszlai,257206
ryan gravenberch,274632
florian wirtz,303748
stefan bajcetic,330605
tommy pilling,330608
trey nyoni,356075
kieran morrison,357162
michael laffey,380624
mohamed salah,173896
federico chiesa,234306
alexander isak,235662
cody gakpo,249524
hugo ekitike,304901
kaide gordon,312241
jayden danns,354737
keyrol figueroa,371434
rio ngumoha,379588
stefan ortega,151855
matz sels,179497
angus gunn,181299
john victor,233241
keehan willows,351250
aaron bott,366239
willy boly,152349
morato,201304
ola aina,206227
nikola milenkovic,238990
neco williams,291638
luca netz,303765
jair paula,338876
murillo,338894
zach abbott,348303
justin hanks,366242
nicolo savona,388024
ibrahim sangare,213718
elliot anderson,238472
ryan yates,241253
morgan gibbs-white,243396
nicolas dominguez,254118
james mcatee,298518
jimmy sinclair,366249
archie whitehall,374133
taiwo awoniyi,194686
callum hudson-odoi,261419
dan ndoye,275842
lorenzo lucca,282564
igor jesus,322658
dilane bakwa,297157
omari hutchinson,322771
eric da silva moreira,372025
zyan blake,375234
fraser forster,93193
christos mandas,265140
djordje petrovic,289824
adam smith,122268
marcos senesi,233945
james hill,279155
bafode diakite,282675
adrien truffert,305684
matai akinmboni,337023
julio soler,339797
owen bevan,348298
alex jimenez,367861
veljko milosavljevic,377736
david brooks,72487
ryan christie,93435
tyler adams,222776
lewis cook,223452
marcus tavernier,243364
alex scott,314790
alex toth,360149
malcom dacosta,415281
charlie stevens,417995
evanilson,102368
enes unal,218122
justin kluivert,245916
amine adli,291613
ben gannon doak,332948
rayan,357719
junior kroupi,361809
remy rees-dottin,398123
tom heaton,42250
altay bayindir,274272
senne lammens,301425
harry maguire,157073
luke shaw,167127
lisandro martinez,233937
diogo dalot,238902
matthijs de ligt,239349
noussair mazraoui,239350
tyrell malacia,259863
leny yoro,340206
tyler fredricson,347052
ayden heaven,356044
patrick dorgu,366781
diego leon,387634
godwill kukonki,393747
bruno fernandes,13282
casemiro,173666
jack fletcher,205081
mason mount,231167
manuel ugarte,241468
kobbie mainoo,328466
jack moorhouse,369884
tyler fletcher,393138
matheus cunha,259902
bryan mbeumo,271170
joshua zirkzee,276327
benjamin sesko,289155
amad,291630
shea lacey,358180
chido obi,375738
bendito mantato,379856
daniel bentley,143007
sam johnstone,162338
jose sa,181278
matt doherty,43575
ladislav krejci,151714
hugo bueno,189777
santiago bueno,241225
yerson mosquera,301462
rodrigo gomes,308456
jackson tchatchoua,312186
david møller wolfe,313361
toti gomes,320848
pedro lima,307930
saheed olagunju,379587
jean-ricner bellegarde,240369
angel gomes,256773
joao gomes,301524
andre,409662
ethan sutherland,345845
luke rawlings,381539
jerome abbey,410685
adam armstrong,194116
hwang hee-chan,237224
tolu arokodare,305372
enso gonzalez,349723
tom edozie,355915
mateus mane,380196
simon moore,138481
robin roefs,301449
melker ellborg,307800
nordi mukiele,214188
omar alderete,215401
reinildo mandava,230081
jenson arron jones,243578
lutsharel geertruida,264828
danny ballard,282645
trai hume,290207
dennis cirkin,301487
abdoullah ba,56820
granit xhaka,149981
luke o'nien,191574
jack whittaker,236211
enzo le fee,288340
mouhamadou diarra,324991
noah sadiki,340240
chris rigg,356295
milan aleksic,366474
harrison jones,381475
jayden jones,409743
bertrand traore,169661
wilson isidor,265915
brian brobbey,282229
nilson angulo,318090
romaine mundle,323084
eliezer mayenda,332862
ahmed abdullahi,359150
chemsdine talbi,360062
finn geragusyan,414669
jocelin ta bi,417825
kepa arrizabalaga,169532
david raya,196176
alexei rojas,341729
tommy setford,343573
khari ranson,386202
jack porter,390095
gabriel magalhaes,236322
ben white,241077
william saliba,277385
jurrien timber,282716
piero hincapie,292062
riccardo calafiori,298329
cristhian mosquera,328497
josh nichols,351059
myles lewis-skelly,352758
jaden dixon,374017
marli salmon,400284
christian nørgaard,178077
martin ødegaard,203669
mikel merino,209581
declan rice,238262
eberechi eze,251400
martin zubimendi,287266
max dowman,397263
ife ibrahim,399894
leandro trossard,174980
gabriel jesus,217289
kai havertz,231182
viktor gyokeres,258906
gabriel martinelli,269844
bukayo saka,280555
noni madueke,293236
ceadach o’neill,381341
andre annous,390975
brando bailey-joseph,411237
john ruddy,42359
mark gillespie,141705
nick pope,161715
aaron ramsdale,236015
aidan harris,353304
adam harrison,371336
lewis hall,106139
kieran trippier,143637
emil krafth,172922
fabian schar,179233
dan burn,198138
sven botman,274633
