player_norm,espn_athlete_id
jakub stolarczyk,296398
joe lumley,190931
radek vitek,325556
bobby cordova-reid,142055
divine mukasa,358577
ephraim yeboah,367505
jordan james,97867
jordan ayew,123518
patson daka,232662
scott twine,236014
sinclair armstrong,330006
tomi horvat,289798
louis page,391457
delano burgzorg,268606
harry winks,202332
jason knight,41011
mark sykes,205701
max bird,251853
ross mccrorie,206581
george earthy,348777
ben nelson,307110
cameron pring,267325
george tanner,291438
hamza choudhury,234320
jeremy monga,389329
joe aribo,226125
luke thomas,227706
caleb okoli,284081
olabade aluko,371701
oliver skipp,261448
sam bell,311108
silko-amari thomas,325539
jamaal lascelles,156867
jannik vestergaard,155211
noah eile,303608
aaron ramsey,332046
daniel ezendu,418093
kevon gray,391455
joe williams,112718
michael golding,351338
harry souttar,207461
adam randell,283189
victor kristiansen,310991
josh windass,182338
nathan broadhead,243334
sam smith,243757
jay rodriguez,100918
bailey cadamarteri,352804
george thomason,301285
liam millar,271879
oliver rathbone,238486
ryan longman,266411
george dobson,234449
kyle joseph,306812
lewis o'brien,269288
lewis koumas,350661
matt crooks,153613
max cleworth,295012
kieran dowell,194114
zak vyner,232415
akin famewo,241449
amir hadziahmetovic,221961
callum doyle,310598
cathal mccarthy,406350
charlie hughes,326187
cody drameh,279786
eliot matazo,306055
john lundstram,159450
lewie coyle,231826
lewis brunt,294311
semi ajayi,178051
ryan barnett,251076
ryan giles,243576
toby collyer,308778
mohamed belloumi,320417
paddy mcnair,210139
john egan,168424
dan scarr,229801
matty james,135430
nathan tinsdale,379270
yu hirakawa,378851
matty jacob,291172
aaron james,194458
thomas o'connor,231273
joshua kimmich,190161
harry kane,142200
berat djimsiti,165291
michael olise,286831
jonathan tah,188052
luis diaz,257390
marco carnesecchi,284804
jonas urbig,323790
lamine yamal,362150
kieran trippier,143637
sandro tonali,261047
fermin lopez,354334
raphinha,231050
joan garcia,297362
malick thiaw,303444
pau cubarsi,368992
nick pope,161715
aaron ramsdale,236015
marcus rashford,230945
ferran torres,265869
anthony gordon,268782
