prop_cat,n,hits,hr,sport,dimension,lift_pp,pick_type_norm,direction,tier,def_tier,player_tier_bucket,l5_side_bucket,l10_side_bucket,l10_streak,consistency_grade,minutes_tier,usage_tier,game_total_bucket,h2h_bucket,confidence_tier,on_ticket_flag,hit_rate_bin,edge_bin,ml_prob_bin,top3_weak_overperformer,top3_elite_fader,injury_boost_candidate,team_star_out,usage_vacuum,stack_70_eligible,pick_dir_def,tier_dir_player
assists,58,50,0.8620689655172413,ON_TICKET,prop_cat,22.210853030458054,,,,,,,,,,,,,,,,,,,,,,,,,,
rebounds,99,76,0.7676767676767676,ON_TICKET,prop_cat,12.771633246410685,,,,,,,,,,,,,,,,,,,,,,,,,,
hitter strikeouts,266,184,0.6917293233082706,ON_TICKET,prop_cat,5.176888809560987,,,,,,,,,,,,,,,,,,,,,,,,,,
hits+runs+rbis,246,168,0.6829268292682927,ON_TICKET,prop_cat,4.296639405563196,,,,,,,,,,,,,,,,,,,,,,,,,,
points,234,158,0.6752136752136753,ON_TICKET,prop_cat,3.5253240001014485,,,,,,,,,,,,,,,,,,,,,,,,,,
total bases,307,196,0.6384364820846905,ON_TICKET,prop_cat,-0.15239531279702678,,,,,,,,,,,,,,,,,,,,,,,,,,
hits,312,198,0.6346153846153846,ON_TICKET,prop_cat,-0.5345050597276191,,,,,,,,,,,,,,,,,,,,,,,,,,
tennis_totals,381,198,0.5196850393700787,ON_TICKET,prop_cat,-12.027539584258207,,,,,,,,,,,,,,,,,,,,,,,,,,
,1623,1122,0.6913123844731978,ON_TICKET,pick_type_norm,5.135194926053699,Goblin,,,,,,,,,,,,,,,,,,,,,,,,,
,186,97,0.521505376344086,ON_TICKET,pick_type_norm,-11.845505886857477,Standard,,,,,,,,,,,,,,,,,,,,,,,,,
,213,75,0.352112676056338,ON_TICKET,pick_type_norm,-28.784775915632277,Demon,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,1283,0.6418209104552276,ON_TICKET,direction,0.1860475242566828,,OVER,,,,,,,,,,,,,,,,,,,,,,,,
,193,139,0.7202072538860104,ON_TICKET,tier,8.024681867334959,,,C,,,,,,,,,,,,,,,,,,,,,,,
,400,280,0.7,ON_TICKET,tier,6.003956478733919,,,A,,,,,,,,,,,,,,,,,,,,,,,
,991,641,0.6468213925327951,ON_TICKET,tier,0.6860957320134364,,,B,,,,,,,,,,,,,,,,,,,,,,,
,438,234,0.5342465753424658,ON_TICKET,tier,-10.5713859870195,,,D,,,,,,,,,,,,,,,,,,,,,,,
,262,189,0.7213740458015268,ON_TICKET,def_tier,8.141361058886599,,,,Weak,,,,,,,,,,,,,,,,,,,,,,
,343,242,0.7055393586005831,ON_TICKET,def_tier,6.557892338792238,,,,Below Avg,,,,,,,,,,,,,,,,,,,,,,
,256,176,0.6875,ON_TICKET,def_tier,4.753956478733922,,,,Avg,,,,,,,,,,,,,,,,,,,,,,
,412,277,0.6723300970873787,ON_TICKET,def_tier,3.2369661874717903,,,,Elite,,,,,,,,,,,,,,,,,,,,,,
,325,188,0.5784615384615385,ON_TICKET,def_tier,-6.14988967511223,,,,Above Avg,,,,,,,,,,,,,,,,,,,,,,
,424,222,0.5235849056603774,ON_TICKET,def_tier,-11.637552955228337,,,,,,,,,,,,,,,,,,,,,,,,,,
,91,65,0.7142857142857143,ON_TICKET,player_tier_bucket,7.432527907305353,,,,,bottom3,,,,,,,,,,,,,,,,,,,,,
,642,437,0.6806853582554517,ON_TICKET,player_tier_bucket,4.072492304279097,,,,,top3,,,,,,,,,,,,,,,,,,,,,
,1289,792,0.6144297905352987,ON_TICKET,player_tier_bucket,-2.55306446773621,,,,,mid/other,,,,,,,,,,,,,,,,,,,,,
,130,105,0.8076923076923077,ON_TICKET,l5_side_bucket,16.773187247964692,,,,,,3 warm,,,,,,,,,,,,,,,,,,,,
,1375,899,0.6538181818181819,ON_TICKET,l5_side_bucket,1.3857746605521082,,,,,,4-5 hot,,,,,,,,,,,,,,,,,,,,
,52,33,0.6346153846153846,ON_TICKET,l5_side_bucket,-0.5345050597276191,,,,,,(missing),,,,,,,,,,,,,,,,,,,,
,465,257,0.5526881720430108,ON_TICKET,l5_side_bucket,-8.727226316964998,,,,,,0-2 cold,,,,,,,,,,,,,,,,,,,,
,621,428,0.6892109500805152,ON_TICKET,l10_side_bucket,4.925051486785447,,,,,,,4-5 hot,,,,,,,,,,,,,,,,,,,
,1401,866,0.6181299072091363,ON_TICKET,l10_side_bucket,-2.1830528003524474,,,,,,,(missing),,,,,,,,,,,,,,,,,,,
,396,281,0.7095959595959596,ON_TICKET,l10_streak,6.963552438329879,,,,,,,,HOT,,,,,,,,,,,,,,,,,,
,221,147,0.665158371040724,ON_TICKET,l10_streak,2.519793582806318,,,,,,,,NEUTRAL,,,,,,,,,,,,,,,,,,
,1405,866,0.6163701067615658,ON_TICKET,l10_streak,-2.359032845109499,,,,,,,,,,,,,,,,,,,,,,,,,,
,1856,1197,0.6449353448275862,ON_TICKET,consistency_grade,0.4974909614925416,,,,,,,,,,,,,,,,,,,,,,,,,,
,106,65,0.6132075471698113,ON_TICKET,consistency_grade,-2.6752888042849476,,,,,,,,,?,,,,,,,,,,,,,,,,,
,79,62,0.7848101265822784,ON_TICKET,minutes_tier,14.484969136961768,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,
,325,232,0.7138461538461538,ON_TICKET,minutes_tier,7.388571863349302,,,,,,,,,,LOW,,,,,,,,,,,,,,,,
,1164,759,0.6520618556701031,ON_TICKET,minutes_tier,1.2101420457442336,,,,,,,,,,Low,,,,,,,,,,,,,,,,
,424,221,0.5212264150943396,ON_TICKET,minutes_tier,-11.873402011832113,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,1294,0.6402770905492331,ON_TICKET,usage_tier,0.03166553365723246,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,1294,0.6399604352126608,ON_TICKET,game_total_bucket,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,1294,0.6399604352126608,ON_TICKET,h2h_bucket,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,423,289,0.6832151300236406,ON_TICKET,confidence_tier,4.325469481097988,,,,,,,,,,,,,,MED,,,,,,,,,,,,
,1386,926,0.6681096681096681,ON_TICKET,confidence_tier,2.8149232897007326,,,,,,,,,,,,,,HIGH,,,,,,,,,,,,
,209,79,0.37799043062200954,ON_TICKET,confidence_tier,-26.197000459065123,,,,,,,,,,,,,,LOW,,,,,,,,,,,,
,2022,1294,0.6399604352126608,ON_TICKET,on_ticket_flag,0.0,,,,,,,,,,,,,,,True,,,,,,,,,,,
,121,98,0.8099173553719008,ON_TICKET,hit_rate_bin,16.995692015924003,,,,,,,,,,,,,,,,55-60,,,,,,,,,,
,1414,942,0.6661951909476662,ON_TICKET,hit_rate_bin,2.6234755735005444,,,,,,,,,,,,,,,,70+,,,,,,,,,,
,52,33,0.6346153846153846,ON_TICKET,hit_rate_bin,-0.5345050597276191,,,,,,,,,,,,,,,,,,,,,,,,,,
,409,212,0.5183374083129584,ON_TICKET,hit_rate_bin,-12.16230268997024,,,,,,,,,,,,,,,,<50,,,,,,,,,,
,409,291,0.7114914425427873,ON_TICKET,edge_bin,7.153100733012652,,,,,,,,,,,,,,,,,2+,,,,,,,,,
,162,112,0.691358024691358,ON_TICKET,edge_bin,5.139758947869721,,,,,,,,,,,,,,,,,1.5-2,,,,,,,,,
,321,220,0.6853582554517134,ON_TICKET,edge_bin,4.539782023905259,,,,,,,,,,,,,,,,,0-0.5,,,,,,,,,
,343,232,0.6763848396501457,ON_TICKET,edge_bin,3.642440443748496,,,,,,,,,,,,,,,,,1-1.5,,,,,,,,,
,388,253,0.6520618556701031,ON_TICKET,edge_bin,1.2101420457442336,,,,,,,,,,,,,,,,,0.5-1,,,,,,,,,
,399,186,0.46616541353383456,ON_TICKET,edge_bin,-17.37950216788262,,,,,,,,,,,,,,,,,<0,,,,,,,,,
,362,262,0.7237569060773481,ON_TICKET,ml_prob_bin,8.379647086468733,,,,,,,,,,,,,,,,,,70-80,,,,,,,,
,794,532,0.6700251889168766,ON_TICKET,ml_prob_bin,3.0064753704215796,,,,,,,,,,,,,,,,,,80+,,,,,,,,
,177,115,0.6497175141242938,ON_TICKET,ml_prob_bin,0.9757078911633021,,,,,,,,,,,,,,,,,,60-70,,,,,,,,
