prop_cat,n,hits,hr,sport,dimension,lift_pp,pick_type_norm,direction,tier,def_tier,player_tier_bucket,l5_side_bucket,l10_side_bucket,l10_streak,consistency_grade,minutes_tier,usage_tier,game_total_bucket,h2h_bucket,confidence_tier,on_ticket_flag,hit_rate_bin,edge_bin,ml_prob_bin,top3_weak_overperformer,top3_elite_fader,injury_boost_candidate,team_star_out,usage_vacuum,stack_70_eligible,pick_dir_def,tier_dir_player
,8259,1510,0.18283085119263834,SOCCER,def_tier,-0.46691488073616616,,,,Above Avg,,,,,,,,,,,,,,,,,,,,,,
,11287,1864,0.1651457428900505,SOCCER,def_tier,-2.235425710994951,,,,Avg,,,,,,,,,,,,,,,,,,,,,,
,8094,1324,0.16357795898196195,SOCCER,def_tier,-2.392204101803805,,,,Weak,,,,,,,,,,,,,,,,,,,,,,
,9931,1618,0.16292417682005841,SOCCER,def_tier,-2.4575823179941585,,,,Elite,,,,,,,,,,,,,,,,,,,,,,
,8901,1399,0.1571733513088417,SOCCER,def_tier,-3.032664869115831,,,,Below Avg,,,,,,,,,,,,,,,,,,,,,,
,9620,3103,0.32255717255717253,SOCCER,player_tier_bucket,13.505717255717254,,,,,top3,,,,,,,,,,,,,,,,,,,,,
,55821,9607,0.17210368857598396,SOCCER,player_tier_bucket,-1.539631142401604,,,,,mid/other,,,,,,,,,,,,,,,,,,,,,
,2687,64,0.02381838481577968,SOCCER,player_tier_bucket,-16.36816151842203,,,,,bottom3,,,,,,,,,,,,,,,,,,,,,
,1738,1029,0.5920598388952819,SOCCER,l5_side_bucket,40.45598388952819,,,,,,4-5 hot,,,,,,,,,,,,,,,,,,,,
,2747,1335,0.4859847105933746,SOCCER,l5_side_bucket,29.848471059337463,,,,,,3 warm,,,,,,,,,,,,,,,,,,,,
,10918,2375,0.21753068327532515,SOCCER,l5_side_bucket,3.0030683275325156,,,,,,(missing),,,,,,,,,,,,,,,,,,,,
,52725,8035,0.15239449976292083,SOCCER,l5_side_bucket,-3.5105500237079172,,,,,,0-2 cold,,,,,,,,,,,,,,,,,,,,
,68128,12774,0.1875,SOCCER,l10_side_bucket,0.0,,,,,,,(missing),,,,,,,,,,,,,,,,,,,
,68128,12774,0.1875,SOCCER,l10_streak,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,68128,12774,0.1875,SOCCER,consistency_grade,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,28,0.35443037974683544,SOCCER,minutes_tier,16.693037974683545,,,,,,,,,,LOW,,,,,,,,,,,,,,,,
,3068,775,0.2526075619295958,SOCCER,minutes_tier,6.510756192959582,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,
,4849,1115,0.22994431841616828,SOCCER,minutes_tier,4.244431841616827,,,,,,,,,,HIGH,,,,,,,,,,,,,,,,
,96,19,0.19791666666666666,SOCCER,minutes_tier,1.0416666666666656,,,,,,,,,,MEDIUM,,,,,,,,,,,,,,,,
,58729,10628,0.180966813669567,SOCCER,minutes_tier,-0.6533186330433011,,,,,,,,,,,,,,,,,,,,,,,,,,
,1307,209,0.15990818668706963,SOCCER,minutes_tier,-2.759181331293037,,,,,,,,,,Low,,,,,,,,,,,,,,,,
,68128,12774,0.1875,SOCCER,usage_tier,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,68128,12774,0.1875,SOCCER,game_total_bucket,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,68128,12774,0.1875,SOCCER,h2h_bucket,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,854,532,0.6229508196721312,SOCCER,confidence_tier,43.545081967213115,,,,,,,,,,,,,,HIGH,,,,,,,,,,,,
,6590,2581,0.39165402124430954,SOCCER,confidence_tier,20.415402124430955,,,,,,,,,,,,,,MED,,,,,,,,,,,,
,60684,9661,0.15920176652824466,SOCCER,confidence_tier,-2.8298233471755334,,,,,,,,,,,,,,LOW,,,,,,,,,,,,
,68128,12774,0.1875,SOCCER,on_ticket_flag,0.0,,,,,,,,,,,,,,,False,,,,,,,,,,,
,2067,1160,0.5611998064828253,SOCCER,hit_rate_bin,37.36998064828253,,,,,,,,,,,,,,,,70+,,,,,,,,,,
,2125,941,0.4428235294117647,SOCCER,hit_rate_bin,25.532352941176473,,,,,,,,,,,,,,,,55-60,,,,,,,,,,
,555,237,0.42702702702702705,SOCCER,hit_rate_bin,23.952702702702705,,,,,,,,,,,,,,,,60-65,,,,,,,,,,
,415,169,0.4072289156626506,SOCCER,hit_rate_bin,21.972891566265062,,,,,,,,,,,,,,,,65-70,,,,,,,,,,
,5696,1440,0.25280898876404495,SOCCER,hit_rate_bin,6.530898876404495,,,,,,,,,,,,,,,,,,,,,,,,,,
