team_id,opp_team_id,player_norm,espn_athlete_id,game_date,event_id,MIN,PTS,REB,AST,STL,BLK,TO,3PM
233,147,brooke jensen,5314696,20260329,401865132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,147,katy reyerson,5178535,20260329,401865132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,147,alex flattery,5314695,20260329,401865132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,147,alyssa bartlett,5314694,20260329,401865132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,147,coral mason,5178478,20260329,401865132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,147,olivia kieffer,5178477,20260329,401865132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,147,olivia moore,5108737,20260329,401865132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,251,amelia hassett,5239080,20260328,401856581,30.0,5.0,2.0,0.0,0.0,0.0,2.0,1.0
96,251,teonni key,4434020,20260328,401856581,32.0,10.0,9.0,2.0,1.0,3.0,3.0,0.0
96,251,clara strack,5174442,20260328,401856581,32.0,16.0,5.0,0.0,1.0,0.0,2.0,2.0
96,251,asia boone,5177067,20260328,401856581,24.0,11.0,1.0,2.0,1.0,0.0,3.0,2.0
96,251,tonie morgan,4565515,20260328,401856581,37.0,8.0,1.0,7.0,3.0,0.0,8.0,0.0
96,251,kaelyn carroll,5311619,20260328,401856581,10.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
96,251,josie gilvin,5108355,20260328,401856581,12.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0
96,251,jordan obi,4705226,20260328,401856581,23.0,2.0,7.0,0.0,0.0,0.0,4.0,0.0
96,251,elsa vadfors,5311618,20260328,401856581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,251,lexi blue,5239077,20260328,401856581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,251,dominika paurova,5175914,20260328,401856581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,251,gabby brooks,5174437,20260328,401856581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,96,justice carlton,5239105,20260328,401856581,32.0,5.0,5.0,2.0,0.0,0.0,4.0,1.0
251,96,breya cunningham,5175870,20260328,401856581,21.0,8.0,5.0,0.0,1.0,0.0,1.0,0.0
251,96,madison booker,5175792,20260328,401856581,32.0,17.0,8.0,5.0,2.0,0.0,0.0,0.0
251,96,jordan lee,5239104,20260328,401856581,37.0,18.0,2.0,3.0,3.0,0.0,3.0,1.0
251,96,rori harmon,4433523,20260328,401856581,29.0,11.0,7.0,7.0,6.0,0.0,1.0,1.0
251,96,teya sidberry,5105751,20260328,401856581,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
251,96,kyla oldacre,4682860,20260328,401856581,19.0,9.0,7.0,0.0,2.0,0.0,2.0,0.0
251,96,aaliyah crump,5311568,20260328,401856581,10.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0
251,96,bryanna preston,5239103,20260328,401856581,11.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0
251,96,sarah graves,5122915,20260328,401856581,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
251,96,ashton judd,5105452,20260328,401856581,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
251,96,lovisa asbrink hose,5240913,20260328,401856581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,96,grace prenter,5311567,20260328,401856581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,26,toby fournier,5238277,20260329,401856585,27.0,10.0,4.0,1.0,0.0,0.0,1.0,0.0
150,26,delaney thomas,5174409,20260329,401856585,33.0,12.0,6.0,2.0,1.0,0.0,3.0,0.0
150,26,ashlon jackson,5106232,20260329,401856585,37.0,0.0,2.0,5.0,2.0,0.0,2.0,0.0
150,26,taina mair,5106222,20260329,401856585,38.0,21.0,7.0,6.0,4.0,0.0,3.0,1.0
150,26,riley nelson,4894357,20260329,401856585,37.0,13.0,3.0,1.0,0.0,1.0,1.0,0.0
150,26,jordan wood,5174410,20260329,401856585,13.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0
150,26,arianna roberson,5238276,20260329,401856585,15.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0
150,26,anna wikstrom,5311971,20260329,401856585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,26,emilee skinner,5311970,20260329,401856585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,26,olivia martin,5195636,20260329,401856585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,26,jadyn donovan,5174407,20260329,401856585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,26,hailey johnson,5108593,20260329,401856585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,26,emma koabel,5106233,20260329,401856585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,150,lauren betts,5105737,20260329,401856585,38.0,23.0,10.0,3.0,1.0,5.0,3.0,0.0
26,150,gianna kneepkens,4898898,20260329,401856585,27.0,7.0,1.0,0.0,1.0,0.0,2.0,1.0
26,150,gabriela jaquez,4858656,20260329,401856585,31.0,9.0,5.0,1.0,1.0,0.0,3.0,1.0
26,150,charlisse leger walker,4703609,20260329,401856585,31.0,5.0,3.0,6.0,2.0,0.0,3.0,0.0
26,150,kiki rice,4565505,20260329,401856585,36.0,7.0,8.0,2.0,0.0,0.0,1.0,0.0
26,150,sienna betts,5311746,20260329,401856585,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
26,150,angela dugalic,4433411,20260329,401856585,30.0,15.0,6.0,4.0,2.0,0.0,3.0,0.0
26,150,amanda muse,5175937,20260329,401856585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,150,timea gardiner,5105734,20260329,401856585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,150,lena bilic,5311745,20260329,401856585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,150,christina karamouzi,5311744,20260329,401856585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,150,megan grant,5127965,20260329,401856585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,2579,sahara williams,5175754,20260328,401856583,29.0,9.0,7.0,2.0,2.0,1.0,1.0,0.0
201,2579,raegan beers,5105732,20260328,401856583,31.0,14.0,8.0,2.0,1.0,2.0,2.0,0.0
201,2579,aaliyah chavez,5311585,20260328,401856583,37.0,21.0,0.0,3.0,0.0,0.0,3.0,3.0
201,2579,zya vann,5239093,20260328,401856583,27.0,8.0,2.0,0.0,0.0,0.0,3.0,1.0
201,2579,payton verhulst,4433518,20260328,401856583,34.0,12.0,3.0,1.0,1.0,2.0,1.0,2.0
201,2579,brooklyn stewart,5311587,20260328,401856583,19.0,0.0,5.0,1.0,1.0,4.0,4.0,0.0
201,2579,caya smith,5239094,20260328,401856583,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
201,2579,beatrice culliton,5106164,20260328,401856583,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
201,2579,keziah lofton,5311588,20260328,401856583,13.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0
201,2579,emma tolan,5311586,20260328,401856583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,2579,daffa cissoko,5311589,20260328,401856583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2579,201,joyce edwards,5239100,20260328,401856583,32.0,8.0,9.0,4.0,4.0,0.0,2.0,0.0
2579,201,madina okot,5108587,20260328,401856583,24.0,9.0,12.0,2.0,2.0,1.0,2.0,1.0
2579,201,tessa johnson,5174284,20260328,401856583,21.0,14.0,4.0,2.0,0.0,1.0,1.0,2.0
2579,201,ta niya latson,4609797,20260328,401856583,30.0,28.0,1.0,5.0,0.0,0.0,4.0,4.0
2579,201,raven johnson,4433797,20260328,401856583,25.0,18.0,2.0,3.0,1.0,0.0,0.0,2.0
2579,201,alicia tournebize,5329673,20260328,401856583,10.0,4.0,3.0,1.0,0.0,3.0,0.0,0.0
2579,201,maryam dauda,4434019,20260328,401856583,8.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
2579,201,agot makeer,5311577,20260328,401856583,28.0,10.0,2.0,3.0,1.0,0.0,1.0,1.0
2579,201,ayla mcdowell,5311576,20260328,401856583,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2579,201,maddy mcdaniel,5239099,20260328,401856583,19.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
2579,201,adhel tac,5196144,20260328,401856583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2579,201,chloe kitts,5121055,20260328,401856583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,130,mackenly randolph,5238289,20260328,401856580,30.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0
97,130,elif istanbulluoglu,5174420,20260328,401856580,34.0,18.0,7.0,1.0,0.0,0.0,3.0,1.0
97,130,laura ziegler,5107515,20260328,401856580,30.0,5.0,8.0,4.0,1.0,0.0,0.0,1.0
97,130,tajianna roberts,5238294,20260328,401856580,36.0,7.0,1.0,3.0,4.0,0.0,4.0,1.0
97,130,reyna scott,5106166,20260328,401856580,31.0,9.0,0.0,4.0,1.0,0.0,5.0,0.0
97,130,grace mbugua,5312384,20260328,401856580,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
97,130,yevheniia putra,5312382,20260328,401856580,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
97,130,anaya hardy,5238291,20260328,401856580,5.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0
97,130,reagan bender,5238293,20260328,401856580,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
97,130,rebekah graves,5238290,20260328,401856580,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,130,imari berry,5238288,20260328,401856580,28.0,7.0,3.0,4.0,1.0,0.0,0.0,0.0
97,130,isla juffermans,5238292,20260328,401856580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,130,peyton bradley,5312383,20260328,401856580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,130,skylar jones,5175869,20260328,401856580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
