PLAYER_NAME,PLAYER_NORM,TEAM,season_avg,games,avg_min,category,team_slate,team_def_key,rank_on_team,leader_side,PLAYER_NAME_split,n_games,n_elite,n_weak,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,overperform_vs_weak,fades_vs_elite
Stephanie Jones,stephanie jones,ATL,1.0,1,20.0,ast,ATL,ATL,1,bottom,,,,,,,,,,,,,False,False
Naz Hillmon,naz hillmon,ATL,1.4838709677419355,31,28.06451612903226,ast,ATL,ATL,2,bottom,Naz Hillmon,28.0,6.0,11.0,0.08180644333381212,-0.2437852266412638,0.28472845926505463,0.05647988375261104,0.164611614284077,0.45454545454545453,0.16666666666666666,0.5285136859063184,False,False
Holly Winterburn,holly winterburn,ATL,2.0,1,22.0,ast,ATL,ATL,3,bottom,,,,,,,,,,,,,False,False
Jordin Canada,jordin canada,ATL,7.333333333333333,33,30.363636363636363,ast,ATL,ATL,1,top,Jordin Canada,30.0,7.0,11.0,1.4080763495157496,-0.36343532628362346,2.368643266168289,1.5609384868005562,0.31930106293340754,0.7272727272727273,0.5714285714285714,2.7320785924519124,True,True
Maite Cazorla,maite cazorla,ATL,4.0,1,22.0,ast,ATL,ATL,2,top,,,,,,,,,,,,,False,False
Rhyne Howard,rhyne howard,ATL,3.5,32,33.09375,ast,ATL,ATL,3,top,Rhyne Howard,29.0,7.0,11.0,0.21380879418045912,-0.05125494642301355,-0.09901445408753308,0.6953089682870247,-0.12563945109163915,0.36363636363636365,0.2857142857142857,-0.04775950766451953,False,False
Holly Winterburn,holly winterburn,ATL,0.0,1,22.0,blk,ATL,ATL,1,bottom,,,,,,,,,,,,,False,False
Maite Cazorla,maite cazorla,ATL,0.0,1,22.0,blk,ATL,ATL,2,bottom,,,,,,,,,,,,,False,False
Stephanie Jones,stephanie jones,ATL,0.0,1,20.0,blk,ATL,ATL,3,bottom,,,,,,,,,,,,,False,False
Rhyne Howard,rhyne howard,ATL,0.90625,32,33.09375,blk,ATL,ATL,1,top,Rhyne Howard,29.0,7.0,11.0,0.2827153280857958,0.7217842692632609,0.0076171514990575565,0.2784059966505108,-0.2660980294874055,0.36363636363636365,0.8571428571428571,-0.7141671177642034,False,False
Angel Reese,angel reese,ATL,0.65625,32,29.4375,blk,ATL,ATL,2,top,Angel Reese,29.0,7.0,10.0,-0.1361494588966989,-0.7458608110974321,-0.02602819788128343,0.1277477790408825,0.3882716841362206,0.7,0.0,0.7198326132161487,True,True
Brionna Jones,brionna jones,ATL,0.625,8,18.375,blk,ATL,ATL,3,top,Brionna Jones,5.0,1.0,2.0,-0.3461904761904762,-1.0,-0.19047619047619047,-0.175,0.41909248218781264,0.5,0.0,0.8095238095238095,False,False
Holly Winterburn,holly winterburn,ATL,0.0,1,22.0,fg3m,ATL,ATL,1,bottom,,,,,,,,,,,,,False,False
Maite Cazorla,maite cazorla,ATL,0.0,1,22.0,fg3m,ATL,ATL,2,bottom,,,,,,,,,,,,,False,False
Stephanie Jones,stephanie jones,ATL,0.0,1,20.0,fg3m,ATL,ATL,3,bottom,,,,,,,,,,,,,False,False
Rhyne Howard,rhyne howard,ATL,3.21875,32,33.09375,fg3m,ATL,ATL,1,top,Rhyne Howard,29.0,7.0,11.0,0.357854154446626,-0.3991652216442133,1.0027681993747946,0.19467971248535515,0.3520872676621832,0.7272727272727273,0.42857142857142855,1.4019334210190078,True,True
Allisha Gray,allisha gray,ATL,1.606060606060606,33,31.484848484848484,fg3m,ATL,ATL,2,top,Allisha Gray,30.0,7.0,11.0,0.06897136046705087,-0.06809677619053993,0.30280311971310314,-0.06541800579156899,0.08577233570427101,0.5454545454545454,0.14285714285714285,0.3708998959036431,False,False
Naz Hillmon,naz hillmon,ATL,1.0,31,28.06451612903226,fg3m,ATL,ATL,3,top,Naz Hillmon,28.0,6.0,11.0,0.23696065966279614,0.03219500013230664,0.2799940643609718,0.3056176147085238,0.13369980205459278,0.6363636363636364,0.6666666666666666,0.24779906422866516,False,False
Stephanie Jones,stephanie jones,ATL,10.0,1,20.0,pra,ATL,ATL,1,bottom,,,,,,,,,,,,,False,False
Maite Cazorla,maite cazorla,ATL,13.0,1,22.0,pra,ATL,ATL,2,bottom,,,,,,,,,,,,,False,False
Naz Hillmon,naz hillmon,ATL,14.290322580645162,31,28.06451612903226,pra,ATL,ATL,3,bottom,Naz Hillmon,28.0,6.0,11.0,1.0882626915757192,-0.9484553200497471,2.9115447785749,0.3759177018267929,0.2648763878604287,0.6363636363636364,0.3333333333333333,3.860000098624647,True,True
