PLAYER_NAME,PLAYER_NORM,TEAM,season_avg,games,avg_min,category,team_slate,team_def_key,rank_on_team,leader_side,PLAYER_NAME_split,n_games,n_elite,n_weak,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,overperform_vs_weak,fades_vs_elite,player,team,opp_team,prop_norm,line,bet_direction,final_bet_direction,rank_score,edge,edge_score,tier,slate_opp_def_rank,slate_opp_def_tier,line_hit_rate_over_ou_5,stat_last5_avg,player_norm,on_slate,slate_edge_signal
Maite Cazorla,maite cazorla,ATL,1.0,1,22.0,fg2m,ATL,ATL,2,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Isobel Borlase,isobel borlase,ATL,1.4333333333333333,30,15.233333333333333,fg2m,ATL,ATL,3,bottom,Isobel Borlase,27.0,8.0,12.0,-0.40469815464679015,-0.6814732142857143,-0.18952488180860838,-0.4572522684963314,0.1851342355758629,0.3333333333333333,0.25,0.4919483324771059,False,True,,,,,,,,,,,,,,,,,False,False
Angel Reese,angel reese,ATL,5.088235294117647,34,29.647058823529413,fg2m,ATL,ATL,1,top,Angel Reese,31.0,8.0,12.0,0.8000025126614865,-0.8993669892199305,1.398443187895085,1.3830632319567728,0.26668445999901763,0.8333333333333334,0.375,2.2978101771150152,True,True,,,,,,,,,,,,,,,,,False,False
Allisha Gray,allisha gray,ATL,4.6,35,31.685714285714287,fg2m,ATL,ATL,2,top,Allisha Gray,32.0,8.0,13.0,0.6488795387791331,-0.34565920322561694,0.6160623449276804,1.4109643984252136,0.10111428821284527,0.6923076923076923,0.25,0.9617215481532974,True,True,,,,,,,,,,,,,,,,,False,False
Holly Winterburn,holly winterburn,ATL,4.0,1,22.0,fg2m,ATL,ATL,3,top,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Holly Winterburn,holly winterburn,ATL,0.0,1,22.0,fg3m,ATL,ATL,1,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Maite Cazorla,maite cazorla,ATL,0.0,1,22.0,fg3m,ATL,ATL,2,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Stephanie Jones,stephanie jones,ATL,0.0,1,20.0,fg3m,ATL,ATL,3,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Rhyne Howard,rhyne howard,ATL,3.2058823529411766,34,33.26470588235294,fg3m,ATL,ATL,1,top,Rhyne Howard,31.0,8.0,13.0,0.31891268407177037,-0.10477360681114561,0.23730858288412018,0.7639470483220483,0.14963698007761703,0.5384615384615384,0.5,0.3420821896952658,False,False,,,,,,,,,,,,,,,,,False,False
Allisha Gray,allisha gray,ATL,1.7428571428571429,35,31.685714285714287,fg3m,ATL,ATL,2,top,Allisha Gray,32.0,8.0,13.0,0.2120815506161133,0.21843265579034085,0.4727512486857361,-0.10060162359287911,0.19879040077268956,0.6153846153846154,0.375,0.25431859289539527,False,False,,,,,,,,,,,,,,,,,False,False
Naz Hillmon,naz hillmon,ATL,1.0,33,28.09090909090909,fg3m,ATL,ATL,3,top,Naz Hillmon,30.0,8.0,13.0,0.22012161568527638,-0.0703884537027152,0.4971648497359199,0.07817922817922818,0.23255860849306875,0.6153846153846154,0.5,0.5675533034386351,True,False,,,,,,,,,,,,,,,,,False,False
Maite Cazorla,maite cazorla,ATL,2.0,1,22.0,fga,ATL,ATL,1,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Stephanie Jones,stephanie jones,ATL,2.0,1,20.0,fga,ATL,ATL,2,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Isobel Borlase,isobel borlase,ATL,4.966666666666667,30,15.233333333333333,fga,ATL,ATL,3,bottom,Isobel Borlase,27.0,8.0,12.0,-0.8875670910959975,-1.8669642857142859,-0.1549089961930253,-1.0242413170801916,0.38289130641312463,0.5833333333333334,0.125,1.7120552895212606,True,True,,,,,,,,,,,,,,,,,False,False
Allisha Gray,allisha gray,ATL,13.82857142857143,35,31.685714285714287,fga,ATL,ATL,1,top,Allisha Gray,32.0,8.0,13.0,1.1528759887693711,-0.3822570824705549,1.711845924503066,1.608735571076769,0.10035396147295854,0.6923076923076923,0.375,2.094103006973621,True,True,,,,,,,,,,,,,,,,,False,False
