team,opp_pts,opp_reb,opp_ast,opp_stl,opp_blk,opp_tov,opp_fgm,opp_fga,opp_fg3m,opp_fg3a,opp_fg2m,opp_fg2a,opp_ftm,opp_fta,opp_oreb,opp_dreb,opp_pra,opp_pr,opp_pa,opp_ra,opp_bs,games,pts_rank,pts_tier,reb_rank,reb_tier,ast_rank,ast_tier,stl_rank,stl_tier,blk_rank,blk_tier,tov_rank,tov_tier,fgm_rank,fgm_tier,fga_rank,fga_tier,fg3m_rank,fg3m_tier,fg3a_rank,fg3a_tier,fg2m_rank,fg2m_tier,fg2a_rank,fg2a_tier,ftm_rank,ftm_tier,fta_rank,fta_tier,oreb_rank,oreb_tier,dreb_rank,dreb_tier,pra_rank,pra_tier,pr_rank,pr_tier,pa_rank,pa_tier,ra_rank,ra_tier,bs_rank,bs_tier,overall_rank,n_teams
ATL,89.6470588235294,29.647058823529413,20.294117647058822,6.705882352941177,4.647058823529412,16.823529411764707,32.470588235294116,64.05882352941177,9.176470588235293,23.41176470588235,23.294117647058822,40.64705882352941,15.529411764705882,20.294117647058822,0.0,0.0,139.58823529411765,119.29411764705883,109.94117647058823,49.94117647058823,11.352941176470589,17,8,MID,2,HARD,5,HARD_MID,6,HARD_MID,12,EASY_MID,15,EASY,10,EASY_MID,2,HARD,9,MID,4,HARD_MID,9,MID,2,HARD,7,MID,8,MID,1,HARD,1,HARD,4,HARD_MID,4,HARD_MID,7,MID,3,HARD,9,MID,8,15
CHI,91.61111111111111,35.111111111111114,20.72222222222222,7.444444444444445,5.333333333333333,13.11111111111111,32.0,69.66666666666667,8.166666666666666,24.77777777777778,23.833333333333332,44.888888888888886,19.444444444444443,24.5,0.0,0.0,147.44444444444446,126.72222222222223,112.33333333333333,55.833333333333336,12.777777777777779,18,10,EASY_MID,13,EASY,6,HARD_MID,10,EASY_MID,15,EASY,9,MID,9,MID,7,MID,3,HARD,6,HARD_MID,11,EASY_MID,10,EASY_MID,15,EASY,15,EASY,1,HARD,1,HARD,11,EASY_MID,12,EASY_MID,9,MID,11,EASY_MID,13,EASY,10,15
CON,85.5,33.0,20.0,6.625,4.3125,14.375,29.75,65.1875,8.125,22.1875,21.625,43.0,17.875,22.1875,0.0,0.0,138.5,118.5,105.5,53.0,10.9375,16,3,HARD,7,MID,4,HARD_MID,5,HARD_MID,11,EASY_MID,13,EASY,3,HARD,3,HARD,2,HARD,1,HARD,3,HARD,7,MID,12,EASY_MID,12,EASY_MID,1,HARD,1,HARD,3,HARD,3,HARD,3,HARD,5,HARD_MID,7,MID,3,15
DAL,87.15789473684211,34.1578947368421,20.736842105263158,5.842105263157895,3.6315789473684212,12.052631578947368,31.57894736842105,69.21052631578948,8.526315789473685,24.210526315789473,23.05263157894737,45.0,15.473684210526315,19.789473684210527,0.0,0.0,142.05263157894737,121.3157894736842,107.89473684210526,54.89473684210526,9.473684210526315,19,5,HARD_MID,10,EASY_MID,7,MID,1,HARD,7,MID,5,HARD_MID,5,HARD_MID,6,HARD_MID,6,HARD_MID,5,HARD_MID,7,MID,11,EASY_MID,6,HARD_MID,6,HARD_MID,1,HARD,1,HARD,6,HARD_MID,7,MID,4,HARD_MID,9,MID,2,HARD,5,15
GS,74.66666666666667,31.055555555555557,17.5,6.111111111111111,3.388888888888889,13.38888888888889,26.38888888888889,62.05555555555556,6.944444444444445,22.22222222222222,19.444444444444443,39.833333333333336,14.944444444444445,19.944444444444443,0.0,0.0,123.22222222222223,105.72222222222223,92.16666666666667,48.55555555555556,9.5,18,1,HARD,5,HARD_MID,1,HARD,2,HARD,5,HARD_MID,11,EASY_MID,1,HARD,1,HARD,1,HARD,2,HARD,1,HARD,1,HARD,4,HARD_MID,7,MID,1,HARD,1,HARD,1,HARD,1,HARD,1,HARD,1,HARD,3,HARD,1,15
IND,92.52631578947368,29.63157894736842,21.789473684210527,7.421052631578948,2.8947368421052633,11.578947368421053,34.0,71.26315789473684,8.473684210526315,23.31578947368421,25.526315789473685,47.94736842105263,16.05263157894737,21.31578947368421,0.0,0.0,143.94736842105263,122.15789473684211,114.3157894736842,51.421052631578945,10.31578947368421,19,12,EASY_MID,1,HARD,9,MID,9,MID,2,HARD,3,HARD,12,EASY_MID,13,EASY,5,HARD_MID,3,HARD,15,EASY,15,EASY,9,MID,10,EASY_MID,1,HARD,1,HARD,9,MID,8,MID,12,EASY_MID,4,HARD_MID,6,HARD_MID,12,15
LA,96.47058823529412,36.23529411764706,22.58823529411765,8.647058823529411,3.6470588235294117,13.823529411764707,35.294117647058826,72.76470588235294,10.882352941176471,29.41176470588235,24.41176470588235,43.35294117647059,15.0,18.647058823529413,0.0,0.0,155.2941176470588,132.7058823529412,119.05882352941177,58.8235294117647,12.294117647058824,17,14,EASY,15,EASY,13,EASY,14,EASY,8,MID,12,EASY_MID,15,EASY,14,EASY,15,EASY,15,EASY,12,EASY_MID,8,MID,5,HARD_MID,4,HARD_MID,1,HARD,1,HARD,14,EASY,15,EASY,13,EASY,14,EASY,12,EASY_MID,14,15
LV,89.0952380952381,34.285714285714285,19.571428571428573,6.619047619047619,2.4285714285714284,12.476190476190476,31.952380952380953,69.71428571428571,8.857142857142858,25.714285714285715,23.095238095238095,44.0,16.333333333333332,20.38095238095238,0.0,0.0,142.95238095238096,123.38095238095238,108.66666666666667,53.857142857142854,9.047619047619047,21,6,HARD_MID,12,EASY_MID,3,HARD,3,HARD,1,HARD,7,MID,8,MID,8,MID,7,MID,9,MID,8,MID,9,MID,10,EASY_MID,9,MID,1,HARD,1,HARD,8,MID,9,MID,6,HARD_MID,7,MID,1,HARD,6,15
MIN,86.80952380952381,32.857142857142854,21.142857142857142,6.619047619047619,3.142857142857143,15.571428571428571,31.38095238095238,67.76190476190476,9.333333333333334,26.523809523809526,22.047619047619047,41.23809523809524,14.714285714285714,18.523809523809526,0.0,0.0,140.8095238095238,119.66666666666667,107.95238095238095,54.0,9.761904761904763,21,4,HARD_MID,6,HARD_MID,8,MID,3,HARD,4,HARD_MID,14,EASY,4,HARD_MID,4,HARD_MID,10,EASY_MID,10,EASY_MID,6,HARD_MID,4,HARD_MID,3,HARD,3,HARD,1,HARD,1,HARD,5,HARD_MID,5,HARD_MID,5,HARD_MID,8,MID,4,HARD_MID,4,15
NY,89.75,30.3,22.8,7.05,3.1,11.25,33.15,70.9,9.35,25.7,23.8,45.2,14.1,17.7,0.0,0.0,142.85,120.05,112.55,53.1,10.15,20,9,MID,4,HARD_MID,14,EASY,7,MID,3,HARD,2,HARD,11,EASY_MID,11,EASY_MID,11,EASY_MID,8,MID,10,EASY_MID,13,EASY,2,HARD,2,HARD,1,HARD,1,HARD,7,MID,6,HARD_MID,10,EASY_MID,6,HARD_MID,5,HARD_MID,9,15
