team,n_teams,overall_rank,era_rank,era_tier,whip_rank,whip_tier,obp_rank,obp_tier,SP_ERA,WHIP,OBP_ALLOWED,DEF_TIER
NYY,30,1,1,HARD,1,HARD,1,HARD,2.96,1.13,0.288,Elite
ATL,30,3,2,HARD,3,HARD,4,HARD,3.19,1.17,0.295,Elite
LAD,30,2,3,HARD,1,HARD,1,HARD,3.23,1.13,0.288,Elite
MIL,30,7,4,HARD,10,HARD_MID,11,HARD_MID,3.61,1.26,0.312,Above Avg
TEX,30,5,5,HARD,6,HARD,6,HARD,3.66,1.22,0.303,Elite
TB,30,4,6,HARD,5,HARD,3,HARD,3.67,1.2,0.293,Elite
PIT,30,6,7,HARD_MID,7,HARD_MID,8,HARD_MID,3.72,1.23,0.306,Elite
SEA,30,10,8,HARD_MID,10,HARD_MID,14,MID,3.74,1.26,0.319,Above Avg
DET,30,12,9,HARD_MID,16,MID,13,MID,3.84,1.32,0.318,Above Avg
MIA,30,9,10,HARD_MID,8,HARD_MID,7,HARD_MID,3.86,1.24,0.304,Above Avg
SF,30,14,11,HARD_MID,16,MID,14,MID,3.87,1.32,0.319,Avg
NYM,30,11,12,HARD_MID,9,HARD_MID,8,HARD_MID,3.91,1.25,0.306,Above Avg
CHC,30,8,13,MID,4,HARD,5,HARD,3.93,1.19,0.296,Above Avg
CLE,30,13,14,MID,12,HARD_MID,10,HARD_MID,4.03,1.27,0.31,Avg
BOS,30,16,15,MID,14,MID,16,MID,4.14,1.31,0.322,Avg
CHW,30,19,16,MID,20,EASY_MID,22,EASY_MID,4.25,1.39,0.335,Below Avg
TOR,30,15,17,MID,13,MID,12,HARD_MID,4.27,1.3,0.316,Avg
SD,30,17,18,MID,14,MID,17,MID,4.3,1.31,0.324,Avg
KC,30,18,19,EASY_MID,18,MID,18,MID,4.34,1.37,0.327,Avg
CIN,30,25,20,EASY_MID,29,EASY,29,EASY,4.46,1.5,0.35,Weak
MIN,30,20,20,EASY_MID,18,MID,20,EASY_MID,4.46,1.37,0.333,Below Avg
STL,30,23,22,EASY_MID,24,EASY_MID,26,EASY,4.49,1.43,0.343,Below Avg
LAA,30,22,23,EASY_MID,23,EASY_MID,23,EASY_MID,4.53,1.42,0.338,Below Avg
OAK,30,26,23,EASY_MID,27,EASY,27,EASY,4.53,1.46,0.344,Weak
COL,30,21,25,EASY,20,EASY_MID,20,EASY_MID,4.59,1.39,0.333,Below Avg
PHI,30,27,26,EASY,25,EASY,24,EASY_MID,4.61,1.45,0.339,Weak
BAL,30,29,27,EASY,28,EASY,27,EASY,4.79,1.49,0.344,Weak
WSH,30,28,28,EASY,25,EASY,24,EASY_MID,4.81,1.45,0.339,Weak
ARI,30,24,29,EASY,22,EASY_MID,19,EASY_MID,5.07,1.41,0.331,Below Avg
HOU,30,30,30,EASY,30,EASY,30,EASY,5.86,1.65,0.378,Weak
