file,player,team,line,result,reason
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Keider Montero,DET,14.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Keider Montero,DET,78.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Cam Schlittler,NYY,90.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Cam Schlittler,NYY,17.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Griffin Jax,TB,5.0,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Shane Baz,BAL,91.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Shane Baz,BAL,17.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Griffin Jax,TB,5.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Shane Baz,BAL,5.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Griffin Jax,TB,2.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Hunter Feduccia,TB,1.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Keider Montero,DET,4.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Cam Schlittler,NYY,6.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Cam Schlittler,NYY,2.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Cam Schlittler,NYY,95.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Shane Baz,BAL,4.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Cam Schlittler,NYY,6.0,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Keider Montero,DET,83.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Keider Montero,DET,4.0,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Victor Mesa Jr.,TB,0.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Victor Mesa Jr.,TB,0.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Victor Mesa Jr.,TB,0.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Gage Workman,DET,0.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Amed Rosario,NYY,0.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Keider Montero,DET,15.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Shane Baz,BAL,3.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Amed Rosario,NYY,0.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Hunter Feduccia,TB,0.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Gage Workman,DET,0.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Keider Montero,DET,0.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Keider Montero,DET,3.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Shane Baz,BAL,4.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Shane Baz,BAL,96.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Griffin Jax,TB,15.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Griffin Jax,TB,7.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Shane Baz,BAL,7.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Griffin Jax,TB,6.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Shane Baz,BAL,6.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Griffin Jax,TB,3.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Griffin Jax,TB,2.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Hunter Feduccia,TB,0.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Keider Montero,DET,6.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Keider Montero,DET,5.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Gage Workman,DET,0.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Cam Schlittler,NYY,8.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Cam Schlittler,NYY,7.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Cam Schlittler,NYY,4.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Shane Baz,BAL,1.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Keider Montero,DET,4.5,VOID,POSTPONED · makeup 2026-05-24 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Cam Schlittler,NYY,3.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-23\graded_mlb_2026-05-23.xlsx,Griffin Jax,TB,1.5,VOID,POSTPONED · makeup 2026-09-22 · Rain
