file,status,rows,void_rows,acceptable_void_rows,unacceptable_void_rows
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-28\graded_nba_2026-05-28.xlsx,ok,1273,23,23,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-28\graded_nhl_2026-05-28.xlsx,ok,244,16,16,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-28\graded_mlb_2026-05-28.xlsx,ok,3191,697,697,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-28\graded_soccer_2026-05-28.xlsx,ok,34,27,27,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-28\graded_nba1h_2026-05-28.xlsx,ok,41,0,0,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-28\graded_nba1q_2026-05-28.xlsx,ok,145,0,0,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-28\graded_tennis_2026-05-28.xlsx,ok,1141,81,81,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-28\graded_wnba_2026-05-28.xlsx,ok,1297,625,625,0
