file,player,team,line,result,reason
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-29\graded_mlb_2026-04-29.xlsx,Trevor McDonald,SF,2.5,VOID,POSTPONED · makeup 2026-04-30 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-29\graded_mlb_2026-04-29.xlsx,Bryce Eldridge,SF,0.5,VOID,POSTPONED · makeup 2026-04-30 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-29\graded_mlb_2026-04-29.xlsx,Trevor McDonald,SF,3.5,VOID,POSTPONED · makeup 2026-04-30 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-29\graded_mlb_2026-04-29.xlsx,J.T. Realmuto,PHI,0.5,VOID,POSTPONED · makeup 2026-04-30 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-29\graded_mlb_2026-04-29.xlsx,Shane Baz,BAL,4.5,VOID,POSTPONED · makeup 2026-04-30 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-29\graded_mlb_2026-04-29.xlsx,Shane Baz,BAL,3.5,VOID,POSTPONED · makeup 2026-04-30 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-29\graded_mlb_2026-04-29.xlsx,Aaron Nola,PHI,1.5,VOID,POSTPONED · makeup 2026-04-30 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-29\graded_mlb_2026-04-29.xlsx,Shane Baz,BAL,6.5,VOID,POSTPONED · makeup 2026-04-30 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-29\graded_mlb_2026-04-29.xlsx,Trevor McDonald,SF,5.5,VOID,POSTPONED · makeup 2026-04-30 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-29\graded_mlb_2026-04-29.xlsx,Bryce Eldridge,SF,0.5,VOID,POSTPONED · makeup 2026-04-30 · Rain
