file,status,rows,void_rows,acceptable_void_rows,unacceptable_void_rows
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-14\graded_nba_2026-05-14.xlsx,ok,0,0,0,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-14\graded_nhl_2026-05-14.xlsx,ok,509,1,1,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-14\graded_mlb_2026-05-14.xlsx,ok,2765,317,317,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-14\graded_soccer_2026-05-14.xlsx,ok,1343,739,739,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-14\graded_nba1h_2026-05-14.xlsx,ok,0,0,0,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-14\graded_tennis_2026-05-14.xlsx,ok,21,21,21,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-14\graded_wnba_2026-05-14.xlsx,ok,0,0,0,0
