file,player,team,line,result,reason
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Willi Castro,COL,0.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Willi Castro,COL,0.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Willi Castro,COL,0.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Tomoyuki Sugano,COL,4.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Tomoyuki Sugano,COL,5.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Tomoyuki Sugano,COL,15.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Tomoyuki Sugano,COL,5.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Tomoyuki Sugano,COL,3.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Tomoyuki Sugano,COL,2.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Willi Castro,COL,0.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Tomoyuki Sugano,COL,2.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Willi Castro,COL,0.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Tomoyuki Sugano,COL,6.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Willi Castro,COL,1.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Willi Castro,COL,1.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Willi Castro,COL,0.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Willi Castro,COL,0.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Willi Castro,COL,1.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Willi Castro,COL,1.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Willi Castro,COL,2.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\graded_mlb_2026-04-25.xlsx,Willi Castro,COL,3.5,VOID,POSTPONED · makeup 2026-04-26 · Rain
