file,status,rows,void_rows,acceptable_void_rows,unacceptable_void_rows
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-26\graded_nba_2026-04-26.xlsx,ok,2375,217,217,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-26\graded_nhl_2026-04-26.xlsx,ok,518,410,410,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-26\graded_mlb_2026-04-26.xlsx,ok,2927,458,458,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-26\graded_soccer_2026-04-26.xlsx,ok,278,159,159,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-26\graded_nba1h_2026-04-26.xlsx,ok,20,5,5,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-26\graded_nba1q_2026-04-26.xlsx,ok,326,128,128,0
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-26\graded_tennis_2026-04-26.xlsx,ok,150,150,150,0
