type,player,prop,reason,action,confidence
AVOID,Nic Dowd,goals,Low confidence (3) vs ANA,Skip this player-opponent-prop combo,96.75
AVOID,Nick Suzuki,plus/minus,Low confidence (3) vs BUF,Skip this player-opponent-prop combo,96.75
AVOID,Mitch Marner,points,Low confidence (3) vs ANA,Skip this player-opponent-prop combo,96.75
AVOID,Troy Terry,assists,Low confidence (3) vs VGK,Skip this player-opponent-prop combo,96.75
AVOID,Pavel Dorofeyev,assists,Low confidence (3) vs ANA,Skip this player-opponent-prop combo,96.75
AVOID,Cole Caufield,plus/minus,Low confidence (3) vs BUF,Skip this player-opponent-prop combo,96.75
AVOID,Cole Smith,assists,Low confidence (3) vs ANA,Skip this player-opponent-prop combo,96.75
AVOID,Colton Sissons,assists,Low confidence (3) vs ANA,Skip this player-opponent-prop combo,96.75
AVOID,Leo Carlsson,assists,Low confidence (3) vs VGK,Skip this player-opponent-prop combo,96.75
AVOID,Jack Eichel,power_play_points,Low confidence (3) vs ANA,Skip this player-opponent-prop combo,96.75
AVOID,Troy Terry,power_play_points,Low confidence (3) vs VGK,Skip this player-opponent-prop combo,96.75
AVOID,Colton Sissons,goals,Low confidence (3) vs ANA,Skip this player-opponent-prop combo,96.75
AVOID,Tage Thompson,goals,Low confidence (3) vs MTL,Skip this player-opponent-prop combo,96.75
AVOID,Pavel Dorofeyev,power_play_points,Low confidence (3) vs ANA,Skip this player-opponent-prop combo,96.75
AVOID,Phillip Danault,goals,Low confidence (3) vs BUF,Skip this player-opponent-prop combo,96.75
AVOID,Mike Matheson,shots_on_goal,Low confidence (3) vs BUF,Skip this player-opponent-prop combo,96.75
AVOID,Josh Anderson,shots_on_goal,Low confidence (3) vs BUF,Skip this player-opponent-prop combo,96.75
AVOID,Jacob Trouba,shots_on_goal,Low confidence (3) vs VGK,Skip this player-opponent-prop combo,96.75
AVOID,Jack Eichel,points,Low confidence (3) vs ANA,Skip this player-opponent-prop combo,96.75
AVOID,Jackson LaCombe,points,Low confidence (3) vs VGK,Skip this player-opponent-prop combo,96.75
AVOID,Jack Eichel,time_on_ice,Low confidence (4) vs ANA,Skip this player-opponent-prop combo,96.375
