type,player,prop,reason,action,confidence
AVOID,John Carlson,assists,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.125
AVOID,Josh Doan,plus/minus,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Owen Power,plus/minus,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Mason McTavish,points,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.125
AVOID,Cutter Gauthier,points,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.125
AVOID,Jackson LaCombe,assists,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.125
AVOID,Peyton Krebs,points,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Alex Tuch,points,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Zach Benson,plus/minus,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Alex Tuch,power_play_points,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Tim Washe,points,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.125
AVOID,Beck Malenstyn,goals,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Ryan McLeod,points,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Josh Norris,goals,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Zach Benson,goals,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Peyton Krebs,assists,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Josh Norris,points,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Jeffrey Viel,points,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.125
AVOID,Beck Malenstyn,assists,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Jordan Greenway,assists,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Tim Washe,assists,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.125
AVOID,Beck Malenstyn,plus/minus,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Jack Quinn,goals,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Ryan McLeod,goals,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Konsta Helenius,assists,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Tage Thompson,power_play_points,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Luke Schenn,points,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Jordan Greenway,points,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Jack Quinn,power_play_points,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Jeffrey Viel,assists,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.125
AVOID,Luke Schenn,assists,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Jason Zucker,power_play_points,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Josh Norris,assists,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Beck Malenstyn,points,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Peyton Krebs,goals,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Ryan McLeod,assists,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Carter Hart,goalie_saves,Low confidence (6) vs ANA,Skip this player-opponent-prop combo,94.0
AVOID,Carter Hart,goalie_saves,Low confidence (6) vs ANA,Skip this player-opponent-prop combo,94.0
AVOID,Jakub Dobes,goalie_saves,Low confidence (6) vs BUF,Skip this player-opponent-prop combo,94.0
AVOID,Ukko-Pekka Luukkonen,goalie_saves,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.0
AVOID,Lukas Dostal,goalie_saves,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.0
AVOID,Cutter Gauthier,shots_on_goal,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,93.625
AVOID,Leo Carlsson,shots_on_goal,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,93.625
AVOID,Leo Carlsson,shots_on_goal,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,93.625
AVOID,Nick Suzuki,shots_on_goal,Low confidence (6) vs BUF,Skip this player-opponent-prop combo,93.625
AVOID,Alex Tuch,time_on_ice,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,93.625
AVOID,Alex Newhook,shots_on_goal,Low confidence (6) vs BUF,Skip this player-opponent-prop combo,93.625
AVOID,Mitch Marner,shots_on_goal,Low confidence (6) vs ANA,Skip this player-opponent-prop combo,93.625
AVOID,Alex Killorn,plus/minus,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,93.625
AVOID,Alex Killorn,shots_on_goal,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,93.625
AVOID,Rasmus Andersson,blocked_shots,Low confidence (6) vs ANA,Skip this player-opponent-prop combo,93.625
AVOID,Mattias Samuelsson,hits,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,93.625
AVOID,Leo Carlsson,shots_on_goal,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,93.625
AVOID,Nick Suzuki,faceoffs_won,Low confidence (6) vs BUF,Skip this player-opponent-prop combo,93.625
AVOID,Lane Hutson,time_on_ice,Low confidence (6) vs BUF,Skip this player-opponent-prop combo,93.625
AVOID,Juraj Slafkovský,shots_on_goal,Low confidence (7) vs BUF,Skip this player-opponent-prop combo,92.875
AVOID,Mason McTavish,plus/minus,Low confidence (7) vs VGK,Skip this player-opponent-prop combo,92.875
AVOID,Luke Schenn,plus/minus,Low confidence (7) vs MTL,Skip this player-opponent-prop combo,92.875
AVOID,Jordan Greenway,plus/minus,Low confidence (7) vs MTL,Skip this player-opponent-prop combo,92.875
AVOID,Carter Hart,goalie_saves,Low confidence (8) vs ANA,Skip this player-opponent-prop combo,92.5
AVOID,Alex Tuch,plus/minus,Low confidence (8) vs MTL,Skip this player-opponent-prop combo,91.625
AVOID,Peyton Krebs,plus/minus,Low confidence (8) vs MTL,Skip this player-opponent-prop combo,91.625
AVOID,Tage Thompson,plus/minus,Low confidence (8) vs MTL,Skip this player-opponent-prop combo,91.625
AVOID,Jackson LaCombe,shots_on_goal,Low confidence (8) vs VGK,Skip this player-opponent-prop combo,91.5
AVOID,Ukko-Pekka Luukkonen,goalie_saves,Low confidence (9) vs MTL,Skip this player-opponent-prop combo,91.0
AVOID,Lukas Dostal,goalie_saves,Low confidence (9) vs VGK,Skip this player-opponent-prop combo,91.0
AVOID,Ukko-Pekka Luukkonen,goalie_saves,Low confidence (9) vs MTL,Skip this player-opponent-prop combo,91.0
AVOID,Jackson LaCombe,plus/minus,Low confidence (9) vs VGK,Skip this player-opponent-prop combo,91.0
AVOID,Ukko-Pekka Luukkonen,goalie_saves,Low confidence (9) vs MTL,Skip this player-opponent-prop combo,91.0
AVOID,Pavel Dorofeyev,shots_on_goal,Low confidence (10) vs ANA,Skip this player-opponent-prop combo,90.25
AVOID,Jason Zucker,shots_on_goal,Low confidence (10) vs MTL,Skip this player-opponent-prop combo,90.25
AVOID,Rasmus Dahlin,shots_on_goal,Low confidence (10) vs MTL,Skip this player-opponent-prop combo,90.25
AVOID,Mason McTavish,shots_on_goal,Low confidence (10) vs VGK,Skip this player-opponent-prop combo,90.25
AVOID,Alex Tuch,shots_on_goal,Low confidence (11) vs MTL,Skip this player-opponent-prop combo,89.0
AVOID,Lane Hutson,shots_on_goal,Low confidence (11) vs BUF,Skip this player-opponent-prop combo,89.0
AVOID,Rasmus Dahlin,assists,Low confidence (11) vs MTL,Skip this player-opponent-prop combo,88.875
AVOID,Jason Zucker,shots_on_goal,Low confidence (11) vs MTL,Skip this player-opponent-prop combo,88.875
AVOID,Mikael Granlund,points,Low confidence (11) vs VGK,Skip this player-opponent-prop combo,88.875
AVOID,Ivan Barbashev,points,Low confidence (11) vs ANA,Skip this player-opponent-prop combo,88.875
AVOID,Josh Doan,points,Low confidence (11) vs MTL,Skip this player-opponent-prop combo,88.875
AVOID,Mason McTavish,shots_on_goal,Low confidence (11) vs VGK,Skip this player-opponent-prop combo,88.875
AVOID,Noah Hanifin,shots_on_goal,Low confidence (11) vs ANA,Skip this player-opponent-prop combo,88.875
AVOID,Rasmus Dahlin,shots_on_goal,Low confidence (11) vs MTL,Skip this player-opponent-prop combo,88.875
AVOID,Pavel Dorofeyev,shots_on_goal,Low confidence (11) vs ANA,Skip this player-opponent-prop combo,88.875
AVOID,Juraj Slafkovský,shots_on_goal,Low confidence (12) vs BUF,Skip this player-opponent-prop combo,88.375
AVOID,William Karlsson,shots_on_goal,Low confidence (12) vs ANA,Skip this player-opponent-prop combo,88.375
AVOID,Lukas Dostal,goalie_saves,Low confidence (12) vs VGK,Skip this player-opponent-prop combo,88.0
AVOID,Zach Benson,points,Low confidence (12) vs MTL,Skip this player-opponent-prop combo,87.625
AVOID,John Carlson,points,Low confidence (12) vs VGK,Skip this player-opponent-prop combo,87.625
AVOID,Lane Hutson,shots_on_goal,Low confidence (12) vs BUF,Skip this player-opponent-prop combo,87.625
AVOID,Alex Tuch,shots_on_goal,Low confidence (12) vs MTL,Skip this player-opponent-prop combo,87.625
AVOID,Jackson LaCombe,points,Low confidence (12) vs VGK,Skip this player-opponent-prop combo,87.625
AVOID,Ukko-Pekka Luukkonen,goalie_saves,Low confidence (14) vs MTL,Skip this player-opponent-prop combo,86.5
AVOID,William Karlsson,shots_on_goal,Low confidence (14) vs ANA,Skip this player-opponent-prop combo,86.375
AVOID,Lane Hutson,blocked_shots,Low confidence (14) vs BUF,Skip this player-opponent-prop combo,86.375
AVOID,Juraj Slafkovský,shots_on_goal,Low confidence (14) vs BUF,Skip this player-opponent-prop combo,85.75
AVOID,Lukas Dostal,goalie_saves,Low confidence (15) vs VGK,Skip this player-opponent-prop combo,85.0
