espn_player_id,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,game_date,player_1,player_2,team_1,team_2,id_status,TEAM_NAME,OVERALL_DEF_RANK,OPP_PPG,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_wins,opp_gp,def_rank,DEF_TIER,updated_at,gp,goals_conceded,goals_conceded_pg,clean_sheets,wins,draws,losses,opp_team_1,opp_team_2,TEAM_NAME_DEF_1,OVERALL_DEF_RANK_DEF_1,OPP_PPG_DEF_1,opp_gaa_DEF_1,opp_saa_DEF_1,opp_pk_pct_DEF_1,opp_gf_per_game_DEF_1,opp_sf_per_game_DEF_1,opp_pp_pct_DEF_1,opp_wins_DEF_1,opp_gp_DEF_1,def_rank_DEF_1,def_tier_DEF_1,updated_at_DEF_1,gp_DEF_1,goals_conceded_DEF_1,goals_conceded_pg_DEF_1,clean_sheets_DEF_1,wins_DEF_1,draws_DEF_1,losses_DEF_1,TEAM_NAME_DEF_2,OVERALL_DEF_RANK_DEF_2,OPP_PPG_DEF_2,opp_gaa_DEF_2,opp_saa_DEF_2,opp_pk_pct_DEF_2,opp_gf_per_game_DEF_2,opp_sf_per_game_DEF_2,opp_pp_pct_DEF_2,opp_wins_DEF_2,opp_gp_DEF_2,def_rank_DEF_2,def_tier_DEF_2,updated_at_DEF_2,gp_DEF_2,goals_conceded_DEF_2,goals_conceded_pg_DEF_2,clean_sheets_DEF_2,wins_DEF_2,draws_DEF_2,losses_DEF_2,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,avg_minutes,avg_passes,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_games_played_10,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10
286604,André Almeida,Midfielder,VALENCIA,,SOCCER,1.5,Shots On Target,shots_on_target,Demon,12069823,12069823,148460,151607,2026-05-14T13:00:00.000-04:00,,,,2,https://static.prizepicks.com/images/players/soccer/9dc4qkvh0vk5kwymibji00kp.webp,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,0.0,,OK,5.0,0.0,5.0,0.0,0.0,1.0,6.0,0.0,6.0,0.0,0.0,1.0
186181,Gerard Gumbau,Midfielder,RAYO,,SOCCER,1.5,Shots,shots,Demon,12069833,12069833,252161,151607,2026-05-14T13:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Gerard Gumbau Garriga.png,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6,0.429,0.429,1.0,4.0,0.0,0.2,0.2,0.8,0.14285714285714285,0.8571428571428571,OK,,,OK,5.0,1.0,4.0,0.0,0.2,0.8,7.0,1.0,6.0,0.0,0.14285714285714285,0.8571428571428571
267477,Hugo Duro,Attacker,VALENCIA,,SOCCER,1.5,Tackles,tackles,Demon,12069835,12069835,148457,151607,2026-05-14T13:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/soccer/7yieh5r0uzk6d6x9o060c2bfu.webp,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
16340,Javi Guerra,Midfielder,VALENCIA,,SOCCER,1.5,Shots On Target,shots_on_target,Demon,12069839,12069839,148461,151607,2026-05-14T13:00:00.000-04:00,,,,2,https://static.prizepicks.com/images/players/soccer/aqqd7tq7z6bj3wn3u3sz3uuqc.webp,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,0.4,0.333,0.333,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,90.0,,OK,5.0,0.0,5.0,0.0,0.0,1.0,6.0,0.0,6.0,0.0,0.0,1.0
189804,Jesús Vázquez,Defender,VALENCIA,,SOCCER,1.5,Shots,shots,Demon,12069841,12069841,183193,151607,2026-05-14T13:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/soccer/d6kzekcwqw0q8fq6wt6rmyusq.webp,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,0.2,0.167,0.167,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,0.0,,OK,5.0,0.0,5.0,0.0,0.0,1.0,6.0,0.0,6.0,0.0,0.0,1.0
260740,Jorge de Frutos,Attacker,RAYO,,SOCCER,1.5,Tackles,tackles,Demon,12069843,12069843,252166,151607,2026-05-14T13:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/soccer/c157xhi78x9cykn7xz816bjd.webp,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
231603,Pepelu,Midfielder,VALENCIA,,SOCCER,1.5,Shots,shots,Demon,12069845,12069845,148454,151607,2026-05-14T13:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/soccer/3702btkgwxf6tq92ouekd7ro5.webp,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0.2,0.167,0.167,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,90.0,,OK,5.0,0.0,5.0,0.0,0.0,1.0,6.0,0.0,6.0,0.0,0.0,1.0
178747,José Gayà,Defender,VALENCIA,,SOCCER,1.5,Shots,shots,Demon,12069848,12069848,148456,151607,2026-05-14T13:00:00.000-04:00,,,,2,https://static.prizepicks.com/images/players/soccer/5b1q9bpe23j98eoy4fwi7ld5h.webp,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0.2,0.167,0.167,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,90.0,,OK,5.0,0.0,5.0,0.0,0.0,1.0,6.0,0.0,6.0,0.0,0.0,1.0
323970,Julen Agirrezabala,Goalkeeper,VALENCIA,,SOCCER,1.5,Goalie Saves,saves,Goblin,12069851,12069851,253212,151607,2026-05-14T13:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Julen Agirrezabala Astúlez.png,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
241139,Abdul Mumin,Defender,RAYO,,SOCCER,1.5,Fouls,fouls,Demon,12069854,12069854,252168,151607,2026-05-14T13:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/soccer/lp63o37czdwete0smmu62k89.webp,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1.0,0.0,,,,,,,,0.333,0.333,0.333,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,0.0,,OK,3.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0
