player,team,prop_type,actual,league,espn_player_id,SOT,SH,G,A,SV,PA,KP,TK
Bastos,BOT,Fouls,3.0,bra.copa_do_brazil,204602,,1.0,0.0,0.0,,,,
Bastos,BOT,Goal + Assist,0.0,bra.copa_do_brazil,204602,,,,,,,,
Bastos,BOT,Goals,0.0,bra.copa_do_brazil,204602,,1.0,0.0,0.0,,,,
Bastos,BOT,Shots,1.0,bra.copa_do_brazil,204602,,1.0,0.0,0.0,,,,
Bastos,BOT,Yellow Cards,0.0,bra.copa_do_brazil,204602,,1.0,0.0,0.0,,,,
Bernardo Zortea,GRE,Assists,0.0,bra.copa_do_brazil,400264,,0.0,0.0,0.0,,,,
Bernardo Zortea,GRE,Fouls,0.0,bra.copa_do_brazil,400264,,0.0,0.0,0.0,,,,
Bernardo Zortea,GRE,Goal + Assist,0.0,bra.copa_do_brazil,400264,,,,,,,,
Bernardo Zortea,GRE,Goals,0.0,bra.copa_do_brazil,400264,,0.0,0.0,0.0,,,,
Bernardo Zortea,GRE,Shots,0.0,bra.copa_do_brazil,400264,,0.0,0.0,0.0,,,,
Bernardo Zortea,GRE,Yellow Cards,0.0,bra.copa_do_brazil,400264,,0.0,0.0,0.0,,,,
