player,team,prop_type,actual,league,espn_player_id,SOT,SH,G,A,SV,PA,KP,TK
Agustín Rossi,FLA,Shots,0.0,bra.copa_do_brazil,215388,,0.0,0.0,0.0,2.0,,,
Agustín Rossi,FLA,Yellow Cards,0.0,bra.copa_do_brazil,215388,,0.0,0.0,0.0,2.0,,,
Aihen Muñoz,RSO,Assists,0.0,esp.1,283891,,0.0,0.0,0.0,,,,
Aihen Muñoz,RSO,Fouls,0.0,esp.1,283891,,0.0,0.0,0.0,,,,
Aihen Muñoz,RSO,Goal + Assist,0.0,esp.1,283891,,,,,,,,
Aihen Muñoz,RSO,Goals,0.0,esp.1,283891,,0.0,0.0,0.0,,,,
Aihen Muñoz,RSO,Shots,0.0,esp.1,283891,,0.0,0.0,0.0,,,,
Aihen Muñoz,RSO,Yellow Cards,0.0,esp.1,283891,,0.0,0.0,0.0,,,,
Alan Bautista,PAC,Assists,0.0,mex.1,326072,,0.0,0.0,0.0,,,,
Alan Bautista,PAC,Fouls,0.0,mex.1,326072,,0.0,0.0,0.0,,,,
Alan Bautista,PAC,Goal + Assist,0.0,mex.1,326072,,,,,,,,
Alan Bautista,PAC,Goals,0.0,mex.1,326072,,0.0,0.0,0.0,,,,
Alan Bautista,PAC,Shots,0.0,mex.1,326072,,0.0,0.0,0.0,,,,
Alan Bautista,PAC,Yellow Cards,0.0,mex.1,326072,,0.0,0.0,0.0,,,,
Alberto Reina,OVI,Assists,0.0,esp.1,253732,,2.0,0.0,0.0,,,,
Alberto Reina,OVI,Fouls,2.0,esp.1,253732,,2.0,0.0,0.0,,,,
Alberto Reina,OVI,Goal + Assist,0.0,esp.1,253732,,,,,,,,
Alberto Reina,OVI,Goals,0.0,esp.1,253732,,2.0,0.0,0.0,,,,
Alberto Reina,OVI,Shots,2.0,esp.1,253732,,2.0,0.0,0.0,,,,
Alberto Reina,OVI,Yellow Cards,0.0,esp.1,253732,,2.0,0.0,0.0,,,,
Alejandro Francés,GIR,Assists,0.0,esp.1,297825,,5.0,0.0,0.0,,,,
Alejandro Francés,GIR,Fouls,1.0,esp.1,297825,,5.0,0.0,0.0,,,,
Alejandro Francés,GIR,Goal + Assist,0.0,esp.1,297825,,,,,,,,
Alejandro Francés,GIR,Goals,0.0,esp.1,297825,,5.0,0.0,0.0,,,,
Alejandro Francés,GIR,Shots,5.0,esp.1,297825,,5.0,0.0,0.0,,,,
Alejandro Francés,GIR,Yellow Cards,1.0,esp.1,297825,,5.0,0.0,0.0,,,,
Alemão,BAR,Assists,0.0,bra.copa_do_brazil,216252,,0.0,0.0,0.0,,,,
Alemão,BAR,Fouls,2.0,bra.copa_do_brazil,216252,,0.0,0.0,0.0,,,,
Alemão,BAR,Goal + Assist,0.0,bra.copa_do_brazil,216252,,,,,,,,
Alemão,BAR,Goals,0.0,bra.copa_do_brazil,216252,,0.0,0.0,0.0,,,,
Alemão,BAR,Shots,0.0,bra.copa_do_brazil,216252,,0.0,0.0,0.0,,,,
Alemão,BAR,Yellow Cards,0.0,bra.copa_do_brazil,216252,,0.0,0.0,0.0,,,,
Alemão,RAY,Assists,0.0,esp.1,313024,,0.0,0.0,0.0,,,,
Alemão,RAY,Fouls,1.0,esp.1,313024,,0.0,0.0,0.0,,,,
Alemão,RAY,Goal + Assist,0.0,esp.1,313024,,,,,,,,
Alemão,RAY,Goals,0.0,esp.1,313024,,0.0,0.0,0.0,,,,
Alemão,RAY,Shots,0.0,esp.1,313024,,0.0,0.0,0.0,,,,
Alemão,RAY,Yellow Cards,0.0,esp.1,313024,,0.0,0.0,0.0,,,,
Alex Fores,OVI,Assists,0.0,esp.1,343629,,0.0,0.0,0.0,,,,
Alex Fores,OVI,Fouls,0.0,esp.1,343629,,0.0,0.0,0.0,,,,
Alex Fores,OVI,Goal + Assist,0.0,esp.1,343629,,,,,,,,
Alex Fores,OVI,Goals,0.0,esp.1,343629,,0.0,0.0,0.0,,,,
Alex Fores,OVI,Shots,0.0,esp.1,343629,,0.0,0.0,0.0,,,,
Alex Fores,OVI,Yellow Cards,0.0,esp.1,343629,,0.0,0.0,0.0,,,,
Alex Sandro,FLA,Assists,0.0,bra.copa_do_brazil,125514,,0.0,0.0,0.0,,,,
Alex Sandro,FLA,Fouls,2.0,bra.copa_do_brazil,125514,,0.0,0.0,0.0,,,,
Alex Sandro,FLA,Goal + Assist,0.0,bra.copa_do_brazil,125514,,,,,,,,
Alex Sandro,FLA,Goals,0.0,bra.copa_do_brazil,125514,,0.0,0.0,0.0,,,,
Alex Sandro,FLA,Shots,0.0,bra.copa_do_brazil,125514,,0.0,0.0,0.0,,,,
Alex Sandro,FLA,Yellow Cards,0.0,bra.copa_do_brazil,125514,,0.0,0.0,0.0,,,,
Alex Santana,COR,Assists,0.0,bra.copa_do_brazil,196879,,0.0,0.0,0.0,,,,
Alex Santana,COR,Fouls,0.0,bra.copa_do_brazil,196879,,0.0,0.0,0.0,,,,
Alex Santana,COR,Goal + Assist,0.0,bra.copa_do_brazil,196879,,,,,,,,
Alex Santana,COR,Goals,0.0,bra.copa_do_brazil,196879,,0.0,0.0,0.0,,,,
Alex Santana,COR,Shots,0.0,bra.copa_do_brazil,196879,,0.0,0.0,0.0,,,,
Alex Santana,COR,Yellow Cards,0.0,bra.copa_do_brazil,196879,,0.0,0.0,0.0,,,,
Alex Telles,BOT,Assists,0.0,bra.copa_do_brazil,199734,,0.0,0.0,0.0,,,,
Alex Telles,BOT,Fouls,0.0,bra.copa_do_brazil,199734,,0.0,0.0,0.0,,,,
