player,team,prop_type,actual
Andrey Rublev,,games_won,6.0
Andrey Rublev,,match_total_games,18.0
Andrey Rublev,,aces,0.0
Andrey Rublev,,double faults,0.0
Andrey Rublev,,sets won,0.0
Jannik Sinner,,games_won,12.0
Jannik Sinner,,match_total_games,18.0
Jannik Sinner,,aces,0.0
Jannik Sinner,,double faults,0.0
Jannik Sinner,,sets won,2.0
Daniil Medvedev,,games_won,14.0
Daniil Medvedev,,match_total_games,29.0
Daniil Medvedev,,aces,0.0
Daniil Medvedev,,double faults,0.0
Daniil Medvedev,,sets won,2.0
Martin Landaluce,,games_won,15.0
Martin Landaluce,,match_total_games,29.0
Martin Landaluce,,aces,0.0
Martin Landaluce,,double faults,0.0
Martin Landaluce,,sets won,1.0
Coco Gauff,,games_won,12.0
Coco Gauff,,match_total_games,19.0
Coco Gauff,,aces,0.0
Coco Gauff,,double faults,0.0
Coco Gauff,,sets won,2.0
Sorana Cirstea,,games_won,7.0
Sorana Cirstea,,match_total_games,19.0
Sorana Cirstea,,aces,0.0
Sorana Cirstea,,double faults,0.0
Sorana Cirstea,,sets won,0.0
Elina Svitolina,,games_won,14.0
Elina Svitolina,,match_total_games,26.0
Elina Svitolina,,aces,0.0
Elina Svitolina,,double faults,0.0
Elina Svitolina,,sets won,2.0
Iga Swiatek,,games_won,12.0
Iga Swiatek,,match_total_games,26.0
Iga Swiatek,,aces,0.0
Iga Swiatek,,double faults,0.0
Iga Swiatek,,sets won,1.0
Andrey Rublev,,games_won,6.0
Andrey Rublev,,match_total_games,18.0
Andrey Rublev,,aces,0.0
Andrey Rublev,,double faults,0.0
Andrey Rublev,,sets won,0.0
Jannik Sinner,,games_won,12.0
Jannik Sinner,,match_total_games,18.0
Jannik Sinner,,aces,0.0
Jannik Sinner,,double faults,0.0
Jannik Sinner,,sets won,2.0
Daniil Medvedev,,games_won,14.0
Daniil Medvedev,,match_total_games,29.0
Daniil Medvedev,,aces,0.0
Daniil Medvedev,,double faults,0.0
Daniil Medvedev,,sets won,2.0
Martin Landaluce,,games_won,15.0
Martin Landaluce,,match_total_games,29.0
Martin Landaluce,,aces,0.0
Martin Landaluce,,double faults,0.0
Martin Landaluce,,sets won,1.0
Coco Gauff,,games_won,12.0
Coco Gauff,,match_total_games,19.0
Coco Gauff,,aces,0.0
Coco Gauff,,double faults,0.0
Coco Gauff,,sets won,2.0
Sorana Cirstea,,games_won,7.0
Sorana Cirstea,,match_total_games,19.0
Sorana Cirstea,,aces,0.0
Sorana Cirstea,,double faults,0.0
Sorana Cirstea,,sets won,0.0
Elina Svitolina,,games_won,14.0
Elina Svitolina,,match_total_games,26.0
Elina Svitolina,,aces,0.0
Elina Svitolina,,double faults,0.0
Elina Svitolina,,sets won,2.0
Iga Swiatek,,games_won,12.0
Iga Swiatek,,match_total_games,26.0
Iga Swiatek,,aces,0.0
Iga Swiatek,,double faults,0.0
Iga Swiatek,,sets won,1.0
Tamara Korpatsch,,games_won,16.0
Tamara Korpatsch,,match_total_games,35.0
Tamara Korpatsch,,aces,0.0
Tamara Korpatsch,,double faults,0.0
Tamara Korpatsch,,sets won,1.0
Alina Charaeva,,games_won,19.0
Alina Charaeva,,match_total_games,35.0
Alina Charaeva,,aces,0.0
Alina Charaeva,,double faults,0.0
Alina Charaeva,,sets won,2.0
Anna Blinkova,,games_won,9.0
Anna Blinkova,,match_total_games,22.0
Anna Blinkova,,aces,0.0
Anna Blinkova,,double faults,0.0
Anna Blinkova,,sets won,0.0
Aliaksandra Sasnovich,,games_won,13.0
Aliaksandra Sasnovich,,match_total_games,22.0
Aliaksandra Sasnovich,,aces,0.0
Aliaksandra Sasnovich,,double faults,0.0
Aliaksandra Sasnovich,,sets won,2.0
Katie Volynets,,games_won,12.0
Katie Volynets,,match_total_games,17.0
Katie Volynets,,aces,0.0
Katie Volynets,,double faults,0.0
Katie Volynets,,sets won,2.0
Emma Navarro,,games_won,5.0
Emma Navarro,,match_total_games,17.0
Emma Navarro,,aces,0.0
Emma Navarro,,double faults,0.0
Emma Navarro,,sets won,0.0
Tiantsoa Rakotomanga Rajaonah,,games_won,5.0
Tiantsoa Rakotomanga Rajaonah,,match_total_games,17.0
Tiantsoa Rakotomanga Rajaonah,,aces,0.0
Tiantsoa Rakotomanga Rajaonah,,double faults,0.0
Tiantsoa Rakotomanga Rajaonah,,sets won,0.0
Madison Keys,,games_won,12.0
Madison Keys,,match_total_games,17.0
Madison Keys,,aces,0.0
Madison Keys,,double faults,0.0
Madison Keys,,sets won,2.0
Chloe Paquet,,games_won,14.0
Chloe Paquet,,match_total_games,29.0
Chloe Paquet,,aces,0.0
Chloe Paquet,,double faults,0.0
Chloe Paquet,,sets won,1.0
Diane Parry,,games_won,15.0
Diane Parry,,match_total_games,29.0
Diane Parry,,aces,0.0
Diane Parry,,double faults,0.0
Diane Parry,,sets won,2.0
