projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,delta_pct,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,recommended_side,edge,position_code,position_group,scoring_tier,pp_tier,pts_per_game,goals_per_game,pp_pts_per_game,toi_per_game_api
12076818,215149,Ryan McLeod,BUF,F,Faceoffs Won,6.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,faceoffs_won,SKATER,MTL,1,8480802,False,,3.122,0.0,0.0,3.451,0.0,0.0,82.0,18.0,Avg,5,10,4,12,12,11,8,2,8,8,8.6,8,8,,,,,,,,,OK,0.6,3,2,5,0.7,7,3,10,0.7,7,3,10,0.7,10,0.66,OVER,0.16,C,F,SECONDARY,PP_OCC,0.667,0.173,0.086,17.62
12077767,92038,Mattias Samuelsson,BUF,D,Hits,4.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,hits,SKATER,MTL,1,8480807,False,,3.122,0.0,0.0,3.451,0.0,0.0,82.0,18.0,Avg,2,4,1,3,0,9,0,1,3,2,2,2.5,2.5,,,,,,,,,OK,0.0,0,5,5,0.1,1,9,10,0.1,1,9,10,0.1,10,0.06,OVER,-0.44,D,D,DEPTH,NO_PP,0.526,0.167,0.0,22.83
12077768,267797,Joseph Veleno,MTL,F,Hits,4,4.0,standard,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,hits,SKATER,BUF,0,8460807,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,UNDER,0.5,G,G,UNKNOWN,N/A,0.0,0.0,0.0,
12077766,218293,Arber Xhekaj,MTL,D,Hits,3.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,hits,SKATER,BUF,0,8482964,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,7,1,6,8,4,5,5,4,1,4,5.2,4.5,4.5,,,,,,,,,OK,0.8,4,1,5,0.8,8,2,10,0.8,8,2,10,0.8,10,0.8,OVER,0.3,D,D,SHUTDOWN,NO_PP,0.062,0.015,0.0,11.42
12077771,218294,Beck Malenstyn,BUF,F,Hits,3.5,3.5,standard,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,hits,SKATER,MTL,1,8479359,False,,3.122,0.0,0.0,3.451,0.0,0.0,82.0,18.0,Avg,5,2,4,5,2,4,6,2,3,5,3.6,3.8,3.8,,,,,,,,,OK,0.6,3,2,5,0.6,6,4,10,0.6,6,4,10,0.6,10,0.6,OVER,0.1,L,F,SHUTDOWN,NO_PP,0.173,0.086,0.0,11.25
12077769,175663,Peyton Krebs,BUF,F,Hits,2.5,,goblin,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,hits,SKATER,MTL,1,8481522,False,,3.122,0.0,0.0,3.451,0.0,0.0,82.0,18.0,Avg,1,2,2,4,2,2,3,4,4,3,2.2,2.7,2.7,,,,,,,,,OK,0.2,1,4,5,0.5,5,5,10,0.5,5,5,10,0.5,10,0.38,OVER,-0.12,C,F,DEPTH,NO_PP,0.476,0.146,0.012,13.77
12077770,87735,Kaiden Guhle,MTL,D,Hits,2.5,,goblin,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,hits,SKATER,BUF,0,8482087,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,3,3,4,11,4,3,3,3,1,0,5,3.5,3.5,,,,,,,,,OK,1.0,5,0,5,0.8,8,2,10,0.8,8,2,10,0.8,10,0.88,OVER,0.38,D,D,DEPTH,NO_PP,0.282,0.051,0.0,19.47
12077773,59156,Josh Anderson,MTL,F,Hits,2.5,,goblin,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,hits,SKATER,BUF,0,8476981,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,3,9,4,4,4,5,4,1,1,1,4.8,3.6,3.6,,,,,,,,,OK,1.0,5,0,5,0.7,7,3,10,0.7,7,3,10,0.7,10,0.82,OVER,0.32,R,F,DEPTH,NO_PP,0.319,0.194,0.0,14.02
12077774,173646,Jordan Greenway,BUF,F,Hits,2.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,hits,SKATER,MTL,1,8478413,False,,3.122,0.0,0.0,3.451,0.0,0.0,82.0,18.0,Avg,2,2,3,2,4,2,0,5,0,0,2.6,2,2,,,,,,,,,OK,0.4,2,3,5,0.3,3,7,10,0.3,3,7,10,0.3,10,0.34,OVER,-0.16,L,F,SHUTDOWN,NO_PP,0.15,0.025,0.0,12.45
12077775,218653,Alex Tuch,BUF,F,Hits,2.5,2.5,standard,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,hits,SKATER,MTL,1,8477949,False,,3.122,0.0,0.0,3.451,0.0,0.0,82.0,18.0,Avg,2,3,0,3,3,10,0,0,1,0,2.2,2.2,2.2,,,,,,,,,OK,0.6,3,2,5,0.4,4,6,10,0.4,4,6,10,0.4,10,0.48,UNDER,0.02,R,F,SECONDARY,PP_OCC,0.835,0.418,0.114,19.0
