player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Aziaha James,DAL,Rebounds,2.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,11.0
Azzi Fudd,DAL,Blks+Stls,2.0,8.0,1.0,0.0,1.0,1.0,2.0,4.0,7.0,0.0,2.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,4.0,20.0
Emily Engstler,POR,3-PT Made,2.0,11.0,4.0,0.0,1.0,0.0,1.0,4.0,7.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,19.0
Olivia Miles,MIN,Rebounds,2.0,15.0,2.0,6.0,1.0,0.0,3.0,7.0,12.0,0.0,1.0,0.0,1.0,1.0,7.0,11.0,1.0,1.0,2.0,32.0
Courtney Williams,MIN,Blks+Stls,2.0,21.0,5.0,3.0,0.0,2.0,1.0,9.0,10.0,3.0,4.0,3.0,0.0,0.0,6.0,6.0,0.0,5.0,3.0,31.0
Kamiah Smalls,POR,Pts+Rebs,2.0,2.0,0.0,4.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,16.0
Kamiah Smalls,POR,3-PT Attempted,2.0,2.0,0.0,4.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,16.0
Kamiah Smalls,POR,Turnovers,2.0,2.0,0.0,4.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,16.0
Kamiah Smalls,POR,Points,2.0,2.0,0.0,4.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,16.0
Bridget Carleton,POR,Personal Fouls,2.0,11.0,5.0,2.0,0.0,1.0,1.0,4.0,11.0,2.0,6.0,2.0,1.0,1.0,2.0,5.0,2.0,3.0,2.0,25.0
Bridget Carleton,POR,Offensive Rebounds,2.0,11.0,5.0,2.0,0.0,1.0,1.0,4.0,11.0,2.0,6.0,2.0,1.0,1.0,2.0,5.0,2.0,3.0,2.0,25.0
Han Xu,NY,Free Throws Attempted,2.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,7.0
Han Xu,NY,Two Pointers Attempted,2.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,7.0
Han Xu,NY,FG Attempted,2.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,7.0
