date,sport,event_id,team,player,injury_status,injury_type,injury_type_desc,injury_detail,injury_side,rank_penalty
2026-05-14,NBA,401856908,MIN,Liatu King,DNP-COACH'S DECISION,DNP,From box score,DNP-COACH'S DECISION,,-0.45
2026-05-14,NBA,401856908,MIN,Eliska Hamzova,DNP-COACH'S DECISION,DNP,From box score,DNP-COACH'S DECISION,,-0.45
2026-05-14,NBA,401856908,DAL,Li Yueru,DNP-COACH'S DECISION,DNP,From box score,DNP-COACH'S DECISION,,-0.45
2026-05-14,NBA,401856908,DAL,JJ Quinerly,DNP-COACH'S DECISION,DNP,From box score,DNP-COACH'S DECISION,,-0.45
