player_norm,espn_athlete_id,team_norm
sean neave,358245,newcastleunited
bazoumana toure,359108,newcastleunited
trevan sanusi,362517,newcastleunited
park seung-soo,371584,newcastleunited
matheos ferreira,399404,newcastleunited
simon moore,138481,sunderland
anthony patterson,281705,sunderland
robin roefs,301449,sunderland
melker ellborg,307800,sunderland
arthur masuaku,165892,sunderland
thomas meunier,166473,sunderland
nordi mukiele,214188,sunderland
omar alderete,215401,sunderland
reinildo mandava,230081,sunderland
ajibola alese,243545,sunderland
jenson arron jones,243578,
danny ballard,282645,sunderland
trai hume,290207,sunderland
jenson seelt,310132,sunderland
leo hjelde,312592,sunderland
archie lightfoot,3111011,sunderland
ben kindon,3111012,sunderland
abdoullah ba,56820,sunderland
granit xhaka,149981,sunderland
luke o'nien,191574,sunderland
alan browne,197627,sunderland
jack whittaker,236211,sunderland
enzo le fee,288340,sunderland
habib diarra,324991,sunderland
noah sadiki,340240,sunderland
chris rigg,356295,sunderland
tymur tutierov,387460,sunderland
jayden jones,409743,sunderland
tom proctor,3111010,sunderland
charles richard dinsdale,3111013,sunderland
wilson isidor,265915,sunderland
brian brobbey,282229,sunderland
simon adingra,317404,sunderland
nilson angulo,318090,sunderland
romaine mundle,323084,sunderland
ahmed abdullahi,359150,sunderland
chemsdine talbi,360062,sunderland
luis semedo,364591,sunderland
trey ogunsuyi,392107,sunderland
finn geragusyan,414669,sunderland
jocelin ta bi,417825,sunderland
felix scott,3111009,sunderland
fraser forster,93193,afcbournemouth
djordje petrovic,289824,afcbournemouth
william dennis,291269,afcbournemouth
adam smith,122268,afcbournemouth
max aarons,243725,afcbournemouth
james hill,279155,afcbournemouth
julian araujo,280764,afcbournemouth
bafode diakite,282675,afcbournemouth
adrien truffert,305684,afcbournemouth
matai akinmboni,337023,afcbournemouth
julio soler,339797,afcbournemouth
veljko milosavljevic,377736,afcbournemouth
david brooks,72487,afcbournemouth
ryan christie,93435,afcbournemouth
tyler adams,222776,afcbournemouth
lewis cook,223452,afcbournemouth
marcus tavernier,243364,afcbournemouth
alex scott,314790,afcbournemouth
alex toth,360149,afcbournemouth
ben winterburn,397213,afcbournemouth
evanilson,102368,afcbournemouth
enes unal,218122,afcbournemouth
justin kluivert,245916,afcbournemouth
amine adli,291613,afcbournemouth
daniel jebbison,312182,afcbournemouth
ben gannon-doak,332948,afcbournemouth
alvaro rodriguez,353151,afcbournemouth
rayan,357719,afcbournemouth
junior kroupi,361809,afcbournemouth
remy rees-dottin,398123,afcbournemouth
jason steele,111114,brightonhovealbion
tom mcgill,248761,brightonhovealbion
bart verbruggen,291609,brightonhovealbion
carl rushworth,307069,brightonhovealbion
lewis dunk,147106,brightonhovealbion
olivier boscagli,216017,brightonhovealbion
igor julio,234143,brightonhovealbion
ferdi kadioglu,238318,brightonhovealbion
pascal struijk,246771,brightonhovealbion
costinha,274285,brightonhovealbion
michael svoboda,289942,brightonhovealbion
maxim de cuyper,301327,brightonhovealbion
eiran cashin,318359,brightonhovealbion
luka vuskovic,364962,brightonhovealbion
pascal gross,132659,brightonhovealbion
diego gomez,192278,brightonhovealbion
matt o'riley,261087,brightonhovealbion
kaoru mitoma,274278,brightonhovealbion
mats wieffer,282186,brightonhovealbion
yasin ayari,304242,brightonhovealbion
facundo buonanotte,318284,brightonhovealbion
amario cozier-duberry,327170,brightonhovealbion
jack hinshelwood,328011,brightonhovealbion
carlos baleba,338814,brightonhovealbion
malick yalcouye,359097,brightonhovealbion
danny welbeck,115271,brightonhovealbion
georginio rutter,278061,brightonhovealbion
evan ferguson,289645,brightonhovealbion
yankuba minteh,348787,brightonhovealbion
stefanos tzimas,357165,brightonhovealbion
mark o’mahony,358407,brightonhovealbion
ibrahim osman,359400,brightonhovealbion
charalambos kostoulas,387655,brightonhovealbion
tom watson,356957,wiganathletic
zadok yohanna,407059,brightonhovealbion
benjamin lecomte,149517,fulham
bernd leno,153765,fulham
kenny tete,190974,fulham
joachim andersen,196081,fulham
timothy castagne,197163,fulham
antonee robinson,222396,fulham
jorge cuenca,252031,fulham
calvin bassey,263110,fulham
tom cairney,140033,fulham
harrison reed,193246,fulham
sander berge,218998,fulham
sasa lukic,222300,fulham
ryan sessegnon,241328,fulham
emile smith rowe,266697,fulham
oscar bobb,307111,fulham
josh king,409541,fulham
alex iwobi,175063,fulham
rodrigo muniz,301525,fulham
kevin,330764,fulham
jonah kusi-asare,369363,fulham
marcus bettinelli,177545,manchestercity
gianluigi donnarumma,217092,manchestercity
james trafford,307118,manchestercity
ruben dias,234878,manchestercity
marc guehi,265907,manchestercity
rayan ait-nouri,272512,manchestercity
issa kabore,294427,manchestercity
finley burns,298519,manchestercity
josko gvardiol,299910,manchestercity
josh wilson-esbrand,307117,manchestercity
rico lewis,325564,manchestercity
nico o'reilly,328464,manchestercity
max alleyne,347046,manchestercity
vitor reis,361434,manchestercity
abdukodir khusanov,362211,manchestercity
juma bah,370703,manchestercity
mateo kovacic,154595,manchestercity
jack grealish,172850,manchestercity
kalvin phillips,223453,manchestercity
rodri,231828,manchestercity
elliot anderson,238472,manchestercity
phil foden,250787,manchestercity
tijjani reijnders,261328,manchestercity
rayan cherki,298008,manchestercity
matheus nunes,303785,manchestercity
nico gonzalez,323986,manchestercity
claudio echeverri,361355,manchestercity
erling haaland,253989,manchestercity
antoine semenyo,273292,manchestercity
jeremy doku,283672,manchestercity
omar marmoush,303745,manchestercity
savinho,304470,manchestercity
jeremy monga,389329,manchestercity
walter benitez,195738,crystalpalace
remi matthews,205981,crystalpalace
dean henderson,234172,crystalpalace
joseph whitworth,326249,crystalpalace
lucca benetton,3114844,crystalpalace
daniel munoz,146679,crystalpalace
borna sosa,228319,crystalpalace
chris richards,272585,crystalpalace
oscar mingueza,276546,crystalpalace
tyrick mitchell,300853,crystalpalace
tayo adaramola,330230,crystalpalace
mofe jemide,366068,crystalpalace
jaydee canvot,386252,crystalpalace
george king,400110,crystalpalace
dean benamar,403867,crystalpalace
charlie walker-smith,409810,crystalpalace
will hughes,168421,crystalpalace
jefferson lerma,197399,crystalpalace
daichi kamada,219362,crystalpalace
cheick doucoure,266628,crystalpalace
justin devenny,291468,crystalpalace
yeremy pino,297370,crystalpalace
adam wharton,333419,crystalpalace
david ozoh,345407,crystalpalace
romain esse,356208,crystalpalace
rio cardines,363444,crystalpalace
ismaila sarr,241012,crystalpalace
jean-philippe mateta,241187,crystalpalace
jørgen strand larsen,252747,crystalpalace
eddie nketiah,259486,crystalpalace
brennan johnson,291307,crystalpalace
jesurun rak-sakyi,317718,crystalpalace
matheus franca,318087,crystalpalace
joel drakes-thomas,408511,crystalpalace
tom heaton,42250,manchesterunited
karl darlow,130877,manchesterunited
altay bayindir,274272,manchesterunited
senne lammens,301425,manchesterunited
dermot mee,325550,manchesterunited
radek vitek,325556,manchesterunited
harry maguire,157073,manchesterunited
luke shaw,167127,manchesterunited
lisandro martinez,233937,manchesterunited
diogo dalot,238902,manchesterunited
matthijs de ligt,239349,manchesterunited
noussair mazraoui,239350,manchesterunited
leny yoro,340206,manchesterunited
ayden heaven,356044,manchesterunited
harry amass,356940,manchesterunited
patrick dorgu,366781,manchesterunited
daniel armer,381055,manchesterunited
jaydan kamason,386199,manchesterunited
diego leon,387634,manchesterunited
bruno fernandes,13282,sheffieldwednesday
youri tielemans,193297,manchesterunited
jack fletcher,205081,
mason mount,231167,manchesterunited
manuel ugarte,241468,manchesterunited
toby collyer,308778,manchesterunited
andrey santos,314858,manchesterunited
kobbie mainoo,328466,manchesterunited
daniel gore,347049,manchesterunited
