slice,n,hit_rate,avg_margin,near_miss_pct,avg_ml_prob
MLB|ALL,6240,0.32740384615384616,-0.44134615384615383,0.0,0.37366056089743593
MLB|HIT,2043,1.0,1.636808614782183,0.0,0.49535261869799313
MLB|MISS,4197,0.0,-1.4529425780319276,0.0,0.3144237550631403
MLB|HIT|strong_ml,729,1.0,2.175582990397805,0.0,0.84170877914952
NHL|ALL,342,0.3333333333333333,-0.5619883040935673,0.0,0.4633307017543859
NHL|HIT,114,1.0,2.1763157894736844,0.0,0.6003131578947369
NHL|MISS,228,0.0,-1.931140350877193,0.0,0.3948394736842105
NHL|HIT|strong_ml,55,1.0,2.192727272727273,0.0,0.8764763636363638
TENNIS|ALL,708,0.23587570621468926,-3.141949152542373,0.0,0.4000735875706215
TENNIS|HIT,167,1.0,4.494011976047904,0.0,0.5502934131736527
TENNIS|MISS,541,0.0,-5.499075785582255,0.0,0.3537025878003697
TENNIS|HIT|strong_ml,74,1.0,5.6891891891891895,0.0,0.7233567567567567
WNBA|ALL,696,0.4367816091954023,-0.658477011494253,0.004310344827586207,0.7434788793103447
WNBA|HIT,304,1.0,3.8046052631578946,0.009868421052631578,0.8009023026315789
WNBA|MISS,392,0.0,-4.119642857142857,0.0,0.6989464285714286
WNBA|HIT|strong_ml,225,1.0,4.149777777777778,0.0,0.9422497777777779
