team,pass_yards_allowed_pg,rush_yards_allowed_pg,pass_tds_allowed,points_allowed_pg,pass_def_rank,rush_def_rank
ARI,231.176,126.412,20.0,22.294117647058822,12,20
ATL,235.529,120.647,34.0,24.88235294117647,18,15
BAL,262.824,80.059,27.0,21.235294117647058,31,1
BUF,241.176,115.471,28.0,21.647058823529413,22,12
CAR,237.824,179.824,35.0,31.41176470588235,20,32
CHI,232.882,136.294,17.0,21.764705882352942,14,28
CIN,236.235,124.824,30.0,25.529411764705884,19,19
CLE,228.118,129.706,26.0,25.58823529411765,11,21
DAL,237.941,137.118,28.0,27.529411764705884,21,29
DEN,241.882,96.412,22.0,18.294117647058822,24,3
DET,259.059,98.353,18.0,20.11764705882353,28,5
GB,232.882,99.353,23.0,19.88235294117647,14,7
HOU,220.765,114.0,31.0,21.88235294117647,7,11
IND,243.647,131.824,27.0,25.11764705882353,25,24
JAX,270.882,132.588,29.0,25.58823529411765,32,25
KC,233.529,101.824,24.0,19.176470588235293,16,8
LAC,221.294,117.471,24.0,17.705882352941178,8,14
LAR,241.235,130.0,29.0,22.705882352941178,23,22
LV,234.647,116.882,29.0,25.529411764705884,17,13
MIA,225.235,103.706,22.0,21.41176470588235,9,9
MIN,262.294,93.412,24.0,19.529411764705884,29,2
NE,220.529,131.353,27.0,24.529411764705884,6,23
NO,252.647,141.412,19.0,23.41176470588235,27,31
NYG,227.588,136.235,23.0,24.41176470588235,10,27
NYJ,211.059,121.118,18.0,23.764705882352942,5,17
PHI,192.118,104.176,22.0,17.823529411764707,2,10
PIT,244.176,98.706,23.0,20.41176470588235,26,6
SEA,231.176,120.765,26.0,21.647058823529413,12,16
SF,204.471,124.588,25.0,25.647058823529413,3,18
TB,262.588,97.824,27.0,22.647058823529413,30,4
TEN,189.176,133.941,27.0,27.058823529411764,1,26
WSH,205.412,137.471,25.0,23.0,4,30
