team,OVERALL_DEF_RANK,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_wins,opp_gp,def_rank,def_tier,updated_at,sa_ratio,opp_gaa_rank,opp_saa_rank,opp_pk_pct_rank,opp_gf_rank,pace_fast_rank,pace_slow_rank,OVERALL_DEF_SCORE
ANA,30.0,3.512,28.366,0.764,3.232,30.805,0.186,43.0,82.0,29,Weak,2026-05-26T01:17:42.384743+00:00,8.08,29,20,26,13,3,30,26.133333333333333
BOS,18.0,3.012,29.695,0.77,3.268,27.024,0.234,45.0,82.0,14,Avg,2026-05-26T01:17:42.384743+00:00,9.86,14,28,24,10,21,12,18.400000000000002
BUF,7.0,2.927,29.061,0.819,3.451,28.122,0.195,50.0,82.0,10,Above Avg,2026-05-26T01:17:42.384743+00:00,9.93,10,23,4,5,13,20,11.333333333333332
CAR,4.0,2.878,23.927,0.805,3.549,32.159,0.249,53.0,82.0,5,Elite,2026-05-26T01:17:42.384743+00:00,8.31,5,1,11,2,2,31,7.933333333333334
CBJ,21.0,3.061,28.841,0.76,3.0,29.39,0.189,40.0,82.0,17,Avg,2026-05-26T01:17:42.384743+00:00,9.42,16,22,28,18,6,27,19.333333333333332
CGY,23.0,3.122,29.915,0.804,2.537,28.11,0.162,34.0,82.0,21,Below Avg,2026-05-26T01:17:42.384743+00:00,9.58,21,30,12,32,14,18,19.866666666666667
CHI,27.0,3.293,29.963,0.836,2.561,24.585,0.169,29.0,82.0,27,Weak,2026-05-26T01:17:42.384743+00:00,9.1,27,31,2,30,32,1,21.333333333333332
COL,1.0,2.402,26.134,0.846,3.634,33.732,0.171,55.0,82.0,1,Elite,2026-05-26T01:17:42.384743+00:00,10.88,1,5,1,1,1,32,2.0666666666666664
DAL,3.0,2.707,26.159,0.803,3.329,25.293,0.286,50.0,82.0,2,Elite,2026-05-26T01:17:42.384743+00:00,9.66,2,7,13,9,30,3,6.066666666666666
DET,19.0,3.098,27.744,0.771,2.915,28.244,0.226,41.0,82.0,19,Avg,2026-05-26T01:17:42.384743+00:00,8.96,19,16,23,22,11,22,18.866666666666667
EDM,25.0,3.232,26.707,0.778,3.439,29.744,0.306,41.0,82.0,25,Below Avg,2026-05-26T01:17:42.384743+00:00,8.26,25,9,20,6,4,29,20.0
FLA,22.0,3.341,26.793,0.81,3.0,27.988,0.195,40.0,82.0,28,Weak,2026-05-26T01:17:42.384743+00:00,8.02,28,10,9,18,18,15,19.8
LAK,12.0,2.902,27.171,0.746,2.683,28.012,0.17,35.0,82.0,8,Above Avg,2026-05-26T01:17:42.384743+00:00,9.36,7,11,30,29,17,16,13.466666666666667
MIN,9.0,2.866,29.402,0.798,3.268,29.183,0.252,46.0,82.0,4,Elite,2026-05-26T01:17:42.384743+00:00,10.26,4,24,16,10,7,26,11.466666666666667
