date,tickets_total,tickets_kept,tickets_pending,tickets_decided,source
2026-04-19,42,26,16,26,H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-19\combined_tickets_graded_2026-04-19.xlsx
2026-04-20,12,2,10,2,H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-20\combined_tickets_graded_2026-04-20.xlsx
2026-04-21,24,24,0,24,H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-21\combined_tickets_graded_2026-04-21.xlsx
2026-04-22,46,36,10,36,H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-22\combined_tickets_graded_2026-04-22.xlsx
2026-04-23,42,24,18,24,H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-23\combined_tickets_graded_2026-04-23.xlsx
2026-04-25,13,7,6,7,H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-25\combined_slate_tickets_2026-04-25.json
2026-04-26,34,32,2,32,H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-26\combined_tickets_graded_2026-04-26.xlsx
2026-04-27,44,42,2,42,H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-27\combined_tickets_graded_2026-04-27.xlsx
2026-04-28,74,74,0,74,H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-04-28\combined_tickets_graded_2026-04-28.xlsx
