slate_date,group_name,group_type,ticket_no,ticket_uid,n_legs,is_flex_structure,sports_in_ticket,dominant_sport,legs_nba,legs_wnba,legs_cbb,legs_nhl,legs_soccer,legs_mlb,pick_standard_count,pick_goblin_count,pick_demon_count,n_hit,n_miss,n_void,n_ungraded,n_push,n_no_line,n_no_actual,n_no_data,n_dnp,has_any_unresolved,pending,result,canonical_leg_ids,leg_statuses,leg_reasons,label_cash,label_paid,actual_payout_mult,net_10,predicted_payout_mult,predicted_p_win,predicted_ev,ticket_objective_score,ev_power,est_ev,flat_ev,payout_multiplier,power_payout,flex_payout,est_win_prob,avg_hit_rate_leg,avg_ml_prob_leg,min_ml_prob_leg,max_ml_prob_leg,std_ml_prob_leg,avg_leg_prob_used,min_leg_prob_used,avg_edge_leg,min_edge_leg,max_edge_leg,avg_abs_edge_leg,avg_rank_score_leg,min_rank_score_leg,avg_context_score_leg,avg_intel_hit_rate_leg
2026-05-05,NBA Standard 2-Leg #4,OTHER,4,2026-05-05|NBA Standard 2-Leg #4|4|4,2,0,1,NBA,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,WIN,"leg_d46465d09b698ae3fca4,leg_d031a0cf7201d8c60ff6","HIT,HIT",,1.0,1,3.0,20.0,3.0,0.792,1.376,0.5184,1.5552,-0.1408,-0.1408,1.0,3.0,3.0,0.5184,0.9,0.46365,0.4505,0.4768,0.0131499999999999,0.895,0.8,5.279999999999999,5.1,5.46,5.279999999999999,0.8861914999999999,-0.0283649999999999,,
2026-05-05,NBA Standard 2-Leg #4,OTHER,5,2026-05-05|NBA Standard 2-Leg #4|5|5,2,0,1,NBA,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,WIN,"leg_d031a0cf7201d8c60ff6,leg_b2c685f998a1561edb1f","HIT,HIT",,1.0,1,3.0,20.0,3.0,0.64,0.92,0.4142,1.2426,-0.104,-0.104,1.0,3.0,3.0,0.4142015999999999,0.8,0.4733,0.4698,0.4768,0.0035,0.8,0.8,4.97,4.84,5.1,4.97,0.2861784999999999,-0.0283649999999999,,
2026-05-05,NBA Standard 2-Leg #5,OTHER,1,2026-05-05|NBA Standard 2-Leg #5|1|1,2,0,1,NBA,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,WIN,"leg_d49c40c5fde37284b6a7,leg_3659ff0669a566dcc99e","HIT,HIT",,1.0,1,3.0,20.0,3.0,0.792,1.376,0.5184,1.5552,-0.0996,-0.0996,1.0,3.0,3.0,0.5184,0.9,0.47445,0.4728,0.4761,0.00165,0.895,0.8,4.19,3.95,4.43,4.19,1.21041,0.6357339999999999,,
2026-05-05,NBA Standard 2-Leg #5,OTHER,2,2026-05-05|NBA Standard 2-Leg #5|2|2,2,0,1,NBA,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,WIN,"leg_d46465d09b698ae3fca4,leg_d031a0cf7201d8c60ff6","HIT,HIT",,1.0,1,3.0,20.0,3.0,0.792,1.376,0.5184,1.5552,-0.1408,-0.1408,1.0,3.0,3.0,0.5184,0.9,0.46365,0.4505,0.4768,0.0131499999999999,0.895,0.8,5.279999999999999,5.1,5.46,5.279999999999999,0.8767634999999999,-0.0283649999999999,,
2026-05-05,NBA Standard 2-Leg #5,OTHER,3,2026-05-05|NBA Standard 2-Leg #5|3|3,2,0,1,NBA,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,WIN,"leg_d031a0cf7201d8c60ff6,leg_b2c685f998a1561edb1f","HIT,HIT",,1.0,1,3.0,20.0,3.0,0.64,0.92,0.4142,1.2426,-0.104,-0.104,1.0,3.0,3.0,0.4142015999999999,0.8,0.4733,0.4698,0.4768,0.0035,0.8,0.8,4.97,4.84,5.1,4.97,0.2906614999999999,-0.0283649999999999,,
2026-05-05,NBA Standard 2-Leg #5,OTHER,4,2026-05-05|NBA Standard 2-Leg #5|4|4,2,0,1,NBA,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_b2c685f998a1561edb1f,leg_8cdb551200b5310396ad","HIT,MISS",,0.0,0,0.0,-10.0,3.0,0.792,1.376,0.5184,1.5552,-0.1172,-0.1172,1.0,3.0,3.0,0.5184,0.9,0.4698,0.4698,0.4698,0.0,0.895,0.8,4.82,4.8,4.84,4.82,1.129716,0.6096879999999999,,
2026-05-05,NBA Standard 2-Leg #5,OTHER,5,2026-05-05|NBA Standard 2-Leg #5|5|5,2,0,1,NBA,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_8cdb551200b5310396ad,leg_928bd69b56d31f0507a6","MISS,HIT",,0.0,0,0.0,-10.0,3.0,0.9801,1.9403,0.4873,1.4619,-0.1053,-0.1053,1.0,3.0,3.0,0.4872959999999999,1.0,0.47295,0.4698,0.4761,0.00315,0.99,0.99,4.625,4.45,4.8,4.625,1.717415,1.649744,,
2026-05-05,NBA Standard 2-Leg #6,OTHER,1,2026-05-05|NBA Standard 2-Leg #6|1|1,2,0,1,NBA,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,VOID_LOSS,"leg_b795f403234adf03e6ca,leg_1ef075d1a648679f57e8","HIT,VOID",VOID_TIER_D;VOID_LOW_MINUTES_NON_A;VOID_OVER_ELITE_DEF_NON_Q5; PUSH,0.0,0,0.0,-10.0,3.0,0.9801,1.9403,0.5184,1.5552,-0.0822,-0.0822,1.0,3.0,3.0,0.5184,1.0,0.479,0.479,0.479,0.0,0.99,0.99,2.935,2.76,3.11,2.935,1.231144,1.029648,,
2026-05-05,NBA Standard 2-Leg #6,OTHER,2,2026-05-05|NBA Standard 2-Leg #6|2|2,2,0,1,NBA,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,WIN,"leg_bc91ca3fbb5197d8a89f,leg_b2c685f998a1561edb1f","HIT,HIT",,1.0,1,3.0,20.0,3.0,0.792,1.376,0.5184,1.5552,-0.111,-0.111,1.0,3.0,3.0,0.5184,0.9,0.47145,0.4698,0.4731,0.00165,0.895,0.8,4.895,4.84,4.95,4.895,1.20244,0.591756,,
2026-05-05,NBA Standard 2-Leg #6,OTHER,3,2026-05-05|NBA Standard 2-Leg #6|3|3,2,0,1,NBA,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_b2c685f998a1561edb1f,leg_8cdb551200b5310396ad","HIT,MISS",,0.0,0,0.0,-10.0,3.0,0.792,1.376,0.5184,1.5552,-0.1172,-0.1172,1.0,3.0,3.0,0.5184,0.9,0.4698,0.4698,0.4698,0.0,0.895,0.8,4.82,4.8,4.84,4.82,1.12075,0.6007219999999999,,
2026-05-05,NBA Standard 2-Leg #6,OTHER,4,2026-05-05|NBA Standard 2-Leg #6|4|4,2,0,1,NBA,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_8cdb551200b5310396ad,leg_928bd69b56d31f0507a6","MISS,HIT",,0.0,0,0.0,-10.0,3.0,0.9801,1.9403,0.4873,1.4619,-0.1053,-0.1053,1.0,3.0,3.0,0.4872959999999999,1.0,0.47295,0.4698,0.4761,0.00315,0.99,0.99,4.625,4.45,4.8,4.625,1.7220879999999998,1.649744,,
2026-05-05,NBA Standard 2-Leg #6,OTHER,5,2026-05-05|NBA Standard 2-Leg #6|5|5,2,0,1,NBA,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,WIN,"leg_928bd69b56d31f0507a6,leg_d49c40c5fde37284b6a7","HIT,HIT",,1.0,1,3.0,20.0,3.0,0.792,1.376,0.5184,1.5552,-0.0996,-0.0996,1.0,3.0,3.0,0.5184,0.9,0.47445,0.4728,0.4761,0.00165,0.895,0.8,4.44,4.43,4.45,4.44,1.21956,0.6446879999999999,,
2026-05-05,NBA Standard 2-Leg #6,OTHER,6,2026-05-05|NBA Standard 2-Leg #6|6|6,2,0,1,NBA,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,WIN,"leg_d49c40c5fde37284b6a7,leg_84f68fd368c34a8feff7","HIT,HIT",,1.0,1,3.0,20.0,3.0,0.792,1.376,0.4142,1.2426,-0.0934,-0.0934,1.0,3.0,3.0,0.4142015999999999,0.9,0.4760999999999999,0.4728,0.4794,0.0032999999999999,0.8,0.8,4.19,3.95,4.43,4.19,0.881343,0.6446879999999999,,
2026-05-05,NBA Standard 2-Leg #7,OTHER,1,2026-05-05|NBA Standard 2-Leg #7|1|1,2,0,1,NBA,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_8cdb551200b5310396ad,leg_928bd69b56d31f0507a6","MISS,HIT",,0.0,0,0.0,-10.0,3.0,0.9801,1.9403,0.4873,1.4619,-0.1053,-0.1053,1.0,3.0,3.0,0.4872959999999999,1.0,0.47295,0.4698,0.4761,0.00315,0.99,0.99,4.625,4.45,4.8,4.625,1.703776,1.631812,,
