ticket_id,n_legs,composition,est_ticket_hit_prob,avg_leg_hit_prob,avg_leg_edge,avg_rank_score
T00000001,4,1S+3G+0D,0.96059601,0.99,2.8874999999999997,6.3275
T00000002,4,1S+3G+0D,0.96059601,0.99,3.6374999999999997,6.3275
T00000003,4,1S+3G+0D,0.96059601,0.99,3.3874999999999997,6.3275
T00002930,4,1S+3G+0D,0.96059601,0.99,3.1374999999999997,6.3275
T00002931,4,1S+3G+0D,0.96059601,0.99,2.8874999999999997,6.3275
T00005858,4,1S+3G+0D,0.96059601,0.99,3.6374999999999997,6.3275
T00000004,4,1S+3G+0D,0.96059601,0.99,3.55,6.3225
T00000005,4,1S+3G+0D,0.96059601,0.99,3.8,6.3225
T00000006,4,1S+3G+0D,0.96059601,0.99,2.675,6.3225
T00000007,4,1S+3G+0D,0.96059601,0.99,2.9499999999999997,6.3225
T00002932,4,1S+3G+0D,0.96059601,0.99,3.05,6.3225
T00002933,4,1S+3G+0D,0.96059601,0.99,3.3,6.3225
T00002934,4,1S+3G+0D,0.96059601,0.99,2.175,6.3225
T00002935,4,1S+3G+0D,0.96059601,0.99,2.4499999999999997,6.3225
T00005859,4,1S+3G+0D,0.96059601,0.99,3.8,6.3225
T00005860,4,1S+3G+0D,0.96059601,0.99,4.05,6.3225
T00005861,4,1S+3G+0D,0.96059601,0.99,2.925,6.3225
T00005862,4,1S+3G+0D,0.96059601,0.99,3.1999999999999997,6.3225
T00008785,4,1S+3G+0D,0.96059601,0.99,3.55,6.3225
T00008786,4,1S+3G+0D,0.96059601,0.99,3.8,6.3225
T00008787,4,1S+3G+0D,0.96059601,0.99,2.675,6.3225
T00008788,4,1S+3G+0D,0.96059601,0.99,2.9499999999999997,6.3225
T00000008,4,1S+3G+0D,0.96059601,0.99,2.5875,6.3175
T00000009,4,1S+3G+0D,0.96059601,0.99,3.25,6.3175
T00000010,4,1S+3G+0D,0.96059601,0.99,2.6125,6.3175
T00002936,4,1S+3G+0D,0.96059601,0.99,2.0875,6.3175
T00002937,4,1S+3G+0D,0.96059601,0.99,2.75,6.3175
T00002938,4,1S+3G+0D,0.96059601,0.99,2.1125,6.3175
T00005863,4,1S+3G+0D,0.96059601,0.99,2.8375,6.3175
T00005864,4,1S+3G+0D,0.96059601,0.99,3.5,6.3175
T00005865,4,1S+3G+0D,0.96059601,0.99,2.8625,6.3175
T00008789,4,1S+3G+0D,0.96059601,0.99,2.5875,6.3175
T00008790,4,1S+3G+0D,0.96059601,0.99,3.25,6.3175
T00008791,4,1S+3G+0D,0.96059601,0.99,2.6125,6.3175
T00011711,4,1S+3G+0D,0.96059601,0.99,3.9625,6.3175
T00011712,4,1S+3G+0D,0.96059601,0.99,2.8375,6.3175
T00011713,4,1S+3G+0D,0.96059601,0.99,3.1125,6.3175
T00014636,4,1S+3G+0D,0.96059601,0.99,3.0875,6.3175
T00014637,4,1S+3G+0D,0.96059601,0.99,3.3625,6.3175
T00017560,4,1S+3G+0D,0.96059601,0.99,2.2375,6.3175
T00000011,4,1S+3G+0D,0.96059601,0.99,4.0,6.3125
T00002939,4,1S+3G+0D,0.96059601,0.99,3.5,6.3125
T00005866,4,1S+3G+0D,0.96059601,0.99,4.25,6.3125
T00008792,4,1S+3G+0D,0.96059601,0.99,4.0,6.3125
T00011714,4,1S+3G+0D,0.96059601,0.99,2.75,6.3125
T00011715,4,1S+3G+0D,0.96059601,0.99,3.4125,6.3125
T00011716,4,1S+3G+0D,0.96059601,0.99,2.775,6.3125
T00014638,4,1S+3G+0D,0.96059601,0.99,3.0,6.3125
T00014639,4,1S+3G+0D,0.96059601,0.99,3.6625,6.3125
T00014640,4,1S+3G+0D,0.96059601,0.99,3.025,6.3125
T00017561,4,1S+3G+0D,0.96059601,0.99,1.875,6.3125
T00017562,4,1S+3G+0D,0.96059601,0.99,2.5375,6.3125
T00017563,4,1S+3G+0D,0.96059601,0.99,1.9,6.3125
T00011717,4,1S+3G+0D,0.96059601,0.99,4.1625,6.3075
T00014641,4,1S+3G+0D,0.96059601,0.99,4.4125,6.3075
T00017564,4,1S+3G+0D,0.96059601,0.99,3.2875,6.3075
T00000012,4,1S+3G+0D,0.96059601,0.99,2.5999999999999996,6.3025
T00002940,4,1S+3G+0D,0.96059601,0.99,2.0999999999999996,6.3025
T00005867,4,1S+3G+0D,0.96059601,0.99,2.8499999999999996,6.3025
T00008793,4,1S+3G+0D,0.96059601,0.99,2.5999999999999996,6.3025
T00011718,4,1S+3G+0D,0.96059601,0.99,2.7625,6.2975
T00014642,4,1S+3G+0D,0.96059601,0.99,3.0125,6.2975
T00017565,4,1S+3G+0D,0.96059601,0.99,1.8875,6.2975
T00000013,4,1S+3G+0D,0.96059601,0.99,2.5875,6.2825
T00002941,4,1S+3G+0D,0.96059601,0.99,2.0875,6.2825
T00005868,4,1S+3G+0D,0.96059601,0.99,2.8375,6.2825
T00008794,4,1S+3G+0D,0.96059601,0.99,2.5875,6.2825
T00011719,4,1S+3G+0D,0.96059601,0.99,2.75,6.2775
T00014643,4,1S+3G+0D,0.96059601,0.99,3.0,6.2775
T00017566,4,1S+3G+0D,0.96059601,0.99,1.875,6.2775
T00000014,4,1S+3G+0D,0.96059601,0.99,3.4875,6.2725
