slate_date,group_name,group_type,ticket_no,ticket_uid,n_legs,is_flex_structure,sports_in_ticket,dominant_sport,legs_nba,legs_wnba,legs_cbb,legs_nhl,legs_soccer,legs_mlb,pick_standard_count,pick_goblin_count,pick_demon_count,n_hit,n_miss,n_void,n_ungraded,n_push,n_no_line,n_no_actual,n_no_data,n_dnp,has_any_unresolved,pending,result,canonical_leg_ids,leg_statuses,leg_reasons,label_cash,label_paid,actual_payout_mult,net_10,predicted_payout_mult,predicted_p_win,predicted_ev,ticket_objective_score,ev_power,est_ev,flat_ev,payout_multiplier,power_payout,flex_payout,est_win_prob,avg_hit_rate_leg,avg_ml_prob_leg,min_ml_prob_leg,max_ml_prob_leg,std_ml_prob_leg,avg_leg_prob_used,min_leg_prob_used,avg_edge_leg,min_edge_leg,max_edge_leg,avg_abs_edge_leg,avg_rank_score_leg,min_rank_score_leg,avg_context_score_leg,avg_intel_hit_rate_leg
2026-06-05,WNBA Standard 4-Leg #1,OTHER,2,2026-06-05|WNBA Standard 4-Leg #1|2|2,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,LOSS,"leg_0d57669a3f1feb0dcb55,leg_46e93420922837fb5c5c,leg_6da6cda40ba182e54ef8,leg_6a9faf07a0a36eda5b99","MISS,HIT,MISS,MISS",,0.0,0,0.0,-10.0,10.0,0.0605,-0.3954,0.0273,0.2728,,,1.0,10.0,6.0,0.0272767319999999,0.8,0.4496,0.4003,0.5291,0.0480139042361689,0.4425,0.35,-5.420000000000001,-15.3,8.619999999999997,9.73,1.00291905,0.02,,
2026-06-05,WNBA Standard 4-Leg #1,OTHER,3,2026-06-05|WNBA Standard 4-Leg #1|3|3,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,LOSS,"leg_0d57669a3f1feb0dcb55,leg_6da6cda40ba182e54ef8,leg_93710b3efb3b7465c3d0,leg_6a9faf07a0a36eda5b99","MISS,MISS,HIT,MISS",,0.0,0,0.0,-10.0,10.0,0.0605,-0.3954,0.0273,0.2728,,,1.0,10.0,6.0,0.0272767319999999,0.8,0.4456,0.4003,0.5131,0.0414407408234939,0.4425,0.35,-5.645,-15.28,7.700000000000003,9.495,0.88960405,-0.07,,
2026-06-05,WNBA Standard 4-Leg #2,OTHER,1,2026-06-05|WNBA Standard 4-Leg #2|1|1,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,2,1,1,0,0,0,0,0,0,0,0,LOSS,"leg_e4d69e272c2d79c3f42f,leg_46e93420922837fb5c5c,leg_59cb251e70bfc51d616a,leg_cb9ece421728a4903835","MISS,HIT,VOID,HIT",INJURY_REPORT_DNP,0.0,0,0.0,-10.0,10.0,0.0639,-0.3607,0.0247,0.2467,,,1.0,10.0,6.0,0.0246651299999999,0.8,0.455525,0.4119,0.5291,0.0445217011692051,0.4425,0.35,-4.190000000000001,-12.38,8.619999999999997,8.5,0.957204,0.67,,
2026-06-05,WNBA Standard 4-Leg #2,OTHER,2,2026-06-05|WNBA Standard 4-Leg #2|2|2,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,2,1,1,0,0,0,0,0,0,0,0,LOSS,"leg_e4d69e272c2d79c3f42f,leg_93710b3efb3b7465c3d0,leg_59cb251e70bfc51d616a,leg_cb9ece421728a4903835","MISS,HIT,VOID,HIT",INJURY_REPORT_DNP,0.0,0,0.0,-10.0,10.0,0.0639,-0.3607,0.0247,0.2467,,,1.0,10.0,6.0,0.0246651299999999,0.8,0.451525,0.4119,0.5131,0.0379681692342414,0.4425,0.35,-4.42,-12.38,7.700000000000003,8.270000000000001,0.922895,0.69,,
2026-06-05,WNBA Standard 4-Leg #2,OTHER,3,2026-06-05|WNBA Standard 4-Leg #2|3|3,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_e4d69e272c2d79c3f42f,leg_f020d0cd356a7793bc4a,leg_cb9ece421728a4903835,leg_78ec0466fa13c595ac07","MISS,HIT,HIT,HIT",,0.0,0,0.0,-10.0,10.0,0.1408,0.4077,0.0635,0.635,,,1.0,10.0,6.0,0.063504,0.9,0.44805,0.4119,0.5131,0.038615896985568,0.5349999999999999,0.35,-1.4000000000000008,-12.37,7.619999999999997,8.034999999999998,1.61112,0.79,,
2026-06-05,WNBA Standard 4-Leg #3,OTHER,1,2026-06-05|WNBA Standard 4-Leg #3|1|1,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_d829755daffb57779915,leg_f6e24a0329cd1d1bc800,leg_78ec0466fa13c595ac07,leg_a68e716430db5b40297f","MISS,HIT,HIT,MISS",,0.0,0,0.0,-10.0,10.0,0.1467,0.4667,0.0507,0.5074,,,1.0,10.0,6.0,0.0507396959999999,0.9,0.458525,0.4119,0.5369,0.0472153775268185,0.5349999999999999,0.35,-1.1200000000000006,-10.9,6.27,7.08,2.2985125,1.16,,
2026-06-05,WNBA Standard 4-Leg #3,OTHER,2,2026-06-05|WNBA Standard 4-Leg #3|2|2,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_d829755daffb57779915,leg_f6e24a0329cd1d1bc800,leg_a68e716430db5b40297f,leg_293c586a5410c2490674","MISS,HIT,MISS,HIT",,0.0,0,0.0,-10.0,10.0,0.0676,-0.3241,0.0232,0.2319,,,1.0,10.0,6.0,0.0231852221999999,0.8,0.46365,0.4119,0.5369,0.045542644850733,0.4425,0.35,-3.7775,-10.88,6.27,6.9125,1.73661875,1.25,,
2026-06-05,WNBA Standard 4-Leg #4,OTHER,1,2026-06-05|WNBA Standard 4-Leg #4|1|1,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_c27f077eb15b6936a91b,leg_5ffa0669d16042ac7fea,leg_293c586a5410c2490674,leg_99381309467011f81093","MISS,HIT,HIT,HIT",,0.0,0,0.0,-10.0,10.0,0.1536,0.5356,0.0507,0.5074,,,1.0,10.0,6.0,0.050739696,0.9,0.46775,0.425,0.507,0.0305287978800345,0.5349999999999999,0.35,-1.0674999999999994,-8.42,5.300000000000001,5.6425,1.90521945,0.4103358,,
2026-06-05,WNBA Standard 4-Leg #4,OTHER,2,2026-06-05|WNBA Standard 4-Leg #4|2|2,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_c27f077eb15b6936a91b,leg_5ffa0669d16042ac7fea,leg_99381309467011f81093,leg_2dcdb6c5dcf4a9a61561","MISS,HIT,HIT,HIT",,0.0,0,0.0,-10.0,10.0,0.202,1.0196,0.087,0.8698,,,1.0,10.0,6.0,0.0869823359999999,0.7999999999999999,0.47525,0.425,0.507,0.03045500779839,0.5974999999999999,0.35,1.1100000000000012,-8.41,5.300000000000001,5.315000000000001,1.8517976625,0.4249906499999999,,
2026-06-05,WNBA Standard 4-Leg #5,OTHER,1,2026-06-05|WNBA Standard 4-Leg #5|1|1,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_2dcdb6c5dcf4a9a61561,leg_f5e0e628609540d6a86b,leg_8c4dfbc3c0f26c61bcad,leg_44c8527f4fe018830ae4","HIT,HIT,MISS,HIT",,0.0,0,0.0,-10.0,10.0,0.3072,2.072,0.1682,1.682,2.3792,2.3792,1.0,10.0,6.0,0.1681989857279999,0.75,0.4788,0.463,0.4941,0.012104751133336,0.69,0.6,3.142500000000001,2.5,3.700000000000003,3.142500000000001,1.823577,0.94,,
2026-06-05,WNBA Standard 4-Leg #5,OTHER,2,2026-06-05|WNBA Standard 4-Leg #5|2|2,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_f5e0e628609540d6a86b,leg_8c4dfbc3c0f26c61bcad,leg_44c8527f4fe018830ae4,leg_6333fdc61148b8b9d536","HIT,MISS,HIT,HIT",,0.0,0,0.0,-10.0,10.0,0.5069,4.0688,0.2018,2.0184,3.5056,3.5056,1.0,10.0,6.0,0.2018387828735999,0.8500000000000001,0.47335,0.463,0.4864,0.0083828694371318,0.72,0.72,2.7925000000000004,2.3000000000000007,3.5700000000000003,2.7925000000000004,1.3232965,0.65,,
2026-06-05,WNBA Standard 4-Leg #6,OTHER,1,2026-06-05|WNBA Standard 4-Leg #6|1|1,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_92507f6800e74deae7f4,leg_6333fdc61148b8b9d536,leg_6523815d59b24c15d849,leg_60f9bdf9e7d3458f70b0","HIT,HIT,HIT,MISS",,0.0,0,0.0,-10.0,10.0,0.6273,5.2726,0.1682,1.682,2.3792,2.3792,1.0,10.0,6.0,0.1681989857279999,0.8999999999999999,0.4719,0.4516,0.4864,0.0128060532561753,0.69,0.6,2.0325,1.3499999999999996,2.78,2.0325,1.3649233,0.7496932,,
2026-06-05,WNBA Standard 4-Leg #6,OTHER,2,2026-06-05|WNBA Standard 4-Leg #6|2|2,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_92507f6800e74deae7f4,leg_6333fdc61148b8b9d536,leg_6523815d59b24c15d849,leg_af61bf8fcf46c3396eb0","HIT,HIT,HIT,MISS",,0.0,0,0.0,-10.0,10.0,0.6273,5.2726,0.1682,1.682,2.3792,2.3792,1.0,10.0,6.0,0.1681989857279999,0.8999999999999999,0.4614499999999999,0.4359,0.4864,0.0192453241074293,0.69,0.6,2.0825,1.5500000000000007,2.78,2.0825,1.048011825,0.596068,,
2026-06-05,WNBA Standard 4-Leg #6,OTHER,3,2026-06-05|WNBA Standard 4-Leg #6|3|3,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_92507f6800e74deae7f4,leg_6523815d59b24c15d849,leg_af61bf8fcf46c3396eb0,leg_5e5fd40103c11c0281ae","HIT,HIT,MISS,HIT",,0.0,0,0.0,-10.0,10.0,0.5069,4.0688,0.1682,1.682,2.3792,2.3792,1.0,10.0,6.0,0.1681989857279999,0.8500000000000001,0.451625,0.4359,0.4719,0.0130271591300636,0.69,0.6,1.82,1.25,2.78,1.82,0.6353207999999999,0.423016,,
2026-06-05,WNBA Standard 4-Leg #7,OTHER,1,2026-06-05|WNBA Standard 4-Leg #7|1|1,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_c4fe71d0a73bca9cb03e,leg_5e5fd40103c11c0281ae,leg_87a8e9da32de197242cb,leg_5c919af5a1eeed564432","HIT,HIT,MISS,MISS",,0.0,0,0.0,-10.0,10.0,0.4096,3.096,0.2018,2.0184,3.5056,3.5056,1.0,10.0,6.0,0.2018387828735999,0.8,0.463425,0.4471,0.4938,0.018540277101489,0.72,0.72,1.2875000000000003,1.0500000000000007,1.6500000000000004,1.2875000000000003,0.6589025000000001,0.076912,,
2026-06-05,WNBA Standard 4-Leg #7,OTHER,2,2026-06-05|WNBA Standard 4-Leg #7|2|2,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,LOSS,"leg_c4fe71d0a73bca9cb03e,leg_87a8e9da32de197242cb,leg_5c919af5a1eeed564432,leg_3b8842dd1ce6f9d7fc85","HIT,MISS,MISS,MISS",,0.0,0,0.0,-10.0,10.0,0.4096,3.096,0.2147,2.1472,3.5056,3.5056,1.0,10.0,6.0,0.2147221094399999,0.8,0.478425,0.4498,0.5164,0.0251809824073644,0.72,0.72,1.2225,0.9899999999999984,1.6500000000000004,1.2225,0.8974090000000001,-0.115368,,
2026-06-05,WNBA Standard 4-Leg #8,OTHER,1,2026-06-05|WNBA Standard 4-Leg #8|1|1,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,LOSS,"leg_3b8842dd1ce6f9d7fc85,leg_8fdc089803250976e908,leg_bdcff2d238e887059815,leg_f6ff2ccf14408163be06","MISS,HIT,MISS,MISS",,0.0,0,0.0,-10.0,10.0,0.5069,4.0688,0.2239,2.2395,2.3792,2.3792,1.0,10.0,6.0,0.2239487999999999,0.8500000000000001,0.5298,0.4747,0.5746,0.0380272928302817,0.69,0.6,0.8049999999999997,0.7000000000000002,0.9699999999999988,0.8049999999999997,1.33388125,0.15,,
2026-06-05,WNBA Standard 4-Leg #8,OTHER,2,2026-06-05|WNBA Standard 4-Leg #8|2|2,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,LOSS,"leg_3b8842dd1ce6f9d7fc85,leg_8fdc089803250976e908,leg_f6ff2ccf14408163be06,leg_92e04ed10061f9ffcc80","MISS,HIT,MISS,MISS",,0.0,0,0.0,-10.0,10.0,0.5069,4.0688,0.2239,2.2395,2.3792,2.3792,1.0,10.0,6.0,0.2239487999999999,0.8500000000000001,0.5125,0.4747,0.5535,0.0281756100200155,0.69,0.6,0.7549999999999997,0.5499999999999998,0.9699999999999988,0.7549999999999997,1.2371125,0.11,,
2026-06-05,WNBA Standard 5-Leg #1,OTHER,1,2026-06-05|WNBA Standard 5-Leg #1|1|1,5,0,1,WNBA,0,5,0,0,0,0,5,0,0,1,3,1,0,0,0,0,0,0,0,0,LOSS,"leg_0d57669a3f1feb0dcb55,leg_2ead73496f49f6b53350,leg_6da6cda40ba182e54ef8,leg_6dbc54673db8aa00e52e,leg_59cb251e70bfc51d616a","MISS,HIT,MISS,MISS,VOID",INJURY_REPORT_DNP,0.0,0,0.0,-10.0,20.0,0.0272,-0.4564,0.0095,0.1909,,,1.0,20.0,10.0,0.0095468561999999,0.8,0.4464,0.4003,0.5131,0.0371002425868079,0.424,0.35,-5.72,-15.3,8.700000000000003,9.2,0.9599732199999998,0.0,,
2026-06-05,WNBA Standard 5-Leg #1,OTHER,2,2026-06-05|WNBA Standard 5-Leg #1|2|2,5,0,1,WNBA,0,5,0,0,0,0,5,0,0,1,3,1,0,0,0,0,0,0,0,0,LOSS,"leg_0d57669a3f1feb0dcb55,leg_46e93420922837fb5c5c,leg_6da6cda40ba182e54ef8,leg_6a9faf07a0a36eda5b99,leg_59cb251e70bfc51d616a","MISS,HIT,MISS,MISS,VOID",INJURY_REPORT_DNP,0.0,0,0.0,-10.0,20.0,0.0272,-0.4564,0.0095,0.1909,,,1.0,20.0,10.0,0.0095468561999999,0.8,0.4496,0.4003,0.5291,0.0429449414948955,0.424,0.35,-5.636000000000001,-15.3,8.619999999999997,9.084,0.94033524,0.02,,
2026-06-05,WNBA Standard 5-Leg #1,OTHER,3,2026-06-05|WNBA Standard 5-Leg #1|3|3,5,0,1,WNBA,0,5,0,0,0,0,5,0,0,2,3,0,0,0,0,0,0,0,0,0,LOSS,"leg_0d57669a3f1feb0dcb55,leg_6da6cda40ba182e54ef8,leg_93710b3efb3b7465c3d0,leg_6a9faf07a0a36eda5b99,leg_cb9ece421728a4903835","MISS,MISS,HIT,MISS,HIT",,0.0,0,0.0,-10.0,20.0,0.0261,-0.4783,0.0095,0.1909,,,1.0,20.0,10.0,0.0095468561999999,0.8,0.44278,0.4003,0.5131,0.0374923672232095,0.424,0.35,-5.816,-15.28,7.700000000000003,8.896,0.86968324,-0.07,,
2026-06-05,WNBA Standard 5-Leg #2,OTHER,1,2026-06-05|WNBA Standard 5-Leg #2|1|1,5,0,1,WNBA,0,5,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_e4d69e272c2d79c3f42f,leg_46e93420922837fb5c5c,leg_cb9ece421728a4903835,leg_78ec0466fa13c595ac07,leg_a68e716430db5b40297f","MISS,HIT,HIT,HIT,MISS",,0.0,0,0.0,-10.0,20.0,0.0633,0.2658,0.0178,0.3552,,,1.0,20.0,10.0,0.0177588936,0.9,0.45156,0.4119,0.5291,0.0406033299127054,0.4979999999999999,0.35,-2.022000000000001,-12.38,8.619999999999997,7.729999999999999,1.8017632,0.81,,
