nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,game_date,player_1,player_2,team_1,team_2,id_status,is_combo_player
1641709,11533572,11533572,173789,152987,2026-04-22T19:00:00.000-04:00,,,Ausar Thompson,G-F,DET,ORL,12.5,Pts+Asts,pa,Standard,12.5,0,https://static.prizepicks.com/images/players/NBA/Ausar_Thompson_NBA_player_7Obr7GoiKRNtF8Nj1LYUn3gX.webp,2026-04-22,,,,,OK,0
1641710,11575629,11575629,173641,152987,2026-04-22T19:00:00.000-04:00,,,Anthony Black,G,ORL,DET,12.5,Pts+Asts,pa,Demon,11.5,1,https://static.prizepicks.com/images/players/NBA/Anthony_Black_NBA_player_suwF3Oh8vV0aS9mPHjiv2L8n.webp,2026-04-22,,,,,OK,0
1630532,11533707,11533707,55372,152987,2026-04-22T19:00:00.000-04:00,,,Franz Wagner,F,ORL,DET,7.5,Rebs+Asts,ra,Standard,7.5,0,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,2026-04-22,,,,,OK,0
1631094,11538283,11538283,188001,152987,2026-04-22T19:00:00.000-04:00,,,Paolo Banchero,F,ORL,DET,6.5,FG Made,fgm,Goblin,7.0,1,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,2026-04-22,,,,,OK,0
1630224,11578923,11578923,272587,153016,2026-04-22T21:30:00.000-04:00,,,Jalen Green,G,PHX,OKC,37.0,Fantasy Score,fantasy,Demon,31.0,2,https://static.prizepicks.com/images/players/NBA/Jalen_Green_NBA_player_dgDzs8capbSfm3XqiXDKFCSw.webp,2026-04-22,,,,,OK,0
1630224,11578909,11578909,272587,153016,2026-04-22T21:30:00.000-04:00,,,Jalen Green,G,PHX,OKC,31.0,Fantasy Score,fantasy,Standard,31.0,0,https://static.prizepicks.com/images/players/NBA/Jalen_Green_NBA_player_dgDzs8capbSfm3XqiXDKFCSw.webp,2026-04-22,,,,,OK,0
1630224,11578916,11578916,272587,153016,2026-04-22T21:30:00.000-04:00,,,Jalen Green,G,PHX,OKC,25.0,Fantasy Score,fantasy,Goblin,31.0,1,https://static.prizepicks.com/images/players/NBA/Jalen_Green_NBA_player_dgDzs8capbSfm3XqiXDKFCSw.webp,2026-04-22,,,,,OK,0
1631096,11530049,11530049,93905,153016,2026-04-22T21:30:00.000-04:00,,,Chet Holmgren,C-F,OKC,PHX,24.5,Pts+Rebs,pr,Goblin,25.5,1,https://static.prizepicks.com/images/players/NBA/Chet_Holmgren_NBA_player_vJ4nqK6iuXIrNmp4iJ5ZwfEC.webp,2026-04-22,,,,,OK,0
1628392,11534198,11534198,220343,153016,2026-04-22T21:30:00.000-04:00,,,Isaiah Hartenstein,C-F,OKC,PHX,8.5,Pts+Asts,pa,Goblin,10.5,1,https://static.prizepicks.com/images/manual/Isaiah_Hartenstein.png,2026-04-22,,,,,OK,0
1631114,11532522,11532522,79951,153016,2026-04-22T21:30:00.000-04:00,,,Jalen Williams,G-F,OKC,PHX,5.5,Two Pointers Made,twopointersmade,Standard,5.5,0,https://static.prizepicks.com/images/players/NBA/Jalen_Williams_NBA_player_Gy76x01bCh1JQzfiqKe7Luxi.webp,2026-04-22,,,,,OK,0
1629652,11532542,11532542,10798,153016,2026-04-22T21:30:00.000-04:00,,,Luguentz Dort,G,OKC,PHX,5.5,FG Attempted,fga,Standard,5.5,0,https://static.prizepicks.com/images/players/NBA/Luguentz_Dort_NBA_player_e1jWAiWanPNpRtbYeXm01a9Q.webp,2026-04-22,,,,,OK,0
1630224,11577609,11577609,272587,153016,2026-04-22T21:30:00.000-04:00,,,Jalen Green,G,PHX,OKC,5.0,Rebounds,reb,Standard,5.0,0,https://static.prizepicks.com/images/players/NBA/Jalen_Green_NBA_player_dgDzs8capbSfm3XqiXDKFCSw.webp,2026-04-22,,,,,OK,0
1630224,11530180,11530180,272587,153016,2026-04-22T21:30:00.000-04:00,,,Jalen Green,G,PHX,OKC,4.5,Rebounds,reb,Goblin,5.0,1,https://static.prizepicks.com/images/players/NBA/Jalen_Green_NBA_player_dgDzs8capbSfm3XqiXDKFCSw.webp,2026-04-22,,,,,OK,0
1629652,11536194,11536194,10798,153016,2026-04-22T21:30:00.000-04:00,,,Luguentz Dort,G,OKC,PHX,4.5,3-PT Attempted,3ptattempted,Demon,4.0,1,https://static.prizepicks.com/images/players/NBA/Luguentz_Dort_NBA_player_e1jWAiWanPNpRtbYeXm01a9Q.webp,2026-04-22,,,,,OK,0
1630217,11578798,11578798,271602,152987,2026-04-22T19:00:00.000-04:00,,,Desmond Bane,G,ORL,DET,39.0,Fantasy Score,fantasy,Demon,32.5,2,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,2026-04-22,,,,,OK,0
1630532,11578811,11578811,55372,152987,2026-04-22T19:00:00.000-04:00,,,Franz Wagner,F,ORL,DET,35.5,Fantasy Score,fantasy,Demon,29.5,1,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,2026-04-22,,,,,OK,0
202699|1630532,11534096,11534096,314407,152987,2026-04-22T19:00:00.000-04:00,,,Tobias Harris + Franz Wagner,F,DET/ORL,,33.0,Points (Combo),points(combo),Standard,33.0,0,https://static.prizepicks.com/images/players/CMBO_group_gWDvXNlziZpprsQuBANLQINj.webp,2026-04-22,Tobias Harris,Franz Wagner,DET,ORL,OK,1
1630217,11578791,11578791,271602,152987,2026-04-22T19:00:00.000-04:00,,,Desmond Bane,G,ORL,DET,32.5,Fantasy Score,fantasy,Standard,32.5,0,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,2026-04-22,,,,,OK,0
1630532,11578797,11578797,55372,152987,2026-04-22T19:00:00.000-04:00,,,Franz Wagner,F,ORL,DET,29.5,Fantasy Score,fantasy,Standard,29.5,0,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,2026-04-22,,,,,OK,0
1630217,11578808,11578808,271602,152987,2026-04-22T19:00:00.000-04:00,,,Desmond Bane,G,ORL,DET,27.0,Fantasy Score,fantasy,Goblin,32.5,1,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,2026-04-22,,,,,OK,0
1630217,11533644,11533644,271602,152987,2026-04-22T19:00:00.000-04:00,,,Desmond Bane,G,ORL,DET,26.5,Pts+Rebs+Asts,pra,Standard,26.5,0,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,2026-04-22,,,,,OK,0
1630532,11533699,11533699,55372,152987,2026-04-22T19:00:00.000-04:00,,,Franz Wagner,F,ORL,DET,25.5,Pts+Rebs+Asts,pra,Standard,25.5,0,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,2026-04-22,,,,,OK,0
1630532,11578801,11578801,55372,152987,2026-04-22T19:00:00.000-04:00,,,Franz Wagner,F,ORL,DET,24.5,Fantasy Score,fantasy,Goblin,29.5,2,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,2026-04-22,,,,,OK,0
1631105,11534121,11534121,87848,152987,2026-04-22T19:00:00.000-04:00,,,Jalen Duren,C,DET,ORL,20.5,Pts+Asts,pa,Standard,20.5,0,https://static.prizepicks.com/images/players/NBA/Jalen_Duren_NBA_player_BGtA2SxfIEpqaOA2zn9FJZhp.webp,2026-04-22,,,,,OK,0
1631094,11534126,11534126,188001,152987,2026-04-22T19:00:00.000-04:00,,,Paolo Banchero,F,ORL,DET,20.5,Points,pts,Standard,20.5,0,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,2026-04-22,,,,,OK,0
202699,11533816,11533816,216580,152987,2026-04-22T19:00:00.000-04:00,,,Tobias Harris,F,DET,ORL,18.5,Pts+Asts,pa,Standard,18.5,0,https://static.prizepicks.com/images/players/NBA/Tobias_Harris_NBA_player_tGwMomg94AAFiXYjH5vFThKq.webp,2026-04-22,,,,,OK,0
1631105,11538065,11538065,87848,152987,2026-04-22T19:00:00.000-04:00,,,Jalen Duren,C,DET,ORL,18.5,Pts+Asts,pa,Goblin,20.5,1,https://static.prizepicks.com/images/players/NBA/Jalen_Duren_NBA_player_BGtA2SxfIEpqaOA2zn9FJZhp.webp,2026-04-22,,,,,OK,0
1631105,11533733,11533733,87848,152987,2026-04-22T19:00:00.000-04:00,,,Jalen Duren,C,DET,ORL,13.5,Rebs+Asts,ra,Demon,13.0,1,https://static.prizepicks.com/images/players/NBA/Jalen_Duren_NBA_player_BGtA2SxfIEpqaOA2zn9FJZhp.webp,2026-04-22,,,,,OK,0
