nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,is_combo_player,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,ESPN_ATHLETE_ID,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg
1630170,10806658,10806658,56347,138259,2026-03-23T19:00:00.000-04:00,,,Devin Vassell,G-F,SAS,MIA,31.5,Fantasy Score,fantasy,Demon,25.5,1,https://static.prizepicks.com/images/players/NBA/Devin_Vassell_NBA_player_1FsPF0NOGQH4fepI0eeG7MYw.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.900000000000002,57.800000000000004,19,20,27,28,21,22,15,15,7,8,18.827956989247312,20,Avg,4395630,21.9,39.1,19.5,35.7,27.9,18,28.8,19.1,45.5,38.9,28.82,29.44,29.44,2,3,0,0.4,0.4,0.6,0.4,0.6,OK,33.2
1642264,10806667,10806667,217804,138259,2026-03-23T19:00:00.000-04:00,,,Stephon Castle,G,SAS,MIA,31.0,Fantasy Score,fantasy,Goblin,36.5,1,https://static.prizepicks.com/images/players/NBA/Stephon_Castle_NBA_player_3nImU3v39rqjCKdKG1wdfekq.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.900000000000002,57.800000000000004,19,20,27,28,21,22,15,15,7,8,18.827956989247312,20,Avg,4845367,31.7,49.9,49.4,75.7,42.8,39.1,26.1,48.7,47.8,31.8,49.9,44.3,44.3,5,0,0,1,1,0,0.9,0.1,OK,31.2
1629639,10806651,10806651,10776,138259,2026-03-23T19:00:00.000-04:00,,,Tyler Herro,G,MIA,SAS,30.0,Fantasy Score,fantasy,Goblin,35.5,1,https://static.prizepicks.com/images/players/NBA/Tyler_Herro_NBA_player_Bz7r2msPv6LxaUBsQ7Zgi8st.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7,12,13,25,8,25,11,11,2,24,9.903225806451612,9,Above Avg,4395725,46.7,42.6,43.1,32.2,45.7,68.8,41.3,34.6,31.4,48.8,42.06,43.52,43.52,5,0,0,1,1,0,1,0,OK,32.8
1641796,10806648,10806648,233790,138259,2026-03-23T19:00:00.000-04:00,,,Pelle Larsson,G,MIA,SAS,29.0,Fantasy Score,fantasy,Demon,23.5,1,https://static.prizepicks.com/images/players/NBA/Pelle_Larsson_NBA_player_Jx5ZqeLyqZECGQziJT6zXdNr.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7,12,13,25,8,25,11,11,2,24,9.903225806451612,9,Above Avg,4601025,34,23.4,19.4,34.1,52.2,26.9,28,22.3,28.2,12.9,32.62,28.14,28.14,3,2,0,0.6,0.6,0.4,0.3,0.7,OK,33
1630558,10806652,10806652,227883,138259,2026-03-23T19:00:00.000-04:00,,,Davion Mitchell,G,MIA,SAS,29.0,Fantasy Score,fantasy,Demon,23.5,1,https://static.prizepicks.com/images/players/NBA/Davion_Mitchell_NBA_player_ZoDFOmDX207i6ik62UoG3uK.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7,12,13,25,8,25,11,11,2,24,9.903225806451612,9,Above Avg,4278053,40.7,39.6,14.6,27.4,35.5,33.9,19.4,31.4,16.4,18.6,31.56,27.75,27.75,3,2,0,0.6,0.6,0.4,0.5,0.5,OK,29.6
1628368,10806655,10806655,226913,138259,2026-03-23T19:00:00.000-04:00,,,De'Aaron Fox,G,SAS,MIA,29.0,Fantasy Score,fantasy,Goblin,34.5,1,https://static.prizepicks.com/images/players/NBA/De'Aaron_Fox_NBA_player_ey65igBBNutBRz0ibXh85IuZ.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.900000000000002,57.800000000000004,19,20,27,28,21,22,15,15,7,8,18.827956989247312,20,Avg,4066259,35.1,41.9,39,40.1,43.7,51.6,50.1,47.4,41.9,54.5,39.96,44.53,44.53,5,0,0,1,1,0,1,0,OK,29
1630577,10806660,10806660,125266,138259,2026-03-23T19:00:00.000-04:00,,,Julian Champagnie,F,SAS,MIA,28.0,Fantasy Score,fantasy,Demon,22.5,1,https://static.prizepicks.com/images/players/NBA/Julian_Champagnie_NBA_player_wWXts7QJavucRoRUsMbfxn9.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.900000000000002,57.800000000000004,19,20,27,28,21,22,15,15,7,8,18.827956989247312,20,Avg,4592479,28.4,31.4,25.7,25.6,26.3,18.4,5.5,38,38.3,31.9,27.48,26.95,26.95,2,3,0,0.4,0.4,0.6,0.5,0.5,OK,29.4
1629640,10806674,10806674,55140,138259,2026-03-23T19:00:00.000-04:00,,,Keldon Johnson,F-G,SAS,MIA,28.0,Fantasy Score,fantasy,Demon,22.5,1,https://static.prizepicks.com/images/players/NBA/Keldon_Johnson_NBA_player_ytnN6jT7zYkcukGvVWoYp2zk.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.900000000000002,57.800000000000004,19,20,27,28,21,22,15,15,7,8,18.827956989247312,20,Avg,4395723,40.3,12.3,26.2,13,24,21.4,16.2,30.7,22.7,14.3,23.16,22.11,22.11,1,4,0,0.2,0.2,0.8,0.2,0.8,OK,21.6
1626181,10806654,10806654,271615,138259,2026-03-23T19:00:00.000-04:00,,,Norman Powell,G,MIA,SAS,23.5,Fantasy Score,fantasy,Goblin,28.5,1,https://static.prizepicks.com/images/players/NBA/Norman_Powell_NBA_player_iZ2Zi8YLXUk9dnKXL0euVv1I.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7,12,13,25,8,25,11,11,2,24,9.903225806451612,9,Above Avg,2595516,37.4,36.7,33.2,9.6,39.2,50.4,29.1,8.9,1,35.3,31.22,28.08,28.08,4,1,0,0.8,0.8,0.2,0.7,0.3,OK,27
203952,10806646,10806646,227725,138259,2026-03-23T19:00:00.000-04:00,,,Andrew Wiggins,F,MIA,SAS,21.5,Fantasy Score,fantasy,Goblin,26.5,1,https://static.prizepicks.com/images/players/NBA/Andrew_Wiggins_NBA_player_yKQK0gmYfGjWuANzVD4ek19k.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7,12,13,25,8,25,11,11,2,24,9.903225806451612,9,Above Avg,3059319,20.3,40.9,38.7,30.9,51.6,49.9,32.9,44,47,45.7,36.48,40.19,40.19,4,1,0,0.8,0.8,0.2,0.9,0.1,OK,29
