nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,game_date,player_1,player_2,team_1,team_2,id_status,is_combo_player,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER
1628976,11793339,11793339,37711,155968,2026-05-01T19:00:00.000-04:00,,,Wendell Carter,C-F,ORL,DET,5.5,Two Pointers Attempted,twopointersattempted,Standard,5.5,0,https://static.prizepicks.com/images/players/NBA/Wendell_Carter_NBA_player_D8fHvKLdHu6fJ37Fbvf4voGd.webp,2026-05-01,,,,,OK,0,109.4,85.2,37.7,36.4,12.5,27.1,16.9,48.800000000000004,25.200000000000003,50.400000000000006,3,6,12,2,1,4,3,3,29,1,5.021505376344086,2,Elite
1630217,11809609,11809609,271602,155968,2026-05-01T19:00:00.000-04:00,,,Desmond Bane,G,ORL,DET,4.5,Free Throws Attempted,freethrowsattempted,Demon,4.0,1,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,2026-05-01,,,,,OK,0,109.4,85.2,37.7,36.4,12.5,27.1,16.9,48.800000000000004,25.200000000000003,50.400000000000006,3,6,12,2,1,4,3,3,29,1,5.021505376344086,2,Elite
1641710,11810661,11810661,173641,155968,2026-05-01T19:00:00.000-04:00,,,Anthony Black,G,ORL,DET,4.5,3-PT Attempted,3ptattempted,Standard,4.5,0,https://static.prizepicks.com/images/players/NBA/Anthony_Black_NBA_player_suwF3Oh8vV0aS9mPHjiv2L8n.webp,2026-05-01,,,,,OK,0,109.4,85.2,37.7,36.4,12.5,27.1,16.9,48.800000000000004,25.200000000000003,50.400000000000006,3,6,12,2,1,4,3,3,29,1,5.021505376344086,2,Elite
1628976,11787150,11787150,37711,155968,2026-05-01T19:00:00.000-04:00,,,Wendell Carter,C-F,ORL,DET,3.5,Free Throws Attempted,freethrowsattempted,Demon,3.0,1,https://static.prizepicks.com/images/players/NBA/Wendell_Carter_NBA_player_D8fHvKLdHu6fJ37Fbvf4voGd.webp,2026-05-01,,,,,OK,0,109.4,85.2,37.7,36.4,12.5,27.1,16.9,48.800000000000004,25.200000000000003,50.400000000000006,3,6,12,2,1,4,3,3,29,1,5.021505376344086,2,Elite
1628976,11787149,11787149,37711,155968,2026-05-01T19:00:00.000-04:00,,,Wendell Carter,C-F,ORL,DET,2.5,3-PT Attempted,3ptattempted,Demon,,1,https://static.prizepicks.com/images/players/NBA/Wendell_Carter_NBA_player_D8fHvKLdHu6fJ37Fbvf4voGd.webp,2026-05-01,,,,,OK,0,109.4,85.2,37.7,36.4,12.5,27.1,16.9,48.800000000000004,25.200000000000003,50.400000000000006,3,6,12,2,1,4,3,3,29,1,5.021505376344086,2,Elite
1631288,11798068,11798068,309613,155968,2026-05-01T19:00:00.000-04:00,,,Jamal Cain,F,ORL,DET,2.5,FG Made,fgm,Goblin,3.0,1,https://static.prizepicks.com/images/players/NBA/Jamal_Cain_NBA_player_i01qhVcZOkb5dwXBNr5NrMaA.webp,2026-05-01,,,,,OK,0,109.4,85.2,37.7,36.4,12.5,27.1,16.9,48.800000000000004,25.200000000000003,50.400000000000006,3,6,12,2,1,4,3,3,29,1,5.021505376344086,2,Elite
1630591,11810664,11810664,53830,155968,2026-05-01T19:00:00.000-04:00,,,Jalen Suggs,G,ORL,DET,2.5,Two Pointers Made,twopointersmade,Demon,,1,https://static.prizepicks.com/images/players/NBA/Jalen_Suggs_NBA_player_I7jpOaNuORX9n8iyAuZi5K2s.webp,2026-05-01,,,,,OK,0,109.4,85.2,37.7,36.4,12.5,27.1,16.9,48.800000000000004,25.200000000000003,50.400000000000006,3,6,12,2,1,4,3,3,29,1,5.021505376344086,2,Elite
1627747,11798057,11798057,272053,155968,2026-05-01T19:00:00.000-04:00,,,Caris LeVert,G,DET,ORL,1.5,Two Pointers Made,twopointersmade,Standard,1.5,0,https://static.prizepicks.com/images/players/NBA/Caris_LeVert_NBA_player_g3Phb187vtZZrs8UuHynqHzG.webp,2026-05-01,,,,,OK,0,115.4,87.8,41.9,34.0,12.0,25.1,14.7,53.8,29.9,59.8,15,1,3,8,14,22,25,25,25,13,15.0,16,Avg
1627742,11785791,11785791,269517,155967,2026-05-01T19:30:00.000-04:00,,,Brandon Ingram,F,TOR,CLE,18.5,Points,pts,Standard,18.5,0,https://static.prizepicks.com/images/manual/Brandon_Ingramm.png,2026-05-01,,,,,OK,0,115.2,88.9,41.2,37.7,13.9,23.7,15.2,51.2,27.300000000000004,54.60000000000001,14,22,19,15,12,11,6,6,16,10,13.419354838709676,12,Above Avg
1642281,11791132,11791132,226579,155967,2026-05-01T19:30:00.000-04:00,,,Jaylon Tyson,G-F,CLE,TOR,10.5,Pts+Rebs+Asts,pra,Standard,10.5,0,https://static.prizepicks.com/images/players/NBA/Jaylon_Tyson_NBA_player_vLYgk6879JDBN7gQAsxXixXG.webp,2026-05-01,,,,,OK,0,112.1,86.0,40.1,36.0,12.7,24.2,16.1,50.0,27.400000000000002,54.800000000000004,9,9,9,5,5,7,7,7,20,5,8.333333333333332,8,Above Avg
