nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,game_date,player_1,player_2,team_1,team_2,id_status,is_combo_player,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,ESPN_ATHLETE_ID,data_source,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,min_player_avg,pts_player_avg,minutes_tier,shot_role,usage_role,opp_l10_pts,opp_l10_reb,opp_l10_ast,opp_l10_stl,opp_l10_blk,opp_last_game_pts,opp_last_game_reb,opp_last_game_ast,opp_last_game_date,opp_games_played,opp_home_avg_pts,opp_away_avg_pts,opp_last_3_avg_pts,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source,ctx_adj,days_rest,b2b_flag,home_away,rest_adj,schedule_source
1629652,11532542,11532542,10798,153016,2026-04-22T21:30:00.000-04:00,OKC,,Luguentz Dort,G,OKC,PHX,5.5,FG Attempted,fga,Standard,5.5,0,https://static.prizepicks.com/images/players/NBA/Luguentz_Dort_NBA_player_e1jWAiWanPNpRtbYeXm01a9Q.webp,2026-04-22,,,,,OK,0,111.3,85.3,40.2,35.0,12.1,23.9,16.4,50.3,28.1,56.2,6.0,2.0,5.0,3.0,6.0,8.0,10.0,10.0,18.0,3.0,6.924731182795698,6.0,Elite,4397020.0,nba_db,8.0,6.0,7.0,4.0,6.0,7.0,8.0,4.0,7.0,4.0,6.2,6.1,6.1,4.0,1.0,0.0,0.8,0.8,0.2,0.7,0.3,OK,21.4,OK,5.0,4.0,1.0,0.0,0.8,0.2,21.4,6.2,MEDIUM,LOW_VOL,SUPPORT,9.17,2.17,0.83,1.17,0.17,8.0,2.0,2.0,2026-04-19,6.0,8.25,11.0,7.67,215.5,-17.5,116.5,True,False,NORMAL,live,-0.05,2,False,HOME,0.02,cache
1630224,11577609,11577609,272587,153016,2026-04-22T21:30:00.000-04:00,,PHX,Jalen Green,G,PHX,OKC,5.0,Rebounds,reb,Standard,5.0,0,https://static.prizepicks.com/images/players/NBA/Jalen_Green_NBA_player_dgDzs8capbSfm3XqiXDKFCSw.webp,2026-04-22,,,,,OK,0,107.5,88.2,38.3,39.1,14.3,22.2,16.8,49.1,24.0,47.99999999999999,2.0,28.0,25.0,11.0,3.0,5.0,1.0,1.0,9.0,2.0,6.419354838709676,3.0,Elite,4437244.0,nba_db,5.0,6.0,5.0,1.0,3.0,4.0,4.0,1.0,6.0,6.0,4.0,4.1,4.1,1.0,2.0,2.0,0.2,0.3333333333333333,0.6666666666666666,0.375,0.625,OK,29.4,OK,5.0,1.0,2.0,2.0,0.2,0.4,29.4,4.0,MEDIUM,HIGH_VOL,PRIMARY,17.0,5.0,1.0,1.0,1.0,17.0,5.0,1.0,2026-04-19,1.0,,17.0,17.0,215.5,17.5,99.0,True,False,NORMAL,live,-0.05,2,False,AWAY,0.02,cache
1630224,11530180,11530180,272587,153016,2026-04-22T21:30:00.000-04:00,,PHX,Jalen Green,G,PHX,OKC,4.5,Rebounds,reb,Goblin,5.0,1,https://static.prizepicks.com/images/players/NBA/Jalen_Green_NBA_player_dgDzs8capbSfm3XqiXDKFCSw.webp,2026-04-22,,,,,OK,0,107.5,88.2,38.3,39.1,14.3,22.2,16.8,49.1,24.0,47.99999999999999,2.0,28.0,25.0,11.0,3.0,5.0,1.0,1.0,9.0,2.0,6.419354838709676,3.0,Elite,4437244.0,nba_db,5.0,6.0,5.0,1.0,3.0,4.0,4.0,1.0,6.0,6.0,4.0,4.1,4.1,3.0,2.0,0.0,0.6,0.6,0.4,0.5,0.5,OK,29.4,OK,5.0,3.0,2.0,0.0,0.6,0.4,29.4,4.0,MEDIUM,HIGH_VOL,PRIMARY,17.0,5.0,1.0,1.0,1.0,17.0,5.0,1.0,2026-04-19,1.0,,17.0,17.0,215.5,17.5,99.0,True,False,NORMAL,live,-0.05,2,False,AWAY,0.02,cache
1629652,11536194,11536194,10798,153016,2026-04-22T21:30:00.000-04:00,OKC,,Luguentz Dort,G,OKC,PHX,4.5,3-PT Attempted,3ptattempted,Demon,4.0,1,https://static.prizepicks.com/images/players/NBA/Luguentz_Dort_NBA_player_e1jWAiWanPNpRtbYeXm01a9Q.webp,2026-04-22,,,,,OK,0,111.3,85.3,40.2,35.0,12.1,23.9,16.4,50.3,28.1,56.2,6.0,2.0,5.0,3.0,6.0,8.0,10.0,10.0,18.0,3.0,6.924731182795698,6.0,Elite,4397020.0,nba_db,6.0,5.0,4.0,4.0,5.0,5.0,6.0,2.0,5.0,3.0,4.8,4.5,4.5,3.0,2.0,0.0,0.6,0.6,0.4,0.6,0.4,OK,21.4,OK,5.0,3.0,2.0,0.0,0.6,0.4,21.4,4.8,MEDIUM,LOW_VOL,SECONDARY,9.17,2.17,0.83,1.17,0.17,8.0,2.0,2.0,2026-04-19,6.0,8.25,11.0,7.67,215.5,-17.5,116.5,True,False,NORMAL,live,-0.05,2,False,HOME,0.02,cache
1630217,11578798,11578798,271602,152987,2026-04-22T19:00:00.000-04:00,,ORL,Desmond Bane,G,ORL,DET,39.0,Fantasy Score,fantasy,Demon,32.5,2,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,2026-04-22,,,,,OK,0,109.4,85.2,37.7,36.4,12.5,27.1,16.9,48.8,25.200000000000003,50.400000000000006,3.0,6.0,12.0,2.0,1.0,4.0,3.0,3.0,29.0,1.0,5.021505376344086,2.0,Elite,4066320.0,nba_db,35.7,29.4,40.1,17.9,14.2,30.8,44.1,44.2,50.9,17.4,27.46,32.47,32.47,1.0,4.0,0.0,0.2,0.2,0.8,0.4,0.6,OK,29.0,OK,5.0,1.0,4.0,0.0,0.2,0.8,29.0,27.46,MEDIUM,HIGH_VOL,PRIMARY,24.0,5.25,3.75,1.5,1.25,17.0,6.0,5.0,2026-04-19,4.0,21.0,27.0,19.67,218.5,8.5,105.0,False,False,NORMAL,live,0.0,2,False,AWAY,0.02,cache
1630532,11578811,11578811,55372,152987,2026-04-22T19:00:00.000-04:00,,ORL,Franz Wagner,F,ORL,DET,35.5,Fantasy Score,fantasy,Demon,29.5,1,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,2026-04-22,,,,,OK,0,109.4,85.2,37.7,36.4,12.5,27.1,16.9,48.8,25.200000000000003,50.400000000000006,3.0,6.0,12.0,2.0,1.0,4.0,3.0,3.0,29.0,1.0,5.021505376344086,2.0,Elite,4566434.0,nba_db,34.0,36.4,21.3,28.3,30.4,21.0,23.0,24.3,15.2,16.0,30.08,24.99,24.99,1.0,4.0,0.0,0.2,0.2,0.8,0.1,0.9,OK,27.0,OK,5.0,1.0,4.0,0.0,0.2,0.8,27.0,30.08,MEDIUM,MID_VOL,PRIMARY,20.0,6.0,2.5,2.5,0.0,19.0,5.0,4.0,2026-04-19,2.0,,20.0,20.0,218.5,8.5,105.0,False,False,NORMAL,live,0.0,2,False,AWAY,0.02,cache
202699|1630532,11534096,11534096,314407,152987,2026-04-22T19:00:00.000-04:00,DET,,Tobias Harris + Franz Wagner,F,DET/ORL,,33.0,Points (Combo),points(combo),Standard,33.0,0,https://static.prizepicks.com/images/players/CMBO_group_gWDvXNlziZpprsQuBANLQINj.webp,2026-04-22,Tobias Harris,Franz Wagner,DET,ORL,OK,1,,,,,,,,,,,,,,,,,,,,,,,,,nba_db,,,,,,,,,,,,,,,,,,,,,,NO_ID,,MISSING_STAT_VALUES,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,218.5,-8.5,113.5,False,False,NORMAL,live,0.0,2,False,HOME,0.02,cache
1630217,11578791,11578791,271602,152987,2026-04-22T19:00:00.000-04:00,,ORL,Desmond Bane,G,ORL,DET,32.5,Fantasy Score,fantasy,Standard,32.5,0,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,2026-04-22,,,,,OK,0,109.4,85.2,37.7,36.4,12.5,27.1,16.9,48.8,25.200000000000003,50.400000000000006,3.0,6.0,12.0,2.0,1.0,4.0,3.0,3.0,29.0,1.0,5.021505376344086,2.0,Elite,4066320.0,nba_db,35.7,29.4,40.1,17.9,14.2,30.8,44.1,44.2,50.9,17.4,27.46,32.47,32.47,2.0,3.0,0.0,0.4,0.4,0.6,0.5,0.5,OK,29.0,OK,5.0,2.0,3.0,0.0,0.4,0.6,29.0,27.46,MEDIUM,HIGH_VOL,PRIMARY,24.0,5.25,3.75,1.5,1.25,17.0,6.0,5.0,2026-04-19,4.0,21.0,27.0,19.67,218.5,8.5,105.0,False,False,NORMAL,live,0.0,2,False,AWAY,0.02,cache
1630532,11578797,11578797,55372,152987,2026-04-22T19:00:00.000-04:00,,ORL,Franz Wagner,F,ORL,DET,29.5,Fantasy Score,fantasy,Standard,29.5,0,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,2026-04-22,,,,,OK,0,109.4,85.2,37.7,36.4,12.5,27.1,16.9,48.8,25.200000000000003,50.400000000000006,3.0,6.0,12.0,2.0,1.0,4.0,3.0,3.0,29.0,1.0,5.021505376344086,2.0,Elite,4566434.0,nba_db,34.0,36.4,21.3,28.3,30.4,21.0,23.0,24.3,15.2,16.0,30.08,24.99,24.99,3.0,2.0,0.0,0.6,0.6,0.4,0.3,0.7,OK,27.0,OK,5.0,3.0,2.0,0.0,0.6,0.4,27.0,30.08,MEDIUM,MID_VOL,PRIMARY,20.0,6.0,2.5,2.5,0.0,19.0,5.0,4.0,2026-04-19,2.0,,20.0,20.0,218.5,8.5,105.0,False,False,NORMAL,live,0.0,2,False,AWAY,0.02,cache
1630217,11578808,11578808,271602,152987,2026-04-22T19:00:00.000-04:00,,ORL,Desmond Bane,G,ORL,DET,27.0,Fantasy Score,fantasy,Goblin,32.5,1,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,2026-04-22,,,,,OK,0,109.4,85.2,37.7,36.4,12.5,27.1,16.9,48.8,25.200000000000003,50.400000000000006,3.0,6.0,12.0,2.0,1.0,4.0,3.0,3.0,29.0,1.0,5.021505376344086,2.0,Elite,4066320.0,nba_db,35.7,29.4,40.1,17.9,14.2,30.8,44.1,44.2,50.9,17.4,27.46,32.47,32.47,3.0,2.0,0.0,0.6,0.6,0.4,0.7,0.3,OK,29.0,OK,5.0,3.0,2.0,0.0,0.6,0.4,29.0,27.46,MEDIUM,HIGH_VOL,PRIMARY,24.0,5.25,3.75,1.5,1.25,17.0,6.0,5.0,2026-04-19,4.0,21.0,27.0,19.67,218.5,8.5,105.0,False,False,NORMAL,live,0.0,2,False,AWAY,0.02,cache
