projection_id,pp_projection_id,player_id,pp_game_id,start_time,player,pos,team,opp_team,pp_home_team,pp_away_team,prop_type,line,pick_type
10027103,10027103,301976,129171,2026-02-21T17:00:00.000-05:00,Dillon Brooks + Paolo Banchero,G-F,PHX/ORL,,,,Points (Combo),45.0,Standard
10027104,10027104,301977,129171,2026-02-21T17:00:00.000-05:00,Dillon Brooks + Desmond Bane,G-F,PHX/ORL,,,,Points (Combo),42.0,Standard
10023276,10023276,188001,129171,2026-02-21T17:00:00.000-05:00,Paolo Banchero,F,ORL,,,,Pts+Rebs+Asts,40.5,Demon
10031827,10031827,188001,129171,2026-02-21T17:00:00.000-05:00,Paolo Banchero,F,ORL,,,,Fantasy Score,40.0,Standard
10024036,10024036,188001,129171,2026-02-21T17:00:00.000-05:00,Paolo Banchero,F,ORL,,,,Pts+Rebs+Asts,39.5,Demon
10026057,10026057,188001,129171,2026-02-21T17:00:00.000-05:00,Paolo Banchero,F,ORL,,,,Pts+Rebs,39.5,Demon
10027101,10027101,301975,129171,2026-02-21T17:00:00.000-05:00,Dillon Brooks + Anthony Black,G-F,PHX/ORL,,,,Points (Combo),39.5,Standard
10028930,10028930,269531,129171,2026-02-21T17:00:00.000-05:00,Dillon Brooks,G-F,PHX,,,,Pts+Rebs,39.5,Demon
10023277,10023277,188001,129171,2026-02-21T17:00:00.000-05:00,Paolo Banchero,F,ORL,,,,Pts+Rebs+Asts,38.5,Demon
10023279,10023279,188001,129171,2026-02-21T17:00:00.000-05:00,Paolo Banchero,F,ORL,,,,Pts+Rebs+Asts,35.5,Standard
10023077,10023077,269531,129171,2026-02-21T17:00:00.000-05:00,Dillon Brooks,G-F,PHX,,,,Pts+Rebs+Asts,34.5,Demon
10023278,10023278,188001,129171,2026-02-21T17:00:00.000-05:00,Paolo Banchero,F,ORL,,,,Pts+Rebs+Asts,34.5,Goblin
10026044,10026044,271602,129171,2026-02-21T17:00:00.000-05:00,Desmond Bane,G,ORL,,,,Pts+Rebs,34.5,Demon
10026056,10026056,188001,129171,2026-02-21T17:00:00.000-05:00,Paolo Banchero,F,ORL,,,,Pts+Rebs,34.5,Demon
10026724,10026724,269531,129171,2026-02-21T17:00:00.000-05:00,Dillon Brooks,G-F,PHX,,,,Pts+Asts,34.5,Demon
10026727,10026727,269531,129171,2026-02-21T17:00:00.000-05:00,Dillon Brooks,G-F,PHX,,,,Pts+Rebs,34.5,Demon
10026883,10026883,188001,129171,2026-02-21T17:00:00.000-05:00,Paolo Banchero,F,ORL,,,,Pts+Asts,34.5,Demon
10028023,10028023,271602,129171,2026-02-21T17:00:00.000-05:00,Desmond Bane,G,ORL,,,,Pts+Asts,34.5,Demon
10029316,10029316,272587,129171,2026-02-21T17:00:00.000-05:00,Jalen Green,G,PHX,,,,Pts+Rebs+Asts,34.5,Demon
10024037,10024037,188001,129171,2026-02-21T17:00:00.000-05:00,Paolo Banchero,F,ORL,,,,Pts+Rebs+Asts,33.5,Goblin
10031823,10031823,53830,129171,2026-02-21T17:00:00.000-05:00,Jalen Suggs,G,ORL,,,,Fantasy Score,33.0,Standard
10023034,10023034,271602,129171,2026-02-21T17:00:00.000-05:00,Desmond Bane,G,ORL,,,,Pts+Rebs+Asts,32.5,Demon
10023076,10023076,269531,129171,2026-02-21T17:00:00.000-05:00,Dillon Brooks,G-F,PHX,,,,Pts+Rebs+Asts,32.5,Demon
10031819,10031819,271602,129171,2026-02-21T17:00:00.000-05:00,Desmond Bane,G,ORL,,,,Fantasy Score,32.0,Standard
10023032,10023032,271602,129171,2026-02-21T17:00:00.000-05:00,Desmond Bane,G,ORL,,,,Pts+Rebs+Asts,31.5,Demon
10023275,10023275,188001,129171,2026-02-21T17:00:00.000-05:00,Paolo Banchero,F,ORL,,,,Pts+Rebs,31.5,Standard
10031820,10031820,269531,129171,2026-02-21T17:00:00.000-05:00,Dillon Brooks,G-F,PHX,,,,Fantasy Score,31.5,Standard
10022948,10022948,173641,129171,2026-02-21T17:00:00.000-05:00,Anthony Black,G,ORL,,,,Pts+Rebs+Asts,30.5,Demon
