Date,Sport,Ticket_num,Leg,Player,Team,Opp,Prop,Pick_Type,Line,Direction,Edge,Hit_Rate,L5_Avg,Season_Avg,Rank_Score,Tier,Actual,Result,Margin,Legs
2026-02-20,NBA,1,1,Jarrett Allen,CLE,BKN,Points,Goblin,9.5,OVER,11.1,1.0,24.4,14.6,5.44,A,15,HIT,5.5,3
2026-02-20,NBA,1,2,OG Anunoby,NYK,DET,Points,Goblin,11.5,OVER,8.8,1.0,22.8,16.6,5.19,A,8,MISS,-3.5,3
2026-02-20,NBA,1,3,Harrison Barnes,SAS,PHX,Points,Goblin,4.5,OVER,6.2,1.0,11.6,10.6,5.21,A,8,HIT,3.5,3
2026-02-20,NBA,2,1,OG Anunoby,NYK,DET,PRA,Standard,21.5,OVER,5.8,1.0,33.2,25.1,4.64,A,8,MISS,-13.5,3
2026-02-20,NBA,2,2,Grayson Allen,PHX,SAS,Pts+Asts,Standard,17.5,OVER,9.4,1.0,26.2,21.0,4.87,A,0,PUSH,-17.5,3
2026-02-20,NBA,2,3,Jamal Murray,DEN,LAC,PRA,Standard,34.5,OVER,6.8,1.0,47.2,44.1,4.38,A,,PENDING,,3
