nba_player_id,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player_1,player_2,team_1,team_2,id_status,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,opp_team_1,opp_team_2,OPP_PTS_DEF_1,OPP_FGA_DEF_1,OPP_FGM_DEF_1,OPP_FG3A_DEF_1,OPP_FG3M_DEF_1,OPP_FTA_DEF_1,OPP_TOV_DEF_1,OPP_2PA_DEF_1,OPP_2PM_DEF_1,OPP_2PTS_DEF_1,OPP_PTS_RANK_DEF_1,OPP_FG3M_RANK_DEF_1,OPP_FG3A_RANK_DEF_1,OPP_FGA_RANK_DEF_1,OPP_FGM_RANK_DEF_1,OPP_2PA_RANK_DEF_1,OPP_2PM_RANK_DEF_1,OPP_2PTS_RANK_DEF_1,OPP_FTA_RANK_DEF_1,OPP_TOV_FORCED_RANK_DEF_1,OVERALL_DEF_SCORE_DEF_1,OVERALL_DEF_RANK_DEF_1,DEF_TIER_DEF_1,OPP_PTS_DEF_2,OPP_FGA_DEF_2,OPP_FGM_DEF_2,OPP_FG3A_DEF_2,OPP_FG3M_DEF_2,OPP_FTA_DEF_2,OPP_TOV_DEF_2,OPP_2PA_DEF_2,OPP_2PM_DEF_2,OPP_2PTS_DEF_2,OPP_PTS_RANK_DEF_2,OPP_FG3M_RANK_DEF_2,OPP_FG3A_RANK_DEF_2,OPP_FGA_RANK_DEF_2,OPP_FGM_RANK_DEF_2,OPP_2PA_RANK_DEF_2,OPP_2PM_RANK_DEF_2,OPP_2PTS_RANK_DEF_2,OPP_FTA_RANK_DEF_2,OPP_TOV_FORCED_RANK_DEF_2,OVERALL_DEF_SCORE_DEF_2,OVERALL_DEF_RANK_DEF_2,DEF_TIER_DEF_2,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,stat_status
1628378,Donovan Mitchell,G,CLE,OKC,41.0,Fantasy Score,fantasy,Standard,41.0,0,10053918,10053918,188006,129652,2026-02-22T13:00:00.000-05:00,,,,,,,OK,108.0,88.2,38.4,38.9,14.4,22.6,17.0,49.300000000000004,24.0,48.0,1,27,25,12,2,5,1,1,11,2,6.053763440860214,3,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46.9,50.9,31.6,34.2,28.8,52.9,63.8,50.5,46.2,60,38.48,46.58,45.274,2,3,0,0.4,OK
1628378,Donovan Mitchell,G,CLE,OKC,39.5,Pts+Rebs+Asts,pra,Demon,35.5,2,10039222,10039222,188006,129652,2026-02-22T13:00:00.000-05:00,,,,,,,OK,108.0,88.2,38.4,38.9,14.4,22.6,17.0,49.300000000000004,24.0,48.0,1,27,25,12,2,5,1,1,11,2,6.053763440860214,3,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,42,31,38,25,44,58,34,41,51,34.8,40.2,39.113,1,4,0,0.2,OK
1628378,Donovan Mitchell,G,CLE,OKC,39.5,Pts+Rebs,pr,Demon,29.5,2,10043222,10043222,188006,129652,2026-02-22T13:00:00.000-05:00,,,,,,,OK,108.0,88.2,38.4,38.9,14.4,22.6,17.0,49.300000000000004,24.0,48.0,1,27,25,12,2,5,1,1,11,2,6.053763440860214,3,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,37,27,36,19,39,50,29,35,43,30.4,34.8,33.245,0,5,0,0,OK
1628378,Donovan Mitchell,G,CLE,OKC,39.5,Pts+Asts,pa,Demon,30.5,2,10043384,10043384,188006,129652,2026-02-22T13:00:00.000-05:00,,,,,,,OK,108.0,88.2,38.4,38.9,14.4,22.6,17.0,49.300000000000004,24.0,48.0,1,27,25,12,2,5,1,1,11,2,6.053763440860214,3,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,40,28,37,21,42,54,29,35,36,32.4,35.8,34.679,1,4,0,0.2,OK
201935,James Harden,G,CLE,OKC,39.5,Pts+Asts,pa,Demon,27.5,3,10047503,10047503,299373,129652,2026-02-22T13:00:00.000-05:00,,,,,,,OK,108.0,88.2,38.4,38.9,14.4,22.6,17.0,49.300000000000004,24.0,48.0,1,27,25,12,2,5,1,1,11,2,6.053763440860214,3,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,37,33,21,38,37,31,26,46,28,31,32.3,32.878,0,5,0,0,OK
1631096,Chet Holmgren,C-F,OKC,CLE,39.5,Pts+Rebs,pr,Demon,27.5,3,10048472,10048472,93905,129652,2026-02-22T13:00:00.000-05:00,,,,,,,OK,115.9,89.6,41.5,37.4,13.9,23.8,15.9,52.199999999999996,27.6,55.2,16,22,20,18,12,13,8,8,17,5,14.795698924731182,16,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,27,42,29,16,17,28,34,14,33,29.8,27.5,26.06,1,4,0,0.2,OK
201935,James Harden,G,CLE,OKC,39.5,Fantasy Score,fantasy,Standard,39.5,0,10053922,10053922,299373,129652,2026-02-22T13:00:00.000-05:00,,,,,,,OK,108.0,88.2,38.4,38.9,14.4,22.6,17.0,49.300000000000004,24.0,48.0,1,27,25,12,2,5,1,1,11,2,6.053763440860214,3,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31.9,47.9,48.7,29.3,53,45.4,42.2,29.5,63.5,38.1,42.16,42.95,44.182,3,2,0,0.6,OK
1631096,Chet Holmgren,C-F,OKC,CLE,38.0,Fantasy Score,fantasy,Standard,38.0,0,10053916,10053916,93905,129652,2026-02-22T13:00:00.000-05:00,,,,,,,OK,115.9,89.6,41.5,37.4,13.9,23.8,15.9,52.199999999999996,27.6,55.2,16,22,20,18,12,13,8,8,17,5,14.795698924731182,16,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36.4,35.4,54.7,43.2,30.5,20.9,35.4,40.2,22.1,38.6,40.04,35.74,35.872,2,3,0,0.4,OK
1628378,Donovan Mitchell,G,CLE,OKC,37.5,Pts+Rebs+Asts,pra,Demon,35.5,1,10039221,10039221,188006,129652,2026-02-22T13:00:00.000-05:00,,,,,,,OK,108.0,88.2,38.4,38.9,14.4,22.6,17.0,49.300000000000004,24.0,48.0,1,27,25,12,2,5,1,1,11,2,6.053763440860214,3,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,42,31,38,25,44,58,34,41,51,34.8,40.2,39.113,3,2,0,0.6,OK
201935,James Harden,G,CLE,OKC,37.5,Pts+Rebs+Asts,pra,Demon,32.5,3,10039315,10039315,299373,129652,2026-02-22T13:00:00.000-05:00,,,,,,,OK,108.0,88.2,38.4,38.9,14.4,22.6,17.0,49.300000000000004,24.0,48.0,1,27,25,12,2,5,1,1,11,2,6.053763440860214,3,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,44,39,25,43,44,37,26,56,36,35.8,37.8,37.714,3,2,0,0.6,OK
