nba_player_id,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player_1,player_2,team_1,team_2,id_status,is_combo_player
1628415,Dillon Brooks,G-F,PHX,ORL,29.5,Points,pts,Demon,22.5,3,10023070,10023070,269531,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628415,Dillon Brooks,G-F,PHX,ORL,29.5,Pts+Rebs+Asts,pra,Standard,29.5,0,10023080,10023080,269531,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630591,Jalen Suggs,G,ORL,PHX,29.5,Pts+Rebs+Asts,pra,Demon,24.5,3,10023163,10023163,53830,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1641710,Anthony Black,G,ORL,PHX,29.5,Pts+Rebs,pr,Demon,20.5,2,10026038,10026038,173641,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630217,Desmond Bane,G,ORL,PHX,29.5,Pts+Rebs,pr,Demon,23.5,2,10026043,10026043,271602,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631094,Paolo Banchero,F,ORL,PHX,29.5,Pts+Rebs,pr,Goblin,31.5,1,10026055,10026055,188001,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628415,Dillon Brooks,G-F,PHX,ORL,29.5,Pts+Asts,pa,Demon,24.5,1,10026723,10026723,269531,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628415,Dillon Brooks,G-F,PHX,ORL,29.5,Pts+Rebs,pr,Demon,27.0,1,10026726,10026726,269531,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628960,Grayson Allen,G,PHX,ORL,29.5,Pts+Asts,pa,Demon,19.5,2,10026731,10026731,174039,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628960,Grayson Allen,G,PHX,ORL,29.5,Pts+Rebs,pr,Demon,17.5,2,10026734,10026734,174039,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1641710,Anthony Black,G,ORL,PHX,29.5,Pts+Asts,pa,Demon,21.5,2,10026872,10026872,173641,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630217,Desmond Bane,G,ORL,PHX,29.5,Pts+Asts,pa,Demon,22.5,2,10026874,10026874,271602,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630591,Jalen Suggs,G,ORL,PHX,29.5,Pts+Asts,pa,Demon,19.5,2,10026879,10026879,53830,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631094,Paolo Banchero,F,ORL,PHX,29.5,Pts+Asts,pa,Demon,27.5,1,10026884,10026884,188001,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631221,Collin Gillespie,G,PHX,ORL,29.5,Pts+Asts,pa,Demon,18.5,2,10027937,10027937,233411,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631221,Collin Gillespie,G,PHX,ORL,29.5,Pts+Rebs,pr,Demon,17.5,2,10027938,10027938,233411,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630591,Jalen Suggs,G,ORL,PHX,29.5,Pts+Rebs,pr,Demon,17.5,2,10029236,10029236,53830,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630224,Jalen Green,G,PHX,ORL,29.5,Pts+Asts,pa,Demon,21.5,2,10029313,10029313,272587,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
