projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,game_date,delta_pct
12525972,218224,Sebastian Aho,CAR,F,Time On Ice,18.75,18.75,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525976,218753,William Karlsson,VGK,F,Time On Ice,17.75,17.75,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525974,231268,Logan Stankoven,CAR,F,Time On Ice,16.25,16.25,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525955,218298,Jordan Staal,CAR,F,Faceoffs Won,11.5,11.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12528232,311689,Carter Hart,VGK,G,Goalie Fantasy Score,10.5,10.5,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525959,218569,Jack Eichel,VGK,F,Faceoffs Won,8.5,8.5,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525961,218753,William Karlsson,VGK,F,Faceoffs Won,8.5,8.5,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12528230,58566,Frederik Andersen,CAR,G,Goalie Fantasy Score,8.5,8.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12528231,269552,Brandon Bussi,CAR,G,Goalie Fantasy Score,8.5,8.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525958,218224,Sebastian Aho,CAR,F,Faceoffs Won,7.0,7.0,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525956,231268,Logan Stankoven,CAR,F,Faceoffs Won,6.0,6.0,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525957,268027,Mark Jankowski,CAR,F,Faceoffs Won,5.5,5.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525960,304861,Nic Dowd,VGK,F,Faceoffs Won,5.0,5.0,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525993,125904,Ivan Barbashev,VGK,F,Hits,4.5,4.5,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525987,218693,Andrei Svechnikov,CAR,F,Hits,4.0,4.0,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12527902,304529,Cole Smith,VGK,F,Hits,4.0,4.0,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525988,218298,Jordan Staal,CAR,F,Hits,3.5,3.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525989,231718,Sean Walker,CAR,D,Hits,3.5,3.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525991,218684,William Carrier,CAR,F,Hits,3.5,3.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525994,267943,Jeremy Lauzon,VGK,D,Hits,3.5,3.5,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525992,87700,Brett Howden,VGK,F,Hits,3.0,3.0,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525996,304861,Nic Dowd,VGK,F,Hits,3.0,3.0,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525995,218579,Keegan Kolesar,VGK,F,Hits,2.5,2.5,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12527901,267799,Colton Sissons,VGK,F,Hits,2.5,2.5,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525949,232486,Jackson Blake,CAR,F,Shots On Goal,2.0,2.0,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525950,218224,Sebastian Aho,CAR,F,Shots On Goal,2.0,2.0,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525951,226405,Taylor Hall,CAR,F,Shots On Goal,2.0,2.0,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525953,57428,Mark Stone,VGK,F,Shots On Goal,2.0,2.0,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525954,267801,Mitch Marner,VGK,F,Shots On Goal,2.0,2.0,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12526018,57765,Shea Theodore,VGK,D,Blocked Shots,2.0,2.0,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12526019,218573,Noah Hanifin,VGK,D,Blocked Shots,2.0,2.0,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12527756,231268,Logan Stankoven,CAR,F,Hits,2.0,2.0,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525952,125904,Ivan Barbashev,VGK,F,Shots On Goal,1.5,,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12525990,61274,Seth Jarvis,CAR,F,Hits,1.5,1.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12525997,218580,Tomas Hertl,VGK,F,Hits,1.5,1.5,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12526000,64225,Jordan Martinook,CAR,F,Hits,1.5,1.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12526001,218581,Brayden McNabb,VGK,D,Hits,1.5,1.5,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12527896,226405,Taylor Hall,CAR,F,Hits,1.5,1.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12527897,268026,K'Andre Miller,CAR,D,Hits,1.5,1.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12527903,57428,Mark Stone,VGK,F,Hits,1.5,,goblin,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12527905,218573,Noah Hanifin,VGK,D,Hits,1.5,,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12526003,218569,Jack Eichel,VGK,F,Blocked Shots,0.5,,goblin,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12526004,218753,William Karlsson,VGK,F,Blocked Shots,0.5,0.5,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12526005,267801,Mitch Marner,VGK,F,Blocked Shots,0.5,0.5,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12526006,304861,Nic Dowd,VGK,F,Blocked Shots,0.5,0.5,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
