rank,tier,player,team,opp,is_home,player_role,position_group,prop_display,prop_type,line,direction,composite_hr,hit_rate,hr_L5,hr_L10,hr_L20,hr_season,sample_L5,hit_L5,sample_L10,hit_L10,sample_L20,sample_season,avg_L5,avg_L10,avg_L20,avg_season,gap_vs_line_L5,gap_vs_line_L10,projection,over_L5_raw,under_L5_raw,over_L10_raw,under_L10_raw,last1_raw,last2_raw,last3_raw,games_played,scoring_tier,pp_tier,def_tier,def_rank,opp_gaa,implied_team_total,game_total,opp_saa,opp_shots_allowed_avg,opp_pk_pct,player_avg_shots_L5,player_avg_shots_L10,pts_per_game,pp_pts_per_game,toi_avg_L10,toi_per_game_api,prop_score,edge,abs_edge,ml_prob,edge_score,blended_score,pick_type,Game Date,game_date,Game Time,game_start,game_script_mult,game_script_note,open_line,line_movement,line_direction_shift,rest_days,back_to_back,goalie_name,goalie_sv_pct,line_combo,line_combo_toi_pct,on_pp1_line,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
223,D,Alex DeBrincat,DET,PHI,0,SKATER,F,Goals,goals,0.5,OVER,0.4,0.4,0.4,0.4,0.4,0.4,5,2/5,10,4/10,10,10,0.40,0.50,,0.50,-0.1,0.0,0.40,2,3,4,6,,,,,UNKNOWN,N/A,Above Avg,9,2.915,,,25.451,25.5,0.776,,,0.000,0.000,,,0.13038,-0.1000,0.1000,0.2388,,0.1304,demon,2026-03-28,2026-03-28,8:00 PM,2026-03-28T20:00:00.000-04:00,1.000,"DET +1.5 pt margin vs PHI, goals: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)",0.50,0.000,stable,1,1,,,,,0,0.00,1.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,1.00
224,D,John Tavares,TOR,STL,0,SKATER,F,Goals,goals,0.5,OVER,0.38,0.38,0.2,0.5,0.5,0.5,5,1/5,10,5/10,10,10,0.20,0.60,,0.60,-0.3,0.1,0.20,1,4,5,5,,,,,UNKNOWN,N/A,Avg,19,3.098,,,27.707,27.7,0.767,,,0.000,0.000,,,0.13012,-0.3000,0.3000,0.2388,,0.1301,demon,2026-03-28,2026-03-28,7:00 PM,2026-03-28T19:00:00.000-04:00,0.980,"TOR -1.5 pt margin vs STL, goals: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)",0.50,0.000,stable,3,0,,,,,0,0.00,1.00,0.00,0.00,0.00,1.00,1.00,2.00,0.00,1.00
226,D,Lawson Crouse,UTA,LA,0,SKATER,F,Goals,goals,0.5,OVER,0.4,0.4,0.4,0.4,0.4,0.4,5,2/5,10,4/10,10,10,0.60,0.50,,0.50,0.1,0.0,0.60,2,3,4,6,,,,,UNKNOWN,N/A,Above Avg,7,2.902,,,27.171,27.2,0.746,,,0.000,0.000,,,0.12777,0.1000,0.1000,0.2388,,0.1278,demon,2026-03-28,2026-03-28,9:00 PM,2026-03-28T21:00:00.000-04:00,0.980,"UTA -1.5 pt margin vs ?, goals: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)",0.50,0.000,stable,1,1,,,,,0,0.00,1.00,0.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00
229,D,Alex DeBrincat,DET,PHI,0,SKATER,F,Shots On Goal,shots_on_goal,4.5,OVER,0.34,0.34,0.4,0.3,0.3,0.3,5,2/5,10,3/10,10,10,3.20,3.40,,3.40,-1.3,-1.1,3.20,2,3,3,7,,,,,UNKNOWN,N/A,Above Avg,9,2.915,,,25.451,25.5,0.776,3.20,3.40,0.000,0.000,,,0.12169,-1.3000,1.3000,0.0851,,0.1217,demon,2026-03-28,2026-03-28,8:00 PM,2026-03-28T20:00:00.000-04:00,1.000,"DET +1.5 pt margin vs PHI, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)",4.50,0.000,stable,1,1,,,,,0,1.00,6.00,1.00,3.00,5.00,1.00,1.00,4.00,4.00,8.00
230,D,Dylan Holloway,STL,TOR,0,SKATER,F,Goals,goals,0.5,OVER,0.34,0.34,0.4,0.3,0.3,0.3,5,2/5,10,3/10,10,10,0.60,0.50,,0.50,0.1,0.0,0.60,2,3,3,7,,,,,UNKNOWN,N/A,Weak,31,3.598,,,32.439,32.4,0.812,,,0.000,0.000,,,0.12132,0.1000,0.1000,0.1818,,0.1213,demon,2026-03-28,2026-03-28,7:00 PM,2026-03-28T19:00:00.000-04:00,1.000,"STL +1.5 pt margin vs TOR, goals: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)",0.50,0.000,stable,2,0,,,,,0,0.00,2.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00
231,D,Nikolaj Ehlers,CAR,NJ,0,SKATER,F,Shots On Goal,shots_on_goal,2.5,OVER,0.32,0.32,0.2,0.4,0.4,0.4,5,1/5,10,4/10,10,10,2.00,2.50,,2.50,-0.5,0.0,2.00,1,4,4,6,,,,,UNKNOWN,N/A,Avg,18,3.085,,,27.366,27.4,0.793,2.00,2.50,0.000,0.000,,,0.12009,-0.5000,0.5000,0.0851,,0.1201,demon,2026-03-28,2026-03-28,5:00 PM,2026-03-28T17:00:00.000-04:00,1.000,"CAR +1.5 pt margin vs NJ, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)",2.50,0.000,stable,4,0,,,,,0,5.00,1.00,1.00,2.00,1.00,3.00,1.00,5.00,1.00,5.00
241,D,Carter Verhaeghe,FLA,NYI,0,SKATER,F,Goals,goals,0.5,OVER,0.4,0.4,0.4,0.4,0.4,0.4,5,2/5,10,4/10,10,10,0.40,0.50,,0.50,-0.1,0.0,0.40,2,3,4,6,,,,,UNKNOWN,N/A,Elite,5,2.878,,,27.695,27.7,0.808,,,0.000,0.000,,,0.10822,-0.1000,0.1000,0.2388,,0.1082,demon,2026-03-28,2026-03-28,1:00 PM,2026-03-28T13:00:00.000-04:00,0.980,"FLA -1.5 pt margin vs NYI, goals: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)",0.50,0.000,stable,2,0,,,,,0,0.00,1.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
242,D,Cody Glass,NJ,CAR,0,SKATER,F,Goals,goals,0.5,OVER,0.4,0.4,0.4,0.4,0.4,0.4,5,2/5,10,4/10,10,10,0.40,0.40,,0.40,-0.1,-0.1,0.40,2,3,4,6,,,,,UNKNOWN,N/A,Elite,5,2.878,,,23.927,23.9,0.805,,,0.000,0.000,,,0.10822,-0.1000,0.1000,0.2388,,0.1082,demon,2026-03-28,2026-03-28,5:00 PM,2026-03-28T17:00:00.000-04:00,0.980,"NJ -1.5 pt margin vs CAR, goals: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)",0.50,0.000,stable,2,0,,,,,0,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00
243,D,Dawson Mercer,NJ,CAR,0,SKATER,F,Goals,goals,0.5,OVER,0.4,0.4,0.4,0.4,0.4,0.4,5,2/5,10,4/10,10,10,0.40,0.50,,0.50,-0.1,0.0,0.40,2,3,4,6,,,,,UNKNOWN,N/A,Elite,5,2.878,,,23.927,23.9,0.805,,,0.000,0.000,,,0.10822,-0.1000,0.1000,0.2388,,0.1082,demon,2026-03-28,2026-03-28,5:00 PM,2026-03-28T17:00:00.000-04:00,0.980,"NJ -1.5 pt margin vs CAR, goals: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)",0.50,0.000,stable,2,0,,,,,0,0.00,1.00,1.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00
244,D,Jack Drury,COL,WPG,0,SKATER,F,Goals,goals,0.5,OVER,0.34,0.34,0.4,0.3,0.3,0.3,5,2/5,10,3/10,10,10,0.40,0.30,,0.30,-0.1,-0.2,0.40,2,3,3,7,,,,,UNKNOWN,N/A,Below Avg,21,3.122,,,27.768,27.8,0.776,,,0.000,0.000,,,0.10802,-0.1000,0.1000,0.1818,,0.1080,demon,2026-03-28,2026-03-28,7:00 PM,2026-03-28T19:00:00.000-04:00,1.000,"COL +1.5 pt margin vs WPG, goals: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)",0.50,0.000,stable,2,0,,,,,0,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
245,D,Nazem Kadri,COL,WPG,0,SKATER,F,Goals,goals,0.5,OVER,0.34,0.34,0.4,0.3,0.3,0.3,5,2/5,10,3/10,10,10,0.40,0.30,,0.30,-0.1,-0.2,0.40,2,3,3,7,,,,,UNKNOWN,N/A,Below Avg,21,3.122,,,27.768,27.8,0.776,,,0.000,0.000,,,0.10802,-0.1000,0.1000,0.1818,,0.1080,demon,2026-03-28,2026-03-28,7:00 PM,2026-03-28T19:00:00.000-04:00,1.000,"COL +1.5 pt margin vs WPG, goals: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)",0.50,0.000,stable,2,0,,,,,0,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00
