SEASON,EVENT_ID,GAME_DATE,TEAM,ESPN_ATHLETE_ID,PLAYER,PLAYER_NORM,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG3M,FG3A,FTM,FTA
2025-26,401810476,2026-01-22,BOS,4351851,Anfernee Simons,anfernee simons,22,9,4,2,1,0,0,3.0,8.0,1.0,4.0,2.0,2.0
2025-26,401810476,2026-01-22,BOS,4397251,Ron Harper Jr.,ron harper,2,2,0,0,0,0,0,1.0,2.0,0.0,1.0,0.0,0.0
2025-26,401810476,2026-01-22,BOS,4593841,Baylor Scheierman,baylor scheierman,14,5,2,1,1,0,1,2.0,4.0,1.0,2.0,0.0,0.0
2025-26,401810476,2026-01-22,BOS,4683689,Jordan Walsh,jordan walsh,17,3,5,0,1,1,0,1.0,3.0,1.0,3.0,0.0,0.0
2025-26,401810476,2026-01-22,BOS,5175647,Hugo Gonzalez,hugo gonzalez,11,5,2,0,0,0,1,2.0,3.0,1.0,2.0,0.0,0.0
2025-26,401810477,2026-01-22,BKN,4278104,Michael Porter Jr.,michael porter,26,12,6,1,0,0,2,4.0,14.0,3.0,9.0,1.0,1.0
2025-26,401810477,2026-01-22,BKN,4712896,Noah Clowney,noah clowney,23,8,4,0,0,0,0,3.0,7.0,2.0,4.0,0.0,0.0
2025-26,401810477,2026-01-22,BKN,4278067,Nic Claxton,nic claxton,23,4,4,1,1,2,0,1.0,5.0,0.0,0.0,2.0,4.0
2025-26,401810477,2026-01-22,BKN,5037873,Drake Powell,drake powell,25,6,1,3,1,0,0,2.0,9.0,0.0,4.0,2.0,2.0
2025-26,401810477,2026-01-22,BKN,5175643,Egor Demin,egor demin,21,6,1,3,0,0,2,2.0,7.0,2.0,6.0,0.0,0.0
2025-26,401810477,2026-01-22,BKN,4431714,Jalen Wilson,jalen wilson,11,0,2,1,0,0,2,0.0,1.0,0.0,1.0,0.0,2.0
2025-26,401810477,2026-01-22,BKN,4433137,Ziaire Williams,ziaire williams,19,11,1,0,1,2,1,5.0,10.0,1.0,3.0,0.0,0.0
2025-26,401810477,2026-01-22,BKN,5107173,Danny Wolf,danny wolf,12,3,2,0,0,0,0,1.0,4.0,1.0,2.0,0.0,0.0
2025-26,401810477,2026-01-22,BKN,4432194,Day'Ron Sharpe,day ron sharpe,24,6,2,1,2,0,2,2.0,5.0,0.0,2.0,2.0,2.0
2025-26,401810477,2026-01-22,BKN,3907823,Terance Mann,terance mann,11,2,0,0,0,0,2,1.0,5.0,0.0,1.0,0.0,0.0
2025-26,401810477,2026-01-22,BKN,4397179,Tyrese Martin,tyrese martin,11,3,2,0,0,0,0,1.0,3.0,1.0,2.0,0.0,0.0
2025-26,401810477,2026-01-22,BKN,4432174,Cam Thomas,cam thomas,16,5,1,2,0,0,0,1.0,6.0,1.0,5.0,2.0,2.0
2025-26,401810477,2026-01-22,BKN,5279130,Nolan Traore,nolan traore,19,0,1,3,0,0,3,0.0,3.0,0.0,1.0,0.0,0.0
2025-26,401810477,2026-01-22,NY,3934719,OG Anunoby,og anunoby,30,5,5,3,0,0,3,2.0,4.0,0.0,0.0,1.0,2.0
2025-26,401810477,2026-01-22,NY,3136195,Karl-Anthony Towns,karl anthony towns,20,14,8,3,1,0,2,5.0,8.0,2.0,3.0,2.0,2.0
2025-26,401810477,2026-01-22,NY,3062679,Josh Hart,josh hart,25,11,9,3,1,0,2,5.0,5.0,1.0,1.0,0.0,0.0
2025-26,401810477,2026-01-22,NY,3147657,Mikal Bridges,mikal bridges,25,11,4,4,1,1,0,5.0,9.0,1.0,3.0,0.0,0.0
2025-26,401810477,2026-01-22,NY,3934672,Jalen Brunson,jalen brunson,31,20,4,5,0,0,2,8.0,17.0,1.0,8.0,3.0,4.0
2025-26,401810477,2026-01-22,NY,4017844,Guerschon Yabusele,guerschon yabusele,11,2,1,0,1,1,0,1.0,3.0,0.0,2.0,0.0,0.0
2025-26,401810477,2026-01-22,NY,5211983,Pacome Dadiet,pacome dadiet,7,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,401810477,2026-01-22,NY,5289900,Mohamed Diawara,mohamed diawara,8,7,3,1,0,0,0,2.0,4.0,1.0,1.0,2.0,2.0
2025-26,401810477,2026-01-22,NY,4351852,Mitchell Robinson,mitchell robinson,17,7,7,0,1,2,1,3.0,3.0,0.0,0.0,1.0,2.0
2025-26,401810477,2026-01-22,NY,4871141,Ariel Hukporti,ariel hukporti,11,2,5,0,0,1,0,1.0,2.0,0.0,0.0,0.0,0.0
2025-26,401810477,2026-01-22,NY,2528426,Jordan Clarkson,jordan clarkson,12,3,3,2,1,0,1,1.0,4.0,0.0,2.0,1.0,2.0
2025-26,401810477,2026-01-22,NY,3914044,Landry Shamet,landry shamet,15,18,1,2,2,1,0,6.0,7.0,6.0,6.0,0.0,0.0
2025-26,401810477,2026-01-22,NY,4431823,Miles McBride,miles mcbride,19,14,6,4,1,0,0,5.0,10.0,3.0,4.0,1.0,2.0
2025-26,401810477,2026-01-22,NY,4433225,Tyler Kolek,tyler kolek,10,6,0,0,1,0,1,2.0,4.0,1.0,2.0,1.0,1.0
2025-26,401810478,2026-01-22,ATL,4280151,Corey Kispert,corey kispert,14,8,1,2,1,0,0,3.0,5.0,2.0,4.0,0.0,0.0
2025-26,401810478,2026-01-22,ATL,4431680,Onyeka Okongwu,onyeka okongwu,28,18,9,1,1,2,7,6.0,10.0,4.0,8.0,2.0,3.0
2025-26,401810478,2026-01-22,ATL,4701230,Jalen Johnson,jalen johnson,39,32,15,8,1,0,4,10.0,21.0,2.0,6.0,10.0,11.0
2025-26,401810478,2026-01-22,ATL,4278039,Nickeil Alexander-Walker,nickeil alexander walker,33,11,2,4,1,2,2,3.0,11.0,2.0,9.0,3.0,3.0
2025-26,401810478,2026-01-22,ATL,4869342,Dyson Daniels,dyson daniels,35,3,7,8,0,0,1,1.0,9.0,0.0,0.0,1.0,2.0
2025-26,401810478,2026-01-22,ATL,4712863,Mouhamed Gueye,mouhamed gueye,18,7,1,2,0,0,0,3.0,7.0,1.0,4.0,0.0,2.0
2025-26,401810478,2026-01-22,ATL,4431778,Christian Koloko,christian koloko,11,5,1,0,1,1,1,2.0,3.0,1.0,1.0,0.0,0.0
2025-26,401810478,2026-01-22,ATL,2490149,CJ McCollum,cj mccollum,26,15,0,6,2,1,1,6.0,14.0,3.0,7.0,0.0,0.0
2025-26,401810478,2026-01-22,ATL,3913174,Luke Kennard,luke kennard,25,18,4,2,2,0,0,7.0,9.0,4.0,5.0,0.0,0.0
2025-26,401810478,2026-01-22,ATL,4578893,Vit Krejci,vit krejci,11,7,2,1,0,0,0,2.0,3.0,1.0,1.0,2.0,3.0
2025-26,401810478,2026-01-22,MEM,4277961,Jaren Jackson Jr.,jaren jackson,32,17,6,2,1,0,5,6.0,12.0,1.0,4.0,4.0,5.0
2025-26,401810478,2026-01-22,MEM,4903027,Cedric Coward,cedric coward,26,17,7,0,2,1,3,7.0,15.0,3.0,5.0,0.0,0.0
2025-26,401810478,2026-01-22,MEM,5112087,Jaylen Wells,jaylen wells,26,18,4,0,1,0,0,6.0,16.0,2.0,9.0,4.0,4.0
2025-26,401810478,2026-01-22,MEM,3134932,John Konchar,john konchar,21,2,4,0,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0
2025-26,401810478,2026-01-22,MEM,4279888,Ja Morant,ja morant,30,23,2,12,1,3,5,7.0,15.0,1.0,4.0,8.0,8.0
2025-26,401810478,2026-01-22,MEM,5105550,GG Jackson,gg jackson,21,9,2,1,0,2,0,4.0,6.0,0.0,1.0,1.0,1.0
2025-26,401810478,2026-01-22,MEM,3146557,Jock Landale,jock landale,28,13,11,3,0,0,0,5.0,13.0,1.0,2.0,2.0,4.0
2025-26,401810478,2026-01-22,MEM,2581018,Kentavious Caldwell-Pope,kentavious caldwell pope,18,9,5,3,0,0,1,3.0,3.0,1.0,1.0,2.0,2.0
2025-26,401810478,2026-01-22,MEM,4397227,Vince Williams Jr.,vince williams,18,3,0,1,0,0,0,1.0,4.0,1.0,4.0,0.0,0.0
2025-26,401810478,2026-01-22,MEM,4433083,Cam Spencer,cam spencer,21,11,2,4,0,0,2,3.0,8.0,2.0,5.0,3.0,3.0
2025-26,401810479,2026-01-22,DET,6440,Tobias Harris,tobias harris,31,10,6,3,0,0,3,4.0,13.0,2.0,6.0,0.0,0.0
2025-26,401810479,2026-01-22,DET,3157465,Duncan Robinson,duncan robinson,29,15,4,3,1,1,2,5.0,11.0,4.0,9.0,1.0,2.0
2025-26,401810479,2026-01-22,DET,4433621,Jalen Duren,jalen duren,30,20,15,3,1,2,2,7.0,11.0,0.0,0.0,6.0,6.0
2025-26,401810479,2026-01-22,DET,4684742,Ausar Thompson,ausar thompson,28,12,9,3,3,0,0,5.0,10.0,0.0,0.0,2.0,2.0
2025-26,401810479,2026-01-22,DET,5107199,Daniss Jenkins,daniss jenkins,27,17,1,4,2,2,5,5.0,12.0,2.0,6.0,5.0,7.0
2025-26,401810479,2026-01-22,DET,4432810,Isaiah Stewart,isaiah stewart,24,8,6,3,0,2,2,3.0,7.0,1.0,4.0,1.0,1.0
2025-26,401810479,2026-01-22,DET,4683771,Ronald Holland II,ronald holland,18,6,2,2,2,0,0,2.0,4.0,1.0,1.0,1.0,2.0
2025-26,401810479,2026-01-22,DET,2596112,Javonte Green,javonte green,14,8,2,0,3,1,1,3.0,4.0,2.0,3.0,0.0,0.0
2025-26,401810479,2026-01-22,DET,4432107,Marcus Sasser,marcus sasser,21,9,1,4,0,0,0,3.0,11.0,1.0,5.0,2.0,2.0
2025-26,401810479,2026-01-22,DET,4433218,Jaden Ivey,jaden ivey,18,7,1,1,0,0,3,2.0,5.0,2.0,5.0,1.0,2.0
2025-26,401810479,2026-01-22,NO,4395628,Zion Williamson,zion williamson,15,4,4,0,0,0,1,2.0,5.0,0.0,0.0,0.0,3.0
2025-26,401810479,2026-01-22,NO,4397688,Trey Murphy III,trey murphy,35,17,4,2,2,1,5,6.0,19.0,2.0,9.0,3.0,3.0
2025-26,401810479,2026-01-22,NO,4869780,Derik Queen,derik queen,23,5,4,8,1,1,4,2.0,2.0,0.0,0.0,1.0,2.0
2025-26,401810479,2026-01-22,NO,4397136,Saddiq Bey,saddiq bey,29,20,3,2,2,0,3,4.0,12.0,1.0,5.0,11.0,11.0
2025-26,401810479,2026-01-22,NO,5144091,Jeremiah Fears,jeremiah fears,20,12,5,0,2,0,1,4.0,8.0,0.0,2.0,4.0,4.0
2025-26,401810479,2026-01-22,NO,3155535,Kevon Looney,kevon looney,10,4,7,0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0
2025-26,401810479,2026-01-22,NO,4997538,Karlo Matkovic,karlo matkovic,14,5,2,0,0,1,0,2.0,3.0,1.0,2.0,0.0,0.0
2025-26,401810479,2026-01-22,NO,5061589,Yves Missi,yves missi,26,4,6,2,0,2,1,2.0,4.0,0.0,0.0,0.0,0.0
2025-26,401810479,2026-01-22,NO,4277956,Jordan Poole,jordan poole,28,11,2,2,2,0,1,4.0,17.0,0.0,7.0,3.0,4.0
2025-26,401810479,2026-01-22,NO,4432185,Micah Peavy,micah peavy,27,17,7,2,4,1,1,7.0,11.0,3.0,5.0,0.0,0.0
2025-26,401810479,2026-01-22,NO,4576086,Bryce McGowens,bryce mcgowens,13,5,2,1,0,0,0,1.0,3.0,0.0,2.0,3.0,3.0
2025-26,401810480,2026-01-22,OKC,4433255,Chet Holmgren,chet holmgren,32,10,7,2,1,1,2,3.0,9.0,1.0,4.0,3.0,4.0
2025-26,401810480,2026-01-22,OKC,4278073,Shai Gilgeous-Alexander,shai gilgeous alexander,33,40,7,11,1,0,2,16.0,19.0,2.0,2.0,6.0,7.0
2025-26,401810480,2026-01-22,OKC,4397020,Luguentz Dort,luguentz dort,33,13,4,3,2,0,0,5.0,11.0,3.0,7.0,0.0,0.0
2025-26,401810480,2026-01-22,OKC,4683692,Cason Wallace,cason wallace,31,9,2,2,4,1,0,3.0,9.0,2.0,6.0,1.0,2.0
2025-26,401810480,2026-01-22,OKC,4900671,Ajay Mitchell,ajay mitchell,25,18,3,2,2,0,2,8.0,12.0,2.0,2.0,0.0,1.0
2025-26,401810480,2026-01-22,OKC,4684208,Brooks Barnhizer,brooks barnhizer,13,0,3,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,401810480,2026-01-22,OKC,4997526,Ousmane Dieng,ousmane dieng,2,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2025-26,401810480,2026-01-22,OKC,4592435,Branden Carlson,branden carlson,16,9,6,1,0,1,0,4.0,8.0,1.0,3.0,0.0,0.0
2025-26,401810480,2026-01-22,OKC,3133626,Kenrich Williams,kenrich williams,28,18,8,2,0,0,1,8.0,13.0,2.0,5.0,0.0,1.0
2025-26,401810480,2026-01-22,OKC,4395702,Isaiah Joe,isaiah joe,25,5,1,1,0,0,1,2.0,8.0,1.0,7.0,0.0,0.0
2025-26,401810480,2026-01-22,OKC,4706557,Chris Youngblood,chris youngblood,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,401810480,2026-01-22,MIL,3032977,Giannis Antetokounmpo,giannis antetokounmpo,31,19,14,7,1,0,3,8.0,11.0,0.0,0.0,3.0,6.0
2025-26,401810480,2026-01-22,MIL,3134907,Kyle Kuzma,kyle kuzma,28,9,4,0,0,0,0,4.0,12.0,0.0,5.0,1.0,1.0
2025-26,401810480,2026-01-22,MIL,2999547,Gary Harris,gary harris,9,3,0,1,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
2025-26,401810480,2026-01-22,MIL,4397475,AJ Green,aj green,32,15,3,1,0,0,2,5.0,10.0,4.0,9.0,1.0,1.0
2025-26,401810480,2026-01-22,MIL,4591725,Ryan Rollins,ryan rollins,29,10,3,7,3,0,3,4.0,11.0,2.0,5.0,0.0,0.0
2025-26,401810480,2026-01-22,MIL,3064482,Bobby Portis,bobby portis,37,15,6,9,1,0,1,6.0,14.0,2.0,7.0,1.0,1.0
